Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
2,10:32,3,9,SFO 49,14,7,Joe Burrow up the middle for 10 yards (tackle by Talanoa Hufanga),1.16,2.98
2,9:54,1,10,SFO 39,14,7,Joe Burrow pass complete short left to Irv Smith for 11 yards (tackle by Dre Greenlaw),2.98,3.71
2,9:14,1,10,SFO 28,14,7,Joe Mixon right end for 3 yards (tackle by Randy Gregory),3.71,3.57
2,8:34,2,7,SFO 25,14,7,Joe Mixon left guard for no gain (tackle by Isaiah Oliver),3.57,2.87
2,7:53,3,7,SFO 25,14,7,Joe Burrow sacked by Arik Armstead for -7 yards,2.87,1.24
2,7:08,4,14,SFO 32,14,7,Evan McPherson 50 yard field goal no good,1.24,-1.6
2,7:03,1,10,SFO 40,14,7,Brock Purdy pass complete deep right to Brandon Aiyuk for 23 yards (tackle by Jordan Battle),1.6,3.12
2,6:29,1,10,CIN 37,14,7,Brock Purdy scrambles right end for 9 yards (tackle by Sam Hubbard),3.12,3.79
2,5:52,2,1,CIN 28,14,7,Christian McCaffrey right tackle for 4 yards (tackle by Cam Taylor-Britt and Josh Tupou),3.79,3.97
2,5:13,1,10,CIN 24,14,7,Elijah Mitchell up the middle for 1 yard (tackle by Mike Hilton and Sam Hubbard),3.97,3.57
2,4:31,2,9,CIN 23,14,7,"Christian McCaffrey for no gain. Penalty on Jauan Jennings: Offensive Holding, 10 yards (accepted) (no play)",3.57,2.15
2,4:19,2,20,CIN 33,14,7,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Mike Hilton),2.15,2.21
2,3:38,3,14,CIN 28,14,7,Brock Purdy scrambles left tackle for 10 yards (tackle by Jordan Battle),2.21,2.32
2,2:48,4,4,CIN 18,14,10,Jake Moody 36 yard field goal good,2.32,3
2,2:44,,,SFO 35,14,10,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,2:44,1,10,CIN 25,14,10,Joe Mixon up the middle for 12 yards (tackle by Tashaun Gipson),0.61,1.4
2,2:00,1,10,CIN 37,14,10,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Isaiah Oliver),1.4,2.07
2,1:54,2,1,CIN 46,14,10,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Deommodore Lenoir and Talanoa Hufanga),2.07,2.59
2,1:35,1,10,SFO 45,14,10,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards,2.59,3.19
