State;Action;Reward;Next_State
[1, 10, 69];2;0.0;[2, 6, 65]
[2, 6, 65];2;-0.04;[3, 1, 60]
[3, 1, 60];2;1.1;[1, 10, 53]
[1, 10, 53];2;-0.68;[2, 11, 54]
[2, 11, 54];1;-0.02;[3, 6, 49]
[3, 6, 49];1;1.43;[1, 10, 42]
[1, 10, 42];1;1.32;[1, 10, 22]
[1, 10, 22];2;0.54;[2, 3, 15]
[2, 3, 15];2;-0.26;[3, 1, 13]
[3, 1, 13];2;0.75;[1, 9, 9]
[1, 9, 9];1;-0.76;[2, 9, 9]
[2, 9, 9];2;0.57;[3, 2, 2]
[3, 2, 2];2;-1.7;[4, 2, 2]
[4, 2, 2];3;-0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 83];1;-3.39;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.68;[2, 11, 76]
[2, 11, 76];1;0.11;[3, 5, 70]
[3, 5, 70];1;-1.41;[4, 5, 70]
[4, 5, 70];4;0.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];1;-0.54;[2, 10, 76]
[2, 10, 76];2;0.23;[3, 3, 69]
[3, 3, 69];2;-1.41;[4, 1, 67]
[4, 1, 67];4;-1.34;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.14;[2, 12, 77]
[2, 12, 77];1;-0.68;[3, 12, 77]
[3, 12, 77];1;2.75;[1, 10, 56]
[1, 10, 56];1;2.18;[1, 10, 23]
[1, 10, 23];1;0.34;[2, 4, 17]
[2, 4, 17];1;1.68;[1, 5, 5]
[1, 5, 5];2;-0.34;[2, 2, 2]
[2, 2, 2];2;-0.55;[1, 10, 75]
[1, 10, 75];1;1.38;[1, 10, 54]
[1, 10, 54];2;0.99;[1, 10, 39]
[1, 10, 39];2;0.14;[2, 5, 34]
[2, 5, 34];2;-0.18;[3, 1, 30]
[3, 1, 30];2;-1.42;[4, 1, 30]
[4, 1, 30];2;2.12;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 29];2;0.8;[1, 10, 17]
[1, 10, 17];2;1.16;[1, 7, 7]
[1, 7, 7];2;-0.84;[2, 7, 7]
[2, 7, 7];1;-1.18;[3, 8, 8]
[3, 8, 8];1;-0.63;[4, 8, 8]
[4, 8, 8];3;0.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];2;0.53;[2, 2, 72]
[2, 2, 72];2;0.39;[2, 20, 76]
[2, 20, 76];1;-0.66;[3, 20, 76]
[3, 20, 76];1;0.63;[4, 4, 60]
[4, 4, 60];4;0.38;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 77];2;0.13;[2, 5, 72]
[2, 5, 72];1;-0.71;[3, 5, 72]
[3, 5, 72];1;1.63;[1, 10, 61]
[1, 10, 61];2;-0.66;[1, 20, 71]
[1, 20, 71];1;-1.23;[2, 20, 71]
[2, 20, 71];1;0.92;[3, 8, 59]
[3, 8, 59];1;1.76;[1, 10, 49]
[1, 10, 49];2;0.68;[2, 1, 40]
[2, 1, 40];2;0.18;[1, 10, 36]
[1, 10, 36];2;0.4;[2, 3, 29]
[2, 3, 29];2;0.26;[1, 10, 26]
[1, 10, 26];2;-0.54;[2, 10, 26]
[2, 10, 26];1;-0.69;[3, 10, 26]
[3, 10, 26];1;4.13;[1, 2, 2]
[1, 2, 2];2;0.26;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 70];2;0.79;[1, 10, 58]
[1, 10, 58];2;-0.41;[2, 9, 57]
[2, 9, 57];2;-0.69;[3, 9, 57]
[3, 9, 57];1;1.89;[1, 10, 46]
[1, 10, 46];2;-0.88;[2, 12, 49]
[2, 12, 49];1;-0.75;[3, 13, 49]
[3, 13, 49];1;-0.36;[4, 5, 41]
[4, 5, 41];4;-0.15;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 8, 8];2;0.35;[2, 2, 2]
[2, 2, 2];2;-0.55;[3, 1, 1]
[3, 1, 1];2;-1.92;[4, 2, 2]
[4, 2, 2];3;-0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
