State;Action;Reward;Next_State
[1, 10, 57];2;0.4;[2, 8, 55]
[2, 8, 55];1;0.1;[3, 2, 49]
[3, 2, 49];2;0.84;[1, 10, 47]
[1, 10, 47];1;2.05;[1, 10, 16]
[1, 10, 16];2;-4.16;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 48];2;1.06;[1, 10, 32]
[1, 10, 32];1;-0.55;[2, 10, 32]
[2, 10, 32];2;-0.29;[4, 13, 35]
[4, 13, 35];4;-0.38;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[4, 18, 40];4;-0.21;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];2;-0.27;[2, 8, 62]
[2, 8, 62];2;-0.03;[3, 3, 57]
[3, 3, 57];1;-1.55;[4, 3, 57]
[4, 3, 57];4;0.9;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 52];2;0.26;[2, 4, 46]
[2, 4, 46];1;1.45;[1, 10, 26]
[1, 10, 26];2;0.74;[1, 10, 15]
[1, 10, 15];2;-0.47;[2, 9, 14]
[2, 9, 14];2;0.34;[1, 4, 4]
[1, 4, 4];2;-1.33;[2, 6, 6]
[2, 6, 6];2;2.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];2;0.13;[2, 5, 71]
[2, 5, 71];2;-0.44;[3, 3, 69]
[3, 3, 69];1;-1.32;[3, 13, 79]
[3, 13, 79];2;2.29;[1, 10, 66]
[1, 10, 66];2;-0.41;[2, 9, 65]
[2, 9, 65];1;-0.69;[3, 9, 65]
[3, 9, 65];1;-0.75;[4, 3, 59]
[4, 3, 59];4;0.11;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 91];2;1.71;[1, 10, 64]
[1, 10, 64];1;-0.81;[2, 12, 66]
[2, 12, 66];1;0.51;[3, 3, 57]
[3, 3, 57];1;-1.55;[1, 10, 75]
[1, 10, 75];2;0.72;[1, 10, 64]
[1, 10, 64];1;-0.54;[2, 10, 64]
[2, 10, 64];2;-0.16;[3, 6, 60]
[3, 6, 60];1;3.88;[1, 10, 16]
[1, 10, 16];2;0.46;[2, 4, 10]
[2, 4, 10];2;-0.35;[3, 2, 8]
[3, 2, 8];2;1.44;[1, 5, 5]
[1, 5, 5];2;-0.34;[2, 2, 2]
[2, 2, 2];2;-1.23;[4, 7, 7]
[4, 7, 7];3;0.03;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];2;-0.01;[2, 6, 76]
[2, 6, 76];2;-0.57;[3, 5, 75]
[3, 5, 75];1;1.37;[1, 10, 68]
[1, 10, 68];2;-0.41;[2, 9, 67]
[2, 9, 67];1;-0.69;[3, 9, 67]
[3, 9, 67];2;-0.62;[4, 1, 59]
[4, 1, 59];4;0.79;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-0.55;[2, 10, 75]
[2, 10, 75];1;-0.67;[2, 15, 80]
[2, 15, 80];2;-0.01;[3, 10, 75]
[3, 10, 75];1;1.95;[1, 10, 64]
[1, 10, 64];2;-0.4;[2, 9, 63]
[2, 9, 63];2;-0.17;[3, 5, 59]
[3, 5, 59];1;-4.93;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 90];1;-0.4;[2, 10, 90]
[2, 10, 90];1;0.41;[3, 1, 81]
[3, 1, 81];2;0.78;[1, 10, 78]
[1, 10, 78];1;-0.54;[2, 10, 78]
[2, 10, 78];1;0.36;[3, 2, 70]
[3, 2, 70];2;0.91;[1, 15, 72]
[1, 15, 72];1;0.86;[1, 10, 56]
[1, 10, 56];1;-0.54;[2, 10, 56]
[2, 10, 56];1;-0.43;[3, 8, 54]
[3, 8, 54];1;-1.21;[4, 8, 54]
[4, 8, 54];1;-2.27;[1, 10, 80]
[1, 10, 80];1;-0.55;[3, 10, 80]
[3, 10, 80];2;-1.0;[4, 9, 79]
[4, 9, 79];1;-2.28;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
