State;Action;Reward;Next_State
[1, 10, 64];1;-0.54;[2, 10, 64]
[2, 10, 64];1;1.8;[1, 10, 45]
[1, 10, 45];2;1.45;[1, 10, 23]
[1, 10, 23];1;-0.54;[2, 10, 23]
[2, 10, 23];2;0.35;[3, 3, 16]
[3, 3, 16];1;-1.37;[4, 3, 16]
[4, 3, 16];3;0.52;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 85];2;4.66;[1, 10, 17]
[1, 10, 17];2;-0.95;[2, 13, 20]
[2, 13, 20];1;3.25;[1, 2, 2]
[1, 2, 2];2;-1.21;[2, 3, 3]
[2, 3, 3];1;1.47;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;1.52;[1, 10, 52]
[1, 10, 52];2;-0.82;[2, 12, 54]
[2, 12, 54];2;1.54;[1, 10, 41]
[1, 10, 41];1;-0.54;[2, 10, 41]
[2, 10, 41];1;1.47;[1, 10, 27]
[1, 10, 27];1;0.93;[1, 10, 13]
[1, 10, 13];2;-0.49;[3, 17, 20]
[3, 17, 20];2;-0.1;[4, 12, 15]
[4, 12, 15];3;0.56;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.4;[2, 3, 68]
[2, 3, 68];2;-0.71;[3, 3, 68]
[3, 3, 68];1;-1.54;[4, 8, 73]
[4, 8, 73];4;1.71;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 77];1;2.04;[1, 10, 46]
[1, 10, 46];1;-0.54;[2, 10, 46]
[2, 10, 46];1;-0.69;[3, 10, 46]
[3, 10, 46];1;2.42;[1, 10, 28]
[1, 10, 28];1;-0.54;[2, 10, 28]
[2, 10, 28];1;-0.69;[3, 10, 28]
[3, 10, 28];1;-0.89;[4, 10, 28]
[4, 10, 28];3;1.41;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.26;[2, 4, 69]
[2, 4, 69];2;-0.31;[3, 1, 66]
[3, 1, 66];2;0.84;[1, 10, 63]
[1, 10, 63];2;-0.54;[2, 10, 63]
[2, 10, 63];1;2.06;[1, 10, 40]
[1, 10, 40];2;-0.01;[2, 6, 36]
[2, 6, 36];2;-0.83;[3, 7, 37]
[3, 7, 37];1;2.43;[1, 10, 16]
[1, 10, 16];2;0.65;[2, 3, 9]
[2, 3, 9];2;-0.31;[3, 1, 7]
[3, 1, 7];2;1.89;[1, 2, 2]
[1, 2, 2];2;-0.83;[2, 1, 1]
[2, 1, 1];2;1.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];1;-0.27;[2, 8, 74]
[2, 8, 74];1;6.73;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 37];2;-0.55;[2, 10, 37]
[2, 10, 37];2;-0.29;[3, 7, 34]
[3, 7, 34];1;1.56;[1, 10, 26]
[1, 10, 26];2;-0.68;[2, 11, 27]
[2, 11, 27];2;-0.15;[3, 7, 23]
[3, 7, 23];2;1.7;[1, 10, 13]
[1, 10, 13];2;-0.49;[2, 9, 12]
[2, 9, 12];2;-1.1;[3, 10, 13]
[3, 10, 13];1;-0.55;[4, 10, 13]
[4, 10, 13];3;0.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 47];2;0.53;[2, 2, 39]
[2, 2, 39];2;0.26;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
