State;Action;Reward;Next_State
[1, 10, 63];2;-0.27;[2, 8, 61]
[2, 8, 61];1;-0.7;[3, 8, 61]
[3, 8, 61];1;-1.21;[4, 8, 61]
[4, 8, 61];4;0.5;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.72;[1, 10, 64]
[1, 10, 64];1;0.14;[2, 5, 59]
[2, 5, 59];2;-0.31;[3, 2, 56]
[3, 2, 56];2;-1.75;[4, 4, 58]
[4, 4, 58];4;0.97;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 46];1;0.4;[2, 3, 39]
[2, 3, 39];1;-0.71;[3, 3, 39]
[3, 3, 39];1;4.79;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.92;[1, 10, 61]
[1, 10, 61];1;0.79;[1, 10, 49]
[1, 10, 49];1;0.93;[2, 6, 31]
[2, 6, 31];1;-0.7;[3, 6, 31]
[3, 6, 31];1;1.37;[1, 10, 25]
[1, 10, 25];1;-0.01;[2, 6, 21]
[2, 6, 21];1;-0.7;[3, 6, 21]
[3, 6, 21];1;-1.12;[4, 6, 21]
[4, 6, 21];3;0.92;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;0.13;[2, 5, 70]
[2, 5, 70];1;-0.18;[3, 1, 66]
[3, 1, 66];2;0.84;[1, 10, 63]
[1, 10, 63];2;0.0;[2, 6, 59]
[2, 6, 59];2;0.73;[1, 10, 52]
[1, 10, 52];2;0.67;[2, 1, 43]
[2, 1, 43];2;0.18;[1, 10, 39]
[1, 10, 39];2;4.02;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 59];1;-0.59;[1, 19, 68]
[1, 19, 68];1;-0.29;[2, 13, 61]
[2, 13, 61];1;-0.68;[3, 13, 61]
[3, 13, 61];1;-0.88;[4, 13, 61]
[4, 13, 61];4;1.13;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 47];2;0.67;[2, 6, 43]
[2, 6, 43];2;1.52;[1, 10, 24]
[1, 10, 24];2;-0.67;[2, 11, 25]
[2, 11, 25];1;1.41;[1, 10, 13]
[1, 10, 13];2;-0.66;[2, 10, 13]
[2, 10, 13];1;2.95;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 50];2;-0.28;[2, 8, 48]
[2, 8, 48];2;0.1;[3, 2, 42]
[3, 2, 42];1;1.17;[1, 10, 35]
[1, 10, 35];2;-0.14;[2, 7, 32]
[2, 7, 32];1;3.89;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 89];2;-0.06;[2, 6, 85]
[2, 6, 85];2;0.06;[3, 1, 80]
[3, 1, 80];2;-1.66;[4, 1, 80]
[4, 1, 80];4;0.83;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];2;0.53;[2, 2, 72]
[2, 2, 72];2;0.13;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
