State;Action;Reward;Next_State
[1, 10, 65];1;0.67;[2, 1, 56]
[2, 1, 56];2;0.19;[1, 10, 52]
[1, 10, 52];1;-0.55;[2, 10, 52]
[2, 10, 52];2;-0.29;[3, 7, 49]
[3, 7, 49];1;2.68;[1, 10, 24]
[1, 10, 24];2;0.32;[2, 4, 18]
[2, 4, 18];2;-0.12;[3, 1, 15]
[3, 1, 15];2;-1.58;[4, 1, 15]
[4, 1, 15];2;-2.37;[1, 10, 50]
[1, 10, 50];1;0.26;[2, 4, 44]
[2, 4, 44];1;-0.7;[4, 12, 52]
[4, 12, 52];4;0.41;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 99];2;-0.18;[2, 7, 96]
[2, 7, 96];2;0.24;[1, 10, 87]
[1, 10, 87];2;-0.36;[2, 9, 86]
[2, 9, 86];1;-0.62;[3, 9, 86]
[3, 9, 86];1;2.17;[1, 10, 71]
[1, 10, 71];1;-0.54;[2, 10, 71]
[2, 10, 71];2;6.67;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 86];1;-3.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.28;[1, 10, 76]
[1, 10, 76];1;0.86;[1, 10, 63]
[1, 10, 63];1;0.86;[1, 10, 50]
[1, 10, 50];2;-0.14;[2, 7, 47]
[2, 7, 47];2;0.8;[1, 10, 40]
[1, 10, 40];2;-0.01;[2, 6, 36]
[2, 6, 36];2;-0.43;[3, 4, 34]
[3, 4, 34];1;4.52;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 57];2;-0.14;[2, 7, 54]
[2, 7, 54];1;-1.35;[2, 17, 64]
[2, 17, 64];1;-0.67;[3, 17, 64]
[3, 17, 64];1;-0.62;[4, 17, 64]
[4, 17, 64];4;0.37;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 34];1;-0.4;[2, 9, 33]
[2, 9, 33];1;4.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 11];2;-0.7;[2, 10, 11]
[2, 10, 11];1;0.07;[3, 10, 11]
[3, 10, 11];2;-0.12;[4, 4, 5]
[4, 4, 5];3;-0.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 25];1;-0.01;[2, 6, 21]
[2, 6, 21];2;-0.96;[3, 8, 23]
[3, 8, 23];1;-0.5;[4, 2, 17]
[4, 2, 17];3;0.56;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 33];2;-0.27;[2, 8, 31]
[2, 8, 31];2;0.23;[3, 1, 24]
[3, 1, 24];2;1.03;[1, 10, 18]
[1, 10, 18];2;-0.12;[3, 11, 19]
[3, 11, 19];2;-0.17;[4, 3, 11]
[4, 3, 11];1;4.17;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
