State;Action;Reward;Next_State
[1, 10, 75];2;0.67;[2, 1, 66]
[2, 1, 66];1;1.64;[1, 10, 40]
[1, 10, 40];2;0.86;[1, 10, 27]
[1, 10, 27];1;0.26;[2, 4, 21]
[2, 4, 21];2;-0.7;[3, 4, 21]
[3, 4, 21];1;3.66;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 62];2;-0.41;[3, 15, 67]
[3, 15, 67];1;-0.75;[4, 15, 67]
[4, 15, 67];4;0.24;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 39];2;-0.81;[2, 12, 41]
[2, 12, 41];1;-0.68;[4, 29, 58]
[4, 29, 58];4;-0.08;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 18];2;-0.28;[2, 8, 16]
[2, 8, 16];1;0.42;[1, 5, 5]
[1, 5, 5];2;0.94;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 66];1;1.45;[1, 10, 44]
[1, 10, 44];2;0.73;[1, 5, 39]
[1, 5, 39];2;0.26;[1, 10, 29]
[1, 10, 29];2;-0.67;[2, 11, 30]
[2, 11, 30];1;0.63;[3, 6, 25]
[3, 6, 25];1;1.43;[1, 10, 18]
[1, 10, 18];1;1.05;[2, 1, 9]
[2, 1, 9];2;0.86;[1, 4, 4]
[1, 4, 4];2;-0.94;[2, 4, 4]
[2, 4, 4];1;1.66;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;1.32;[1, 10, 55]
[1, 10, 55];2;-0.14;[3, 17, 62]
[3, 17, 62];2;2.95;[1, 10, 43]
[1, 10, 43];1;-0.54;[2, 10, 43]
[2, 10, 43];2;3.65;[1, 6, 6]
[1, 6, 6];2;1.17;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 34];1;0.73;[1, 10, 23]
[1, 10, 23];2;-0.14;[2, 7, 20]
[2, 7, 20];2;0.15;[3, 2, 15]
[3, 2, 15];2;0.73;[1, 10, 12]
[1, 10, 12];2;0.05;[2, 6, 8]
[2, 6, 8];2;-0.45;[4, 7, 9]
[4, 7, 9];3;0.17;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 28];2;0.27;[2, 4, 22]
[2, 4, 22];2;-0.45;[3, 2, 20]
[3, 2, 20];1;2.53;[1, 5, 5]
[1, 5, 5];2;-0.15;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 1, 1];2;-0.74;[3, 1, 1]
[3, 1, 1];1;1.83;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 66];2;-0.27;[2, 8, 64]
[2, 8, 64];2;-0.96;[3, 10, 66]
[3, 10, 66];2;-0.56;[4, 2, 58]
[4, 2, 58];4;0.94;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 71];2;0.79;[1, 10, 59]
[1, 10, 59];2;0.0;[2, 6, 55]
[2, 6, 55];2;-0.44;[3, 4, 53]
[3, 4, 53];2;-1.28;[4, 1, 50]
[4, 1, 50];4;0.44;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 13];2;-0.66;[2, 10, 13]
[2, 10, 13];2;-0.6;[3, 8, 11]
[3, 8, 11];2;-0.69;[4, 7, 10]
[4, 7, 10];2;-2.38;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
