State;Action;Reward;Next_State
[1, 10, 75];2;0.26;[2, 4, 69]
[2, 4, 69];2;0.53;[1, 10, 63]
[1, 10, 63];1;1.65;[1, 10, 38]
[1, 10, 38];2;0.0;[2, 6, 34]
[2, 6, 34];1;-0.71;[3, 6, 34]
[3, 6, 34];2;1.44;[1, 10, 27]
[1, 10, 27];2;1.82;[1, 7, 7]
[1, 7, 7];2;-1.58;[2, 11, 11]
[2, 11, 11];2;-0.21;[3, 7, 7]
[3, 7, 7];1;-0.56;[4, 2, 2]
[4, 2, 2];3;-0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 89];2;0.54;[2, 2, 81]
[2, 2, 81];2;0.37;[1, 10, 76]
[1, 10, 76];2;-0.27;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 8, 74];2;3.77;[1, 10, 23]
[1, 10, 23];2;-0.27;[2, 8, 21]
[2, 8, 21];2;-0.43;[3, 6, 19]
[3, 6, 19];1;-0.77;[4, 2, 15]
[4, 2, 15];3;0.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];1;1.06;[1, 10, 62]
[1, 10, 62];2;-1.09;[2, 14, 66]
[2, 14, 66];1;0.91;[3, 2, 54]
[3, 2, 54];1;1.76;[1, 10, 38]
[1, 10, 38];1;3.95;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 50];1;0.66;[1, 10, 40]
[1, 10, 40];2;-0.41;[2, 9, 39]
[2, 9, 39];2;-0.69;[3, 9, 39]
[3, 9, 39];1;-1.16;[4, 9, 39]
[4, 9, 39];1;-2.19;[1, 10, 93]
[1, 10, 93];2;0.66;[1, 10, 80]
[1, 10, 80];2;0.13;[2, 5, 75]
[2, 5, 75];2;-0.84;[3, 6, 76]
[3, 6, 76];1;-1.01;[4, 1, 71]
[4, 1, 71];4;5.55;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 22];1;-0.55;[2, 10, 22]
[2, 10, 22];1;0.37;[3, 3, 15]
[3, 3, 15];1;3.04;[1, 1, 1]
[1, 1, 1];2;0.03;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 71];1;1.26;[1, 10, 52]
[1, 10, 52];1;0.92;[1, 10, 38]
[1, 10, 38];2;-0.27;[2, 8, 36]
[2, 8, 36];2;1.46;[1, 10, 20]
[1, 10, 20];2;-0.55;[2, 10, 20]
[2, 10, 20];2;0.9;[4, 1, 11]
[4, 1, 11];2;2.52;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 8, 8];2;0.16;[2, 3, 3]
[2, 3, 3];2;-0.58;[4, 2, 2]
[4, 2, 2];3;-10.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.68;[2, 11, 76]
[2, 11, 76];1;-0.69;[3, 11, 76]
[3, 11, 76];1;1.63;[1, 10, 71]
[1, 10, 71];2;-0.41;[2, 9, 70]
[2, 9, 70];1;0.24;[3, 2, 63]
[3, 2, 63];1;1.23;[1, 10, 55]
[1, 10, 55];2;-0.41;[2, 9, 54]
[2, 9, 54];1;-0.69;[3, 9, 54]
[3, 9, 54];1;-1.15;[4, 9, 54]
[4, 9, 54];4;0.64;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.28;[2, 8, 73]
[2, 8, 73];1;-0.69;[3, 8, 73]
[3, 8, 73];1;2.29;[1, 10, 55]
[1, 10, 55];2;-0.01;[2, 6, 51]
[2, 6, 51];2;-0.83;[3, 7, 52]
[3, 7, 52];1;-1.28;[4, 7, 52]
[4, 7, 52];4;0.57;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 62];2;0.66;[1, 5, 58]
[1, 5, 58];2;0.0;[1, 10, 52]
[1, 10, 52];2;-0.01;[2, 6, 48]
[2, 6, 48];2;-1.1;[3, 9, 51]
[3, 9, 51];1;2.16;[1, 10, 36]
[1, 10, 36];2;0.0;[2, 6, 32]
[2, 6, 32];2;-0.44;[3, 4, 30]
[3, 4, 30];2;1.17;[1, 10, 25]
[1, 10, 25];2;-0.14;[2, 7, 22]
[2, 7, 22];2;-0.43;[3, 5, 20]
[3, 5, 20];1;3.63;[1, 1, 1]
[1, 1, 1];2;-1.06;[2, 1, 1]
[2, 1, 1];2;-0.96;[3, 2, 2]
[3, 2, 2];2;-1.4;[4, 1, 1]
[4, 1, 1];2;3.45;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
