State;Action;Reward;Next_State
[1, 10, 90];2;-0.18;[2, 7, 87]
[2, 7, 87];1;-0.28;[3, 5, 85]
[3, 5, 85];1;-1.3;[4, 1, 81]
[4, 1, 81];4;0.87;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 86];1;0.56;[2, 3, 79]
[2, 3, 79];2;1.58;[1, 10, 56]
[1, 10, 56];2;-0.14;[2, 7, 53]
[2, 7, 53];2;-0.17;[3, 3, 49]
[3, 3, 49];1;1.3;[1, 10, 41]
[1, 10, 41];2;-0.54;[2, 10, 41]
[2, 10, 41];1;1.27;[1, 10, 30]
[1, 10, 30];2;-0.28;[2, 8, 28]
[2, 8, 28];1;3.7;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];2;0.27;[2, 4, 70]
[2, 4, 70];1;1.18;[1, 10, 54]
[1, 10, 54];2;-0.52;[1, 18, 62]
[1, 18, 62];1;0.12;[2, 9, 53]
[2, 9, 53];1;-0.7;[3, 9, 53]
[3, 9, 53];1;-1.15;[4, 9, 53]
[4, 9, 53];4;0.22;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-0.55;[2, 10, 75]
[2, 10, 75];2;0.68;[2, 5, 70]
[2, 5, 70];2;-0.18;[3, 1, 66]
[3, 1, 66];2;0.91;[1, 10, 62]
[1, 10, 62];2;-0.48;[2, 9, 62]
[2, 9, 62];1;-0.95;[3, 11, 64]
[3, 11, 64];1;-1.02;[4, 11, 64]
[4, 11, 64];4;0.83;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 6, 6];2;0.08;[2, 1, 1]
[2, 1, 1];2;1.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 59];2;0.14;[2, 5, 54]
[2, 5, 54];1;5.2;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 72];2;0.67;[2, 1, 63]
[2, 1, 63];2;0.05;[1, 10, 61]
[1, 10, 61];2;-0.41;[3, 15, 66]
[3, 15, 66];1;2.62;[1, 10, 50]
[1, 10, 50];1;-0.33;[1, 15, 55]
[1, 15, 55];1;0.73;[2, 3, 43]
[2, 3, 43];2;-0.97;[3, 5, 45]
[3, 5, 45];1;-1.42;[4, 5, 45]
[4, 5, 45];4;0.11;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 99];1;-0.4;[2, 10, 99]
[2, 10, 99];2;-0.29;[3, 7, 96]
[3, 7, 96];1;0.85;[1, 10, 85]
[1, 10, 85];2;-0.49;[2, 10, 85]
[2, 10, 85];1;-0.66;[3, 15, 90]
[3, 15, 90];1;-0.48;[4, 15, 90]
[4, 15, 90];4;0.5;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];2;0.27;[2, 4, 72]
[2, 4, 72];2;0.85;[1, 10, 61]
[1, 10, 61];2;0.0;[2, 6, 57]
[2, 6, 57];1;2.11;[1, 10, 29]
[1, 10, 29];2;-0.13;[2, 7, 26]
[2, 7, 26];2;-0.57;[3, 6, 25]
[3, 6, 25];1;-1.11;[4, 6, 25]
[4, 6, 25];3;-2.97;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;0.26;[2, 4, 69]
[2, 4, 69];2;-0.31;[3, 1, 66]
[3, 1, 66];2;0.71;[1, 10, 65]
[1, 10, 65];2;0.26;[2, 4, 59]
[2, 4, 59];2;-0.44;[3, 2, 57]
[3, 2, 57];2;5.65;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
