State;Action;Reward;Next_State
[1, 10, 83];2;0.0;[2, 7, 80]
[2, 7, 80];1;-0.81;[3, 7, 80]
[3, 7, 80];1;2.67;[1, 10, 57]
[1, 10, 57];2;-0.41;[2, 9, 56]
[2, 9, 56];1;2.65;[1, 10, 23]
[1, 10, 23];2;0.01;[2, 6, 19]
[2, 6, 19];1;-0.71;[4, 16, 29]
[4, 16, 29];3;1.5;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 54];2;-0.13;[2, 7, 51]
[2, 7, 51];2;-0.17;[3, 3, 47]
[3, 3, 47];1;1.23;[1, 10, 40]
[1, 10, 40];2;0.72;[1, 10, 29]
[1, 10, 29];1;-0.54;[2, 10, 29]
[2, 10, 29];1;-0.69;[3, 10, 29]
[3, 10, 29];1;2.17;[1, 10, 15]
[1, 10, 15];2;1.02;[2, 1, 6]
[2, 1, 6];2;0.91;[1, 3, 3]
[1, 3, 3];1;0.49;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 72];2;-0.01;[1, 10, 58]
[1, 10, 58];1;0.27;[2, 4, 52]
[2, 4, 52];2;-0.45;[3, 2, 50]
[3, 2, 50];2;-1.81;[4, 5, 53]
[4, 5, 53];4;0.64;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.55;[2, 10, 75]
[2, 10, 75];1;-0.02;[3, 5, 70]
[3, 5, 70];1;-1.41;[4, 5, 70]
[4, 5, 70];4;0.56;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];1;0.92;[1, 10, 64]
[1, 10, 64];2;1.26;[1, 10, 45]
[1, 10, 45];2;0.4;[3, 10, 45]
[3, 10, 45];1;-0.7;[4, 4, 39]
[4, 4, 39];1;-0.81;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];1;0.4;[2, 3, 69]
[2, 3, 69];1;-0.67;[2, 8, 74]
[2, 8, 74];1;1.0;[1, 10, 65]
[1, 10, 65];2;-0.55;[2, 10, 65]
[2, 10, 65];1;-0.68;[3, 10, 65]
[3, 10, 65];1;2.48;[1, 10, 46]
[1, 10, 46];1;-0.54;[2, 10, 46]
[2, 10, 46];1;1.8;[1, 10, 27]
[1, 10, 27];1;0.26;[1, 10, 23]
[1, 10, 23];1;2.02;[1, 5, 5]
[1, 5, 5];2;-0.53;[2, 3, 3]
[2, 3, 3];1;-0.81;[3, 3, 3]
[3, 3, 3];1;2.28;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.41;[2, 9, 74]
[2, 9, 74];1;-0.16;[3, 5, 70]
[3, 5, 70];1;1.89;[1, 10, 55]
[1, 10, 55];1;-0.55;[2, 10, 55]
[2, 10, 55];2;-0.16;[4, 17, 62]
[4, 17, 62];4;-0.62;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];1;0.73;[1, 10, 53]
[1, 10, 53];1;0.67;[2, 1, 44]
[2, 1, 44];2;-0.71;[3, 1, 44]
[3, 1, 44];1;1.29;[1, 10, 34]
[1, 10, 34];2;0.27;[2, 4, 28]
[2, 4, 28];2;-0.57;[3, 3, 27]
[3, 3, 27];1;-1.06;[4, 1, 25]
[4, 1, 25];2;2.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 23];2;-1.08;[2, 14, 27]
[2, 14, 27];1;-0.68;[3, 14, 27]
[3, 14, 27];1;-0.48;[4, 12, 25]
[4, 12, 25];3;1.2;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 25];2;0.13;[2, 5, 20]
[2, 5, 20];1;-0.7;[3, 5, 20]
[3, 5, 20];1;-0.99;[4, 3, 18]
[4, 3, 18];3;0.65;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 70];1;-0.55;[2, 10, 70]
[2, 10, 70];1;0.5;[3, 1, 61]
[3, 1, 61];1;1.43;[1, 10, 49]
[1, 10, 49];2;-0.54;[2, 10, 49]
[2, 10, 49];1;0.1;[3, 4, 43]
[3, 4, 43];1;-1.48;[4, 4, 43]
[4, 4, 43];4;-0.02;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];2;-0.54;[2, 10, 64]
[2, 10, 64];1;0.5;[3, 1, 55]
[3, 1, 55];1;0.84;[1, 10, 52]
[1, 10, 52];2;-0.28;[2, 8, 50]
[2, 8, 50];2;1.0;[1, 10, 41]
[1, 10, 41];2;1.99;[1, 10, 11]
[1, 10, 11];2;-1.15;[3, 31, 32]
[3, 31, 32];2;0.58;[4, 29, 30]
[4, 29, 30];3;1.59;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
