State;Action;Reward;Next_State
[1, 10, 52];1;-0.55;[2, 10, 52]
[2, 10, 52];1;-0.29;[3, 7, 49]
[3, 7, 49];1;2.02;[1, 10, 34]
[1, 10, 34];2;1.4;[1, 10, 13]
[1, 10, 13];2;2.29;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 55];1;-0.55;[2, 10, 55]
[2, 10, 55];2;-0.82;[3, 11, 56]
[3, 11, 56];2;-1.32;[3, 21, 66]
[3, 21, 66];1;0.04;[4, 15, 60]
[4, 15, 60];4;-0.22;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 71];1;1.19;[1, 10, 53]
[1, 10, 53];2;-0.41;[2, 9, 52]
[2, 9, 52];1;1.14;[1, 10, 42]
[1, 10, 42];2;-0.14;[2, 7, 39]
[2, 7, 39];1;0.09;[3, 1, 33]
[3, 1, 33];2;0.71;[1, 10, 32]
[1, 10, 32];2;-0.41;[2, 9, 31]
[2, 9, 31];2;-0.17;[3, 5, 27]
[3, 5, 27];1;4.13;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 66];1;-0.54;[2, 5, 61]
[2, 5, 61];2;-0.17;[3, 1, 57]
[3, 1, 57];2;1.49;[1, 10, 44]
[1, 10, 44];1;-0.4;[2, 9, 43]
[2, 9, 43];2;-3.85;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 91];2;-0.01;[2, 5, 86]
[2, 5, 86];2;0.67;[1, 10, 80]
[1, 10, 80];1;1.65;[1, 10, 55]
[1, 10, 55];1;0.72;[1, 10, 44]
[1, 10, 44];1;-0.54;[2, 10, 44]
[2, 10, 44];1;0.24;[3, 3, 37]
[3, 3, 37];1;1.1;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 32];1;3.55;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 38];1;-0.54;[2, 10, 38]
[2, 10, 38];2;4.49;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];2;0.0;[2, 11, 77]
[2, 11, 77];2;-0.16;[3, 7, 73]
[3, 7, 73];1;-1.6;[4, 12, 78]
[4, 12, 78];4;1.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 65];2;0.13;[2, 5, 60]
[2, 5, 60];2;1.39;[1, 10, 42]
[1, 10, 42];2;0.13;[2, 5, 37]
[2, 5, 37];2;-0.71;[3, 5, 37]
[3, 5, 37];2;-1.11;[4, 2, 34]
[4, 2, 34];1;-2.24;[1, 10, 32]
[1, 10, 32];2;-0.95;[2, 13, 35]
[2, 13, 35];2;-0.16;[3, 9, 31]
[3, 9, 31];2;-0.84;[4, 7, 29]
[4, 7, 29];1;2.81;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
