State;Action;Reward;Next_State
[1, 10, 75];2;0.4;[2, 3, 68]
[2, 3, 68];1;1.25;[1, 10, 50]
[1, 10, 50];1;-0.55;[2, 10, 50]
[2, 10, 50];2;1.21;[1, 10, 40]
[1, 10, 40];2;0.67;[2, 1, 31]
[2, 1, 31];2;0.72;[1, 10, 19]
[1, 10, 19];1;0.41;[2, 4, 13]
[2, 4, 13];1;-0.53;[3, 3, 12]
[3, 3, 12];1;-1.46;[4, 3, 12]
[4, 3, 12];3;0.27;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 34];2;-0.13;[2, 7, 31]
[2, 7, 31];1;1.96;[1, 9, 9]
[1, 9, 9];2;-0.57;[2, 8, 8]
[2, 8, 8];1;2.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 86];2;-0.23;[2, 8, 84]
[2, 8, 84];1;1.12;[1, 15, 80]
[1, 15, 80];1;-0.89;[2, 15, 80]
[2, 15, 80];1;3.13;[1, 10, 46]
[1, 10, 46];1;1.12;[1, 10, 29]
[1, 10, 29];2;-0.66;[1, 20, 39]
[1, 20, 39];2;-0.56;[3, 14, 33]
[3, 14, 33];1;-0.73;[4, 19, 38]
[4, 19, 38];4;4.06;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 12];2;-0.51;[2, 9, 11]
[2, 9, 11];1;0.34;[3, 3, 5]
[3, 3, 5];1;-4.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 83];2;-0.52;[2, 10, 83]
[2, 10, 83];1;-0.67;[3, 10, 83]
[3, 10, 83];1;2.45;[1, 10, 66]
[1, 10, 66];2;0.99;[1, 10, 51]
[1, 10, 51];2;-0.14;[2, 7, 48]
[2, 7, 48];1;-0.17;[3, 3, 44]
[3, 3, 44];2;1.43;[1, 10, 34]
[1, 10, 34];1;0.0;[2, 6, 30]
[2, 6, 30];2;-0.83;[3, 7, 31]
[3, 7, 31];1;-1.16;[4, 7, 31]
[4, 7, 31];3;1.68;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 95];1;0.19;[1, 5, 90]
[1, 5, 90];2;-0.3;[1, 10, 75]
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];1;-0.72;[3, 1, 66]
[3, 1, 66];2;0.84;[1, 10, 63]
[1, 10, 63];1;0.54;[2, 12, 65]
[2, 12, 65];1;0.5;[3, 3, 56]
[3, 3, 56];1;1.63;[1, 10, 85]
[1, 10, 85];1;1.49;[1, 10, 65]
[1, 10, 65];1;-0.55;[2, 10, 65]
[2, 10, 65];2;-0.55;[3, 9, 64]
[3, 9, 64];1;1.76;[1, 10, 55]
[1, 10, 55];1;-0.55;[2, 10, 55]
[2, 10, 55];1;-0.68;[3, 10, 55]
[3, 10, 55];1;2.68;[1, 10, 33]
[1, 10, 33];1;-0.54;[2, 10, 33]
[2, 10, 33];1;1.53;[1, 10, 18]
[1, 10, 18];1;-4.65;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
