State;Action;Reward;Next_State
[1, 10, 75];1;0.13;[2, 5, 70]
[2, 5, 70];2;-0.84;[3, 6, 71]
[3, 6, 71];1;2.29;[1, 10, 51]
[1, 10, 51];2;-0.41;[2, 9, 50]
[2, 9, 50];2;3.36;[1, 9, 9]
[1, 9, 9];1;-0.76;[2, 9, 9]
[2, 9, 9];1;2.62;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 85];1;0.84;[2, 1, 76]
[2, 1, 76];2;-0.01;[1, 10, 75]
[1, 10, 75];1;-0.55;[2, 10, 75]
[2, 10, 75];2;-0.29;[3, 7, 72]
[3, 7, 72];1;1.7;[1, 10, 62]
[1, 10, 62];1;-3.33;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.41;[2, 9, 74]
[2, 9, 74];1;2.06;[1, 10, 50]
[1, 10, 50];1;-0.55;[2, 10, 50]
[2, 10, 50];1;-0.02;[3, 5, 45]
[3, 5, 45];1;-1.42;[4, 5, 45]
[4, 5, 45];4;0.11;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 54];2;0.93;[1, 10, 40]
[1, 10, 40];2;0.67;[1, 10, 30]
[1, 10, 30];1;-0.55;[2, 10, 30]
[2, 10, 30];1;-0.69;[3, 10, 30]
[3, 10, 30];1;-0.49;[4, 5, 25]
[4, 5, 25];3;-2.26;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-0.55;[2, 15, 80]
[2, 15, 80];1;1.94;[1, 10, 64]
[1, 10, 64];2;0.93;[1, 10, 50]
[1, 10, 50];2;0.13;[2, 5, 45]
[2, 5, 45];2;-0.31;[3, 2, 42]
[3, 2, 42];2;-1.68;[4, 3, 43]
[4, 3, 43];1;2.85;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 35];1;3.26;[1, 3, 3]
[1, 3, 3];2;-1.17;[2, 4, 4]
[2, 4, 4];2;0.0;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 4, 4];1;-0.85;[3, 4, 4]
[3, 4, 4];1;2.51;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 74];2;1.52;[1, 10, 51]
[1, 10, 51];2;-0.66;[1, 20, 61]
[1, 20, 61];2;-1.1;[2, 19, 60]
[2, 19, 60];1;1.45;[3, 3, 44]
[3, 3, 44];2;-1.42;[4, 6, 47]
[4, 6, 47];4;0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 3, 3];2;-1.36;[2, 5, 5]
[2, 5, 5];2;1.85;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
