State;Action;Reward;Next_State
[1, 10, 75];2;-0.55;[3, 19, 84]
[3, 19, 84];1;0.64;[4, 7, 72]
[4, 7, 72];4;0.83;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 82];2;-0.03;[2, 7, 79]
[2, 7, 79];2;-0.03;[3, 1, 73]
[3, 1, 73];2;0.96;[1, 10, 70]
[1, 10, 70];1;2.04;[1, 10, 39]
[1, 10, 39];2;-0.4;[2, 9, 38]
[2, 9, 38];1;-0.7;[3, 9, 38]
[3, 9, 38];1;-1.16;[4, 9, 38]
[4, 9, 38];4;-1.0;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 16, 27];1;-0.67;[3, 16, 27]
[3, 16, 27];1;2.76;[1, 10, 10]
[1, 10, 10];1;-0.34;[2, 8, 8]
[2, 8, 8];2;-0.99;[3, 8, 8]
[3, 8, 8];1;-0.63;[4, 8, 8]
[4, 8, 8];3;0.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.28;[2, 8, 73]
[2, 8, 73];2;-0.56;[3, 7, 72]
[3, 7, 72];1;1.5;[1, 10, 65]
[1, 10, 65];2;-0.28;[2, 8, 63]
[2, 8, 63];1;0.1;[3, 2, 57]
[3, 2, 57];1;2.03;[1, 10, 37]
[1, 10, 37];2;-0.66;[1, 20, 47]
[1, 20, 47];1;-1.1;[2, 19, 46]
[2, 19, 46];1;1.58;[3, 2, 29]
[3, 2, 29];1;-1.34;[4, 2, 29]
[4, 2, 29];3;1.4;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 72];2;0.53;[2, 2, 64]
[2, 2, 64];2;-0.58;[3, 1, 63]
[3, 1, 63];1;1.3;[1, 10, 53]
[1, 10, 53];1;-0.54;[2, 10, 53]
[2, 10, 53];1;1.93;[1, 10, 32]
[1, 10, 32];1;-0.55;[2, 10, 32]
[2, 10, 32];1;-0.69;[3, 10, 32]
[3, 10, 32];3;0.79;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 47];2;0.13;[2, 5, 42]
[2, 5, 42];2;-1.24;[3, 9, 46]
[3, 9, 46];1;-1.15;[4, 9, 46]
[4, 9, 46];4;0.18;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;1.12;[1, 10, 58]
[1, 10, 58];2;0.54;[2, 2, 50]
[2, 2, 50];2;-0.72;[3, 2, 50]
[3, 2, 50];1;1.3;[1, 10, 41]
[1, 10, 41];2;0.13;[2, 5, 36]
[2, 5, 36];2;-0.44;[3, 3, 34]
[3, 3, 34];1;1.17;[1, 10, 28]
[1, 10, 28];2;-0.14;[2, 7, 25]
[2, 7, 25];2;0.87;[1, 10, 17]
[1, 10, 17];2;-0.59;[2, 10, 17]
[2, 10, 17];1;-0.78;[4, 4, 11]
[4, 4, 11];3;0.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 74];1;1.06;[1, 10, 58]
[1, 10, 58];2;-0.41;[2, 9, 57]
[2, 9, 57];2;1.33;[2, 9, 43]
[2, 9, 43];2;-0.7;[3, 9, 43]
[3, 9, 43];1;-1.22;[4, 15, 49]
[4, 15, 49];4;0.38;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
