State;Action;Reward;Next_State
[1, 10, 90];2;-0.25;[2, 8, 88]
[2, 8, 88];1;1.24;[1, 10, 75]
[1, 10, 75];2;-0.41;[2, 9, 74]
[2, 9, 74];1;-0.69;[3, 9, 74]
[3, 9, 74];1;-1.14;[4, 9, 74]
[4, 9, 74];4;0.76;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;1.32;[1, 10, 55]
[1, 10, 55];2;2.44;[1, 10, 18]
[1, 10, 18];1;1.05;[2, 1, 9]
[2, 1, 9];2;-0.05;[1, 8, 8]
[1, 8, 8];1;0.16;[2, 3, 3]
[2, 3, 3];1;1.47;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 81];1;1.12;[1, 10, 65]
[1, 10, 65];2;-0.55;[2, 10, 65]
[2, 10, 65];2;0.11;[4, 19, 74]
[4, 19, 74];4;1.35;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.68;[2, 11, 76]
[2, 11, 76];1;1.8;[1, 10, 58]
[1, 10, 58];2;0.0;[2, 6, 54]
[2, 6, 54];2;-0.31;[3, 3, 51]
[3, 3, 51];1;-1.55;[4, 3, 51]
[4, 3, 51];4;0.51;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 85];1;2.28;[1, 10, 53]
[1, 10, 53];2;-0.66;[1, 20, 63]
[1, 20, 63];1;0.25;[2, 9, 52]
[2, 9, 52];1;-0.69;[3, 9, 52]
[3, 9, 52];1;-0.83;[4, 4, 47]
[4, 4, 47];4;0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 97];2;-0.18;[2, 7, 94]
[2, 7, 94];2;-0.16;[3, 4, 91]
[3, 4, 91];2;-0.58;[3, 9, 96]
[3, 9, 96];1;-1.19;[4, 9, 96]
[4, 9, 96];4;0.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 89];1;-0.41;[2, 10, 89]
[2, 10, 89];1;-0.29;[3, 7, 86]
[3, 7, 86];2;-1.32;[1, 10, 57]
[1, 10, 57];2;0.33;[1, 10, 52]
[1, 10, 52];1;-0.33;[1, 15, 57]
[1, 15, 57];2;0.05;[1, 10, 98]
[1, 10, 98];2;-0.4;[1, 10, 57]
[1, 10, 57];2;1.18;[1, 10, 39]
[1, 10, 39];2;-0.54;[3, 18, 47]
[3, 18, 47];1;-0.57;[4, 18, 47]
[4, 18, 47];4;0.25;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 87];1;1.72;[1, 10, 63]
[1, 10, 63];2;-0.27;[2, 8, 61]
[2, 8, 61];1;-0.04;[3, 3, 56]
[3, 3, 56];1;-1.55;[4, 3, 56]
[4, 3, 56];4;0.18;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.4;[2, 3, 68]
[2, 3, 68];1;-0.71;[3, 3, 68]
[3, 3, 68];1;1.1;[1, 10, 63]
[1, 10, 63];1;0.73;[1, 10, 52]
[1, 10, 52];1;-3.86;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 22, 97];1;-2.31;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
