Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
2,10:57,3,1,LAR 34,7,7,Matthew Stafford pass complete short left to Ben Skowronek for 10 yards (tackle by Talanoa Hufanga),0.56,1.86
2,10:10,1,10,LAR 44,7,7,Matthew Stafford pass complete short middle to Darrell Henderson for 7 yards (tackle by Oren Burks),1.86,2.26
2,9:30,2,3,SFO 49,7,7,Matthew Stafford pass complete deep left to Cooper Kupp for 23 yards (tackle by Deommodore Lenoir),2.26,3.84
2,8:43,1,10,SFO 26,7,7,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Jimmie Ward),3.84,3.97
2,8:03,2,5,SFO 21,7,7,Matthew Stafford pass complete short right to Ronnie Rivers for 4 yards (tackle by Fred Warner),3.97,3.95
2,7:21,3,1,SFO 17,7,7,Ronnie Rivers right tackle for 1 yard (tackle by Talanoa Hufanga and Hassan Ridgeway),3.95,4.51
2,6:41,1,10,SFO 16,7,13,"Matthew Stafford pass complete short middle to Cooper Kupp for 16 yards, touchdown",4.51,7
2,6:35,,,SFO 15,7,14,Matt Gay kicks extra point good,0,0
2,6:35,,,LAR 35,7,14,"Matt Gay kicks off 68 yards, returned by Ray-Ray McCloud for 39 yards (tackle by Cobie Durant)",0,1.33
2,6:28,1,10,SFO 36,7,14,"Jimmy Garoppolo pass complete short left to Christian McCaffrey for -5 yards (tackle by Ernest Jones). Penalty on Aaron Banks: Offensive Illegal Block Above the Waist, 15 yards (declined)",1.33,0.18
2,6:20,2,14,SFO 31,7,14,"Jimmy Garoppolo pass complete short middle to Ray-Ray McCloud for 11 yards (tackle by Taylor Rapp). Penalty on Taylor Rapp: Unnecessary Roughness / Defense, 15 yards (accepted)",0.18,2.72
2,5:43,1,10,LAR 43,7,14,"Christian McCaffrey up the middle for no gain (tackle by Leonard Floyd and Ernest Jones). Penalty on Justin Hollins: Defensive Offside, 5 yards (accepted) (no play)",2.72,3.45
2,5:17,1,5,LAR 38,7,14,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 6 yards (tackle by Derion Kendrick),3.45,3.45
2,4:39,1,10,LAR 32,7,14,Jimmy Garoppolo sacked by Leonard Floyd for -4 yards,3.45,2.36
2,3:54,2,14,LAR 36,7,14,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 12 yards (tackle by Bobby Wagner and Ernest Jones),2.36,3.27
2,3:09,3,2,LAR 24,7,14,Jimmy Garoppolo up the middle for 3 yards (tackle by Aaron Donald),3.27,4.17
2,2:29,1,10,LAR 21,7,14,Christian McCaffrey right tackle for 13 yards (tackle by Taylor Rapp and Jalen Ramsey),4.17,5.37
2,2:00,1,8,LAR 8,7,14,Christian McCaffrey right tackle for no gain (tackle by Aaron Donald and Leonard Floyd),5.37,4.57
2,1:14,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:14,2,8,LAR 8,7,14,Jimmy Garoppolo sacked by Leonard Floyd for -4 yards,4.57,3.1
2,1:07,,,,,,Timeout #2 by Los Angeles Rams,,
