Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
2,9:30,4,7,ATL 28,7,14,"Bradley Pinion punts 39 yards, returned by Ray-Ray McCloud for 35 yards (tackle by Troy Andersen)",-1.5,-3.45
2,9:16,1,10,ATL 32,7,14,Jimmy Garoppolo pass complete short middle to George Kittle for 7 yards (tackle by Richie Grant),3.45,3.85
2,8:33,2,3,ATL 25,7,14,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 10 yards (tackle by Jaylinn Hawkins and Matt Dickerson),3.85,4.58
2,8:01,1,10,ATL 15,7,14,Tevin Coleman right tackle for 1 yard (tackle by Abdullah Anderson and Arnold Ebiketie),4.58,4.11
2,7:13,2,9,ATL 14,13,14,"Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 14 yards, touchdown",4.11,7
2,7:07,,,ATL 15,14,14,Robbie Gould kicks extra point good,0,0
2,7:07,,,SFO 35,14,14,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,7:07,1,10,ATL 25,14,14,"Marcus Mariota pass incomplete deep right intended for Kyle Pitts. Penalty on Fred Warner: Defensive Holding, 5 yards (accepted) (no play)",0.61,0.94
2,7:02,1,10,ATL 30,14,14,Marcus Mariota right end for 8 yards (tackle by Charvarius Ward),0.94,1.47
2,6:27,2,2,ATL 38,14,14,Tyler Allgeier left tackle for 1 yard (tackle by Fred Warner and Oren Burks),1.47,0.89
2,5:45,3,1,ATL 39,14,14,Keith Smith right guard for 2 yards (tackle by Kemoko Turay),0.89,1.66
2,5:01,1,10,ATL 41,14,14,Marcus Mariota sacked by Charles Omenihu for -8 yards,1.66,0.04
2,4:16,2,18,ATL 33,14,14,Marcus Mariota pass complete short left to Kyle Pitts for 6 yards (tackle by Fred Warner),0.04,0.17
2,3:35,3,12,ATL 39,14,14,Marcus Mariota scrambles up the middle for 15 yards (tackle by Talanoa Hufanga),0.17,2.52
2,2:52,1,10,SFO 46,14,14,"Penalty on Hassan Ridgeway: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.52,3.25
2,2:28,1,5,SFO 41,14,14,Caleb Huntley left tackle for 3 yards (tackle by Oren Burks and Hassan Ridgeway),3.25,3.06
2,2:00,2,2,SFO 38,14,14,Marcus Mariota pass complete deep left to Drake London for 20 yards (tackle by Deommodore Lenoir),3.06,4.37
2,1:54,1,10,SFO 18,14,14,Tyler Allgeier right guard for -1 yards (tackle by Samson Ebukam and Tashaun Gipson),4.37,3.67
2,1:12,2,11,SFO 19,14,14,Caleb Huntley right end for 16 yards (tackle by Tashaun Gipson and Talanoa Hufanga),3.67,6.51
2,1:02,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:02,1,3,SFO 3,14,20,"Marcus Mariota right end for 3 yards, touchdown",6.51,7
2,0:57,,,SFO 15,14,21,Younghoe Koo kicks extra point good,0,0
2,0:57,,,ATL 35,14,21,"Bradley Pinion kicks off 65 yards, touchback.",0,0.61
2,0:57,1,10,SFO 25,14,21,Jimmy Garoppolo pass complete short right to Jauan Jennings for 9 yards (tackle by Richie Grant),0.61,1.28
2,0:38,2,1,SFO 34,14,21,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Grady Jarrett),1.28,0.56
2,0:38,3,1,SFO 34,14,21,Jimmy Garoppolo up the middle for 3 yards (tackle by Rashaan Evans),0.56,1.4
2,0:22,1,10,SFO 37,14,21,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 10 yards (tackle by AJ Terrell and Troy Andersen),1.4,2.06
2,0:16,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:16,1,10,SFO 47,14,21,"Jimmy Garoppolo sacked by Grady Jarrett for no gain. Jimmy Garoppolo fumbles (forced by Grady Jarrett), recovered by Jake Brendel at SF-37. Penalty on Lorenzo Carter: Defensive Holding, 5 yards (accepted) (no play)",2.06,2.39
2,0:09,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:09,1,10,ATL 48,14,21,Jimmy Garoppolo pass deep right intended for Deebo Samuel is intercepted by Isaiah Oliver at ATL-10 and returned for 27 yards (tackle by Daniel Brunskill),2.39,3.12
3,15:00,,,ATL 35,14,21,"Penalty on Rashaan Evans: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",0,0
3,15:00,,,ATL 20,14,21,"Bradley Pinion kicks off 77 yards, returned by Ray-Ray McCloud for 27 yards (tackle by Dean Marlowe and KhaDarel Hodge)",0,0.94
3,14:53,1,10,SFO 30,14,21,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk (defended by AJ Terrell),0.94,0.39
3,14:49,2,10,SFO 30,14,21,Jimmy Garoppolo pass incomplete deep middle intended for Ray-Ray McCloud,0.39,-0.3
3,14:43,3,10,SFO 30,14,21,Jimmy Garoppolo pass complete short middle to Kyle Juszczyk for 5 yards (tackle by Rashaan Evans),-0.3,-1.04
3,14:05,4,5,SFO 35,14,21,"Mitch Wishnowsky punts 59 yards, returned by Avery Williams for 29 yards (tackle by Demetrius Flannigan-Fowles)",-1.04,-1.27
3,13:52,1,10,ATL 35,14,21,Marcus Mariota pass complete short left to Olamide Zaccheaus for 10 yards (tackle by Samuel Womack),1.27,1.93
3,13:19,1,10,ATL 45,14,21,Tyler Allgeier right tackle for 5 yards (tackle by Samson Ebukam and Dre Greenlaw),1.93,2.06
3,12:37,,,,,,Timeout #1 by Atlanta Falcons,,
3,12:37,2,5,ATL 50,14,21,Tyler Allgeier right guard for 4 yards (tackle by Fred Warner),2.06,1.88
3,12:15,3,1,SFO 46,14,21,Tyler Allgeier left end for 8 yards (tackle by Talanoa Hufanga),1.88,3.05
3,11:37,1,10,SFO 38,14,21,Caleb Huntley right guard for 4 yards (tackle by Dre Greenlaw and Samson Ebukam),3.05,3.05
3,10:55,2,6,SFO 34,14,21,Marcus Mariota left end for 20 yards (tackle by Tashaun Gipson),3.05,4.65
3,10:04,1,10,SFO 14,14,21,Caleb Huntley right tackle for 4 yards (tackle by Samuel Womack and Oren Burks),4.65,4.71
3,9:22,2,6,SFO 10,14,21,Tyler Allgeier right guard for 3 yards (tackle by Talanoa Hufanga and Akeem Spence),4.71,4.5
3,8:44,3,3,SFO 7,14,27,"Marcus Mariota pass complete short middle to Kyle Pitts for 7 yards, touchdown",4.5,7
3,8:40,,,SFO 15,14,28,Younghoe Koo kicks extra point good,0,0
3,8:40,,,ATL 35,14,28,"Bradley Pinion kicks off 65 yards, touchback.",0,0.61
3,8:40,1,10,SFO 25,14,28,Deebo Samuel left end for 7 yards (tackle by Richie Grant),0.61,1.01
3,8:20,2,3,SFO 32,14,28,Jimmy Garoppolo pass complete short middle to Kyle Juszczyk for 8 yards (tackle by Troy Andersen and Rashaan Evans),1.01,1.6
3,7:40,1,10,SFO 40,14,28,Deebo Samuel left end for 4 yards (tackle by Darren Hall and Rashaan Evans),1.6,1.59
3,6:59,2,6,SFO 44,14,28,Jimmy Garoppolo pass incomplete deep middle intended for Charlie Woerner (defended by Richie Grant),1.59,0.89
3,6:54,3,6,SFO 44,14,28,Jimmy Garoppolo pass incomplete short left intended for Jeff Wilson,0.89,-0.46
3,6:49,4,6,SFO 44,14,28,Mitch Wishnowsky punts 46 yards downed by Tarvarius Moore,-0.46,0.38
3,6:39,1,10,ATL 10,14,28,Caleb Huntley right tackle for 3 yards (tackle by Fred Warner),-0.38,-0.56
3,5:59,2,7,ATL 13,14,28,Caleb Huntley left guard for 6 yards (tackle by Samson Ebukam and Tashaun Gipson),-0.56,-0.37
3,5:29,3,1,ATL 19,14,28,Caleb Huntley right end for 1 yard (tackle by Dre Greenlaw),-0.37,0.28
3,4:48,1,10,ATL 20,14,28,Marcus Mariota pass complete short left to Keith Smith for 8 yards (tackle by Talanoa Hufanga),0.28,0.81
3,4:08,2,2,ATL 28,14,28,Tyler Allgeier right tackle for 1 yard (tackle by Samuel Womack and Fred Warner),0.81,0.23
3,3:25,3,1,ATL 29,14,28,Marcus Mariota right tackle for -1 yards (tackle by Samson Ebukam),0.23,-1.5
3,2:48,4,2,ATL 28,14,28,"Bradley Pinion punts 52 yards, fair catch by Ray-Ray McCloud at SF-20",-1.5,-0.28
3,2:40,1,10,SFO 20,14,28,Jimmy Garoppolo pass complete short right to Deebo Samuel for 6 yards (tackle by Matt Dickerson),0.28,0.54
3,1:57,2,4,SFO 26,14,28,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 8 yards (tackle by Troy Andersen and Isaiah Oliver),0.54,1.2
3,1:15,1,10,SFO 34,14,28,Tevin Coleman left guard for 5 yards (tackle by Abdullah Anderson),1.2,1.33
3,0:35,2,5,SFO 39,14,28,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 3 yards (tackle by Darren Hall),1.33,1.03
3,0:01,3,2,SFO 42,14,28,"Penalty on Grady Jarrett: Encroachment, 5 yards (accepted) (no play)",1.03,2.06
4,15:00,1,10,SFO 47,14,28,Jimmy Garoppolo pass incomplete deep middle intended for Brandon Aiyuk (defended by Darren Hall),2.06,1.52
4,14:54,2,10,SFO 47,14,28,Jimmy Garoppolo pass deep left (defended by Darren Hall) intended for Deebo Samuel is intercepted by Jaylinn Hawkins at ATL-31 and returned for 14 yards (tackle by Tevin Coleman),1.52,-1.93
4,14:45,1,10,ATL 45,14,28,Caleb Huntley left guard for 3 yards (tackle by Fred Warner),1.93,1.79
4,14:06,2,7,ATL 48,14,28,Marcus Mariota pass complete short right to Drake London for 5 yards (tackle by Tashaun Gipson and Deommodore Lenoir),1.79,1.75
4,13:15,3,2,SFO 47,14,28,Marcus Mariota pass complete short right to Olamide Zaccheaus for 2 yards (tackle by Tashaun Gipson),1.75,2.59
4,12:24,1,10,SFO 45,14,28,Caleb Huntley left end for 2 yards (tackle by Drake Jackson),2.59,2.31
4,11:47,2,8,SFO 43,14,28,Avery Williams right tackle for 3 yards (tackle by Drake Jackson),2.31,2.01
4,10:56,3,5,SFO 40,14,28,Marcus Mariota pass incomplete short right intended for Drake London,2.01,0.59
4,10:52,4,5,SFO 40,14,28,Bradley Pinion punts 39 yards downed by KhaDarel Hodge,0.59,0.38
4,10:42,1,10,SFO 1,14,28,Jimmy Garoppolo pass complete short right to George Kittle for 9 yards (tackle by Rashaan Evans),-0.38,-0.12
4,10:15,2,1,SFO 10,14,28,Jeff Wilson right tackle for 2 yards (tackle by Rashaan Evans),-0.12,-0.35
4,9:42,1,10,SFO 12,14,28,"Jimmy Garoppolo pass complete short right to George Kittle for no gain (tackle by Arnold Ebiketie). Penalty on Jake Brendel: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.35,-0.57
4,9:16,1,15,SFO 7,14,28,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Troy Andersen),-0.57,-0.07
4,8:55,2,4,SFO 18,14,28,Jimmy Garoppolo pass complete short left to Deebo Samuel for 3 yards (tackle by Troy Andersen),-0.07,-0.37
