Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
1,6:13,2,4,WAS 44,0,0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk (defended by Jeremy Reaves),2.52,1.82
1,6:07,3,4,WAS 44,0,0,Brock Purdy sacked by Daron Payne for -8 yards,1.82,-0.19
1,5:28,4,12,SFO 48,0,0,"Mitch Wishnowsky punts 41 yards, returned by Dax Milne for 4 yards (tackle by Demetrius Flannigan-Fowles and Tyler Kroft)",-0.19,0.22
1,5:20,1,10,WAS 15,0,0,Taylor Heinicke pass complete short left to Logan Thomas for 3 yards (tackle by Dre Greenlaw),-0.22,-0.28
1,4:43,2,7,WAS 18,0,0,Brian Robinson right tackle for 9 yards (tackle by Tashaun Gipson and Deommodore Lenoir),-0.28,0.74
1,4:08,1,10,WAS 27,0,0,Brian Robinson left guard for 1 yard (tackle by Jimmie Ward),0.74,0.33
1,3:28,2,9,WAS 28,0,0,Taylor Heinicke left end for -4 yards (tackle by Jordan Willis),0.33,-0.89
1,2:54,3,13,WAS 24,0,0,Taylor Heinicke pass complete short left to Terry McLaurin for 14 yards (tackle by Charvarius Ward),-0.89,1.47
1,2:11,1,10,WAS 38,0,0,Antonio Gibson right guard for no gain (tackle by Dre Greenlaw and Akeem Spence),1.47,0.92
1,1:31,2,10,WAS 38,0,0,"Taylor Heinicke sacked by Jordan Willis for no gain. Penalty on Charvarius Ward: Defensive Holding, 5 yards (accepted) (no play)",0.92,1.8
1,1:10,1,10,WAS 43,0,0,Brian Robinson left end for 1 yard (tackle by Fred Warner),1.8,1.39
1,0:30,2,9,WAS 44,0,0,Brian Robinson up the middle for no gain (tackle by Jordan Willis and Talanoa Hufanga),1.39,0.69
2,15:00,3,9,WAS 44,0,0,Taylor Heinicke pass complete short left to Jahan Dotson for 11 yards (tackle by Deommodore Lenoir),0.69,2.59
2,14:20,1,10,SFO 45,0,0,Brian Robinson up the middle for 3 yards (tackle by Fred Warner),2.59,2.45
2,13:41,2,7,SFO 42,0,0,Brian Robinson left end for 10 yards (tackle by Charles Omenihu),2.45,3.45
2,13:01,1,10,SFO 32,0,0,Antonio Gibson left guard for 2 yards (tackle by Nick Bosa and Michael Dwumfour),3.45,3.17
2,12:23,2,8,SFO 30,0,0,Taylor Heinicke pass complete deep right to Jahan Dotson for 25 yards (tackle by Dre Greenlaw),3.17,6.06
2,11:40,1,5,SFO 5,0,0,Brian Robinson right tackle for no gain (tackle by Fred Warner),6.06,5.15
2,11:01,2,5,SFO 5,0,0,Brian Robinson up the middle for 4 yards (tackle by Dre Greenlaw and Talanoa Hufanga),5.15,5.17
2,10:21,3,1,SFO 1,0,0,Brian Robinson left tackle for no gain (tackle by Dre Greenlaw and Akeem Spence),5.17,3.55
2,9:38,4,1,SFO 1,0,0,Antonio Gibson right guard for no gain (tackle by Fred Warner),3.55,0.38
2,9:32,1,10,SFO 1,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Efe Obada),-0.38,-0.56
2,8:52,2,7,SFO 4,0,0,Christian McCaffrey up the middle for 9 yards (tackle by Jamin Davis and David Mayo),-0.56,-0.32
2,8:09,1,10,SFO 13,0,0,Tyrion Davis-Price right guard for 1 yard (tackle by Daron Payne and Chase Young),-0.32,-0.68
2,7:30,2,9,SFO 14,0,0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Chase Young),-0.68,-1.3
2,7:25,3,9,SFO 14,0,0,Brock Purdy pass complete short left to Jauan Jennings for 15 yards (tackle by Danny Johnson),-1.3,0.87
2,6:43,1,10,SFO 29,0,0,Brock Purdy pass incomplete short middle intended for George Kittle (defended by John Ridgeway),0.87,0.33
2,6:37,2,10,SFO 29,0,6,"Ray-Ray McCloud right end for 71 yards, touchdown",0.33,7
2,6:26,,,WAS 15,0,7,Robbie Gould kicks extra point good,0,0
2,6:26,,,SFO 35,0,7,"Robbie Gould kicks off 62 yards, out of bounds",0,1.6
2,6:26,1,10,WAS 40,0,7,Jonathan Williams left tackle for 2 yards (tackle by Fred Warner and Dre Greenlaw),1.6,1.32
2,5:45,2,8,WAS 42,0,7,Taylor Heinicke pass complete short right to Antonio Gibson for 9 yards (tackle by Deommodore Lenoir),1.32,2.32
2,5:06,1,10,SFO 49,0,7,"Taylor Heinicke pass complete deep left to Jahan Dotson for 44 yards (tackle by Deommodore Lenoir). Penalty on Charvarius Ward: Defensive Holding, 5 yards (offset) . Penalty on Wes Schweitzer: Offensive Holding, 10 yards (offset) (no play)",2.32,2.32
2,4:36,1,10,SFO 49,0,7,Brian Robinson up the middle for no gain (tackle by Talanoa Hufanga and Azeez Al-Shaair),2.32,1.78
2,3:56,2,10,SFO 49,0,7,Brian Robinson up the middle for -1 yards (tackle by Charvarius Ward and Charles Omenihu),1.78,0.96
2,3:17,3,11,SFO 50,0,7,Taylor Heinicke pass incomplete short right intended for Jahan Dotson,0.96,-0.06
2,3:10,4,11,SFO 50,0,7,"Tress Way punts 36 yards, fair catch by Ray-Ray McCloud at SF-14",-0.06,0.28
2,3:03,1,10,SFO 14,0,7,Brock Purdy pass deep middle intended for Jauan Jennings is intercepted by Darrick Forrest at SF-31 and returned for no gain (tackle by Jauan Jennings),-0.28,-3.51
2,2:57,1,10,SFO 31,0,7,Brian Robinson right guard for 5 yards (tackle by Fred Warner),3.51,3.64
2,2:21,2,5,SFO 26,0,7,Brian Robinson right end for 4 yards (tackle by Fred Warner and Tashaun Gipson),3.64,3.47
2,2:00,3,1,SFO 22,0,7,"Penalty on Trai Turner: False Start, 4 yards (accepted) (no play)",3.47,2.94
2,2:00,3,5,SFO 26,0,7,Taylor Heinicke pass complete to Jahan Dotson for 9 yards (tackle by Talanoa Hufanga),2.94,4.44
2,1:16,1,10,SFO 17,0,7,Taylor Heinicke sacked by Nick Bosa for -9 yards,4.44,2.68
2,0:47,2,19,SFO 26,0,7,Antonio Gibson right guard for 5 yards (tackle by Samson Ebukam),2.68,2.68
2,0:45,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:45,3,14,SFO 21,0,7,Taylor Heinicke pass complete short right to Curtis Samuel for 14 yards (tackle by Tashaun Gipson),2.68,5.6
2,0:30,,,,,,Timeout #1 by Washington Commanders,,
2,0:30,1,7,SFO 7,0,7,Antonio Gibson up the middle for 3 yards (tackle by Akeem Spence),5.6,5.34
2,0:27,,,,,,Timeout #2 by Washington Commanders,,
2,0:27,2,4,SFO 4,6,7,"Taylor Heinicke pass complete short right to Jahan Dotson for 4 yards, touchdown",5.34,7
2,0:22,,,SFO 15,7,7,Joey Slye kicks extra point good,0,0
2,0:22,,,WAS 35,7,7,"Joey Slye kicks off 65 yards, touchback.",0,0.61
2,0:22,1,10,SFO 25,7,7,Christian McCaffrey up the middle for 2 yards (tackle by Daron Payne and Jonathan Allen),0.61,0.33
3,15:00,,,WAS 35,7,7,"Joey Slye kicks off 64 yards, returned by Ray-Ray McCloud for 23 yards (tackle by Jonathan Bostic and Cam Sims)",0,0.54
3,14:54,1,10,SFO 24,7,7,Brock Purdy pass complete short middle to Brandon Aiyuk for 13 yards (tackle by David Mayo),0.54,1.4
3,14:16,1,10,SFO 37,7,7,Brock Purdy pass complete short left to George Kittle for 13 yards (tackle by Jamin Davis and David Mayo),1.4,2.26
3,13:36,1,10,SFO 50,7,7,Christian McCaffrey left tackle for 3 yards (tackle by Jamin Davis and Jeremy Reaves),2.26,2.12
3,12:53,2,7,WAS 47,7,7,Christian McCaffrey left tackle for 7 yards (tackle by Jamin Davis and Benjamin St-Juste),2.12,2.92
3,12:08,1,10,WAS 40,7,7,Christian McCaffrey right tackle for 4 yards (tackle by Chase Young),2.92,2.91
3,11:26,2,6,WAS 36,7,7,Tyrion Davis-Price up the middle for 2 yards (tackle by Daron Payne),2.91,2.48
3,10:44,3,4,WAS 34,7,13,"Brock Purdy pass complete deep middle to George Kittle for 34 yards, touchdown",2.48,7
3,10:38,,,WAS 15,7,14,Robbie Gould kicks extra point good,0,0
3,10:38,,,SFO 35,7,14,"Robbie Gould kicks off 64 yards, recovered by Antonio Gibson at WAS-8 returned by Antonio Gibson for 3 yards (tackle by George Odum and Demetrius Flannigan-Fowles)",0,-0.37
3,10:32,1,10,WAS 11,7,14,Brian Robinson left guard for 2 yards (tackle by Fred Warner),-0.37,-0.63
3,9:52,2,8,WAS 13,7,14,Taylor Heinicke pass complete short right to Logan Thomas for 2 yards (tackle by Jimmie Ward),-0.63,-0.95
3,9:15,3,6,WAS 15,7,14,Taylor Heinicke pass incomplete short middle intended for Antonio Gibson,-0.95,-2.44
3,9:10,4,6,WAS 15,7,14,Tress Way punts 42 yards downed by Christian Holmes,-2.44,-1.8
3,8:59,1,10,SFO 43,7,14,Christian McCaffrey up the middle for 3 yards (tackle by Jamin Davis and David Mayo),1.8,1.66
3,8:17,2,7,SFO 46,7,14,"Brock Purdy pass complete short right to George Kittle for no gain (tackle by Darrick Forrest). Penalty on Aaron Banks: Offensive Holding, 10 yards (accepted) (no play)",1.66,0.31
3,8:01,2,17,SFO 36,7,14,Brock Purdy pass incomplete deep left,0.31,-0.36
3,7:52,3,17,SFO 36,7,14,Brock Purdy pass incomplete short left intended for Ray-Ray McCloud,-0.36,-0.98
3,7:49,4,17,SFO 36,7,14,"Mitch Wishnowsky punts 39 yards, fair catch by Dax Milne at WAS-25",-0.98,-0.61
3,7:42,1,10,WAS 25,7,14,Brian Robinson left tackle for 2 yards (tackle by Nick Bosa),0.61,0.33
3,7:03,2,8,WAS 27,7,14,Brian Robinson left guard for 4 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.33,0.17
3,6:22,3,4,WAS 31,7,14,Taylor Heinicke pass complete short left to Curtis Samuel for 3 yards (tackle by Jimmie Ward and Dre Greenlaw),0.17,-1.11
3,5:46,4,1,WAS 34,7,14,Taylor Heinicke up the middle for no gain (tackle by Nick Bosa and Fred Warner),-1.11,-3.31
3,5:43,1,10,WAS 34,7,14,Brock Purdy pass complete short left to Brandon Aiyuk for 1 yard (tackle by Jeremy Reaves),3.31,2.91
3,5:02,2,9,WAS 33,7,20,"Brock Purdy pass complete short left to George Kittle for 33 yards, touchdown",2.91,7
3,4:52,,,WAS 15,7,21,Robbie Gould kicks extra point good,0,0
