Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
2,10:19,3,1,LAR 44,3,7,"Penalty on Kevin Givens: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.22,2.19
2,9:58,1,10,LAR 49,3,7,Cam Akers right guard for 6 yards (tackle by Arik Armstead),2.19,2.46
2,9:19,2,4,SFO 45,3,7,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards (tackle by Emmanuel Moseley),2.46,3.05
2,8:33,1,10,SFO 38,3,7,Matthew Stafford pass complete deep left to Cooper Kupp for 18 yards,3.05,4.24
2,7:56,1,10,SFO 20,3,7,Brandon Powell left end for 11 yards (tackle by Deommodore Lenoir),4.24,5.14
2,7:17,1,9,SFO 9,3,7,Matthew Stafford pass complete short left to Cooper Kupp for -2 yards (tackle by Emmanuel Moseley),5.14,4.02
2,6:35,2,11,SFO 11,3,7,Matthew Stafford pass incomplete short middle intended for Ben Skowronek,4.02,3.12
2,6:30,3,11,SFO 11,3,7,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,3.12,2.7
2,6:26,4,11,SFO 11,6,7,Matt Gay 29 yard field goal good,2.7,3
2,6:22,,,LAR 35,6,7,"Matt Gay kicks off 65 yards, touchback.",0,0.61
2,6:22,1,10,SFO 25,6,7,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 5 yards (tackle by Derion Kendrick),0.61,0.74
2,5:46,2,5,SFO 30,6,7,Jeff Wilson left tackle for 3 yards (tackle by Justin Hollins),0.74,0.43
2,5:07,3,2,SFO 33,6,7,Jimmy Garoppolo scrambles up the middle for 3 yards (tackle by Bobby Wagner),0.43,1.33
2,4:26,1,10,SFO 36,6,7,Jeff Wilson right tackle for 6 yards (tackle by Grant Haley),1.33,1.6
2,3:45,2,4,SFO 42,6,7,Jeff Wilson right tackle for 1 yard (tackle by Aaron Donald),1.6,1.03
2,3:01,3,3,SFO 43,6,13,"Jimmy Garoppolo pass complete short left to Deebo Samuel for 57 yards, touchdown",1.03,7
2,2:46,,,LAR 15,6,14,Robbie Gould kicks extra point good,0,0
2,2:46,,,SFO 35,6,14,"Robbie Gould kicks off 64 yards, returned by Brandon Powell for 20 yards (tackle by Demetrius Flannigan-Fowles)",0,0.34
2,2:39,1,10,LAR 21,6,14,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Kevin Givens),0.34,-0.2
2,2:36,2,10,LAR 21,6,14,Darrell Henderson up the middle for 5 yards (tackle by Samson Ebukam),-0.2,-0.16
2,2:00,3,4,LAR 26,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Fred Warner),-0.16,1.14
2,1:40,1,10,LAR 33,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Charvarius Ward),1.14,1.67
2,1:19,2,2,LAR 41,6,14,Matthew Stafford sacked by Charles Omenihu for -11 yards,1.67,-0.49
2,0:46,3,13,LAR 30,6,14,Matthew Stafford sacked by Deommodore Lenoir for -9 yards,-0.49,-1.96
2,0:41,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:41,4,22,LAR 21,6,14,"Riley Dixon punts 60 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Robert Rochell)",-1.96,-1
2,0:31,1,10,SFO 31,6,14,Jimmy Garoppolo pass complete short right to Ray-Ray McCloud for 6 yards (tackle by Greg Gaines and Grant Haley),1,1.27
2,0:12,2,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel (defended by Derion Kendrick),1.27,0.56
2,0:08,3,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete deep left intended for Ray-Ray McCloud,0.56,-0.91
2,0:02,4,4,SFO 37,6,14,Jimmy Garoppolo pass incomplete deep right,-0.91,1.4
3,15:00,,,LAR 35,6,14,"Matt Gay kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,6,14,Jeff Wilson left guard for 1 yard (tackle by Ernest Jones and Justin Hollins),0.61,0.2
3,14:25,2,9,SFO 26,6,14,Jimmy Garoppolo pass complete deep left to George Kittle for 20 yards (tackle by Ernest Jones and Bobby Wagner),0.2,1.99
3,13:44,1,10,SFO 46,6,14,Jimmy Garoppolo pass incomplete short right intended for Ross Dwelley (defended by Grant Haley),1.99,1.45
3,13:37,2,10,SFO 46,6,14,Jeff Wilson left guard for 5 yards (tackle by Nick Scott),1.45,1.42
3,12:55,3,5,LAR 49,6,14,Jimmy Garoppolo pass complete short left to Deebo Samuel for no gain (tackle by Ernest Jones),1.42,0
3,12:19,4,5,LAR 49,6,14,Mitch Wishnowsky punts 31 yards downed by Oren Burks,0,-0.04
