Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
2,8:22,3,17,SEA 20,7,10,Christian McCaffrey left end for 5 yards (tackle by Ryan Neal),2.54,2.44
2,7:45,4,12,SEA 15,7,13,Robbie Gould 33 yard field goal good,2.44,3
2,7:41,,,SFO 35,7,13,"Robbie Gould kicks off 63 yards, returned by Godwin Igwebuike for 27 yards (tackle by Tarvarius Moore and Samuel Womack)",0,0.87
2,7:34,1,10,SEA 29,7,13,Geno Smith pass complete short right to Kenneth Walker for 3 yards (tackle by Dre Greenlaw),0.87,0.73
2,6:56,2,7,SEA 32,7,13,Geno Smith pass complete short right to Noah Fant for 11 yards (tackle by Tashaun Gipson),0.73,1.8
2,6:25,1,10,SEA 43,7,13,Kenneth Walker left end for 8 yards (tackle by Fred Warner),1.8,2.33
2,5:55,2,2,SFO 49,7,13,Kenneth Walker right tackle for -1 yards (tackle by Nick Bosa),2.33,1.49
2,5:08,3,3,SFO 50,13,13,"Geno Smith pass complete deep left to D.K. Metcalf for 50 yards, touchdown",1.49,7
2,5:01,,,SFO 15,14,13,Jason Myers kicks extra point good,0,0
2,5:01,,,SEA 35,14,13,"Jason Myers kicks off 65 yards, touchback.",0,0.61
2,5:01,1,10,SFO 25,14,13,Brock Purdy pass complete short right to Deebo Samuel for 7 yards (tackle by Ryan Neal),0.61,1.01
2,4:27,2,3,SFO 32,14,13,Christian McCaffrey left tackle for no gain (tackle by Shelby Harris),1.01,0.3
2,3:48,3,3,SFO 32,14,13,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by Tanner Muse),0.3,-1.24
2,3:43,4,3,SFO 32,14,13,"Penalty on Tarvarius Moore: False Start, 5 yards (accepted) (no play)",-1.24,-1.57
2,3:43,4,8,SFO 27,14,13,"Mitch Wishnowsky punts 57 yards, returned by DeeJay Dallas for no gain (tackle by Danny Gray)",-1.57,0.14
2,3:35,1,10,SEA 16,14,13,Kenneth Walker left tackle for 4 yards (tackle by Dre Greenlaw),-0.14,0.01
2,3:05,2,6,SEA 20,14,13,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Talanoa Hufanga),0.01,0.74
2,2:28,1,10,SEA 27,14,13,Kenneth Walker right guard for 2 yards (tackle by Dre Greenlaw),0.74,0.47
2,2:00,2,8,SEA 29,14,13,DeeJay Dallas right tackle for no gain (tackle by Dre Greenlaw),0.47,-0.23
2,1:17,3,8,SEA 29,14,13,DeeJay Dallas left tackle for no gain (tackle by Nick Bosa),-0.23,-1.44
2,1:15,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:15,4,8,SEA 29,14,13,"Michael Dickson punts 48 yards, fair catch by Ray-Ray McCloud at SF-23",-1.44,-0.48
2,1:08,1,10,SFO 23,14,13,Brock Purdy pass complete deep middle to Brandon Aiyuk for 31 yards (tackle by Tariq Woolen),0.48,2.52
2,1:00,1,10,SEA 46,14,13,Brock Purdy pass incomplete short left,2.52,1.98
2,0:52,2,10,SEA 46,14,13,Brock Purdy pass incomplete deep left intended for Jauan Jennings,1.98,1.29
2,0:48,3,10,SEA 46,14,13,Brock Purdy pass complete short left to Deebo Samuel for 18 yards (tackle by Coby Bryant),1.29,3.71
2,0:41,1,10,SEA 28,14,13,Brock Purdy pass incomplete deep left,3.71,3.17
2,0:32,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:32,2,10,SEA 28,14,13,Brock Purdy pass incomplete deep left,3.17,2.48
2,0:23,3,10,SEA 28,14,13,Brock Purdy pass incomplete deep right intended for Deebo Samuel (defended by Michael Jackson),2.48,1.59
2,0:17,4,10,SEA 28,14,16,Robbie Gould 46 yard field goal good,1.59,3
2,0:13,,,SFO 35,14,16,"Robbie Gould kicks off 41 yards, returned by Colby Parkinson for 14 yards (tackle by Demetrius Flannigan-Fowles)",0,1.47
2,0:09,1,10,SEA 38,14,16,"Geno Smith scrambles right tackle for 9 yards (tackle by Jimmie Ward). Penalty on Jimmie Ward: Unnecessary Roughness / Defense, 15 yards (accepted)",1.47,3.05
2,0:01,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:01,1,10,SFO 38,17,16,Jason Myers 56 yard field goal good,3.05,3
3,15:00,,,SEA 35,17,16,"Jason Myers kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,17,16,Brock Purdy pass complete short right to Kyle Juszczyk for 6 yards (tackle by Ryan Neal),0.61,0.87
3,14:22,2,4,SFO 31,17,16,Christian McCaffrey left guard for 3 yards (tackle by Shelby Harris and Cody Barton),0.87,0.56
3,13:42,3,1,SFO 34,17,16,Brock Purdy up the middle for 3 yards (tackle by Shelby Harris),0.56,1.4
3,13:06,1,10,SFO 37,17,16,Christian McCaffrey up the middle for no gain (tackle by Bruce Irvin),1.4,0.86
3,12:28,2,10,SFO 37,17,16,Brock Purdy pass complete deep right to George Kittle for 23 yards (tackle by Michael Jackson),0.86,2.92
3,11:45,1,10,SEA 40,17,16,Elijah Mitchell right tackle for 4 yards (tackle by Ryan Neal),2.92,2.91
3,11:07,2,6,SEA 36,17,16,Elijah Mitchell up the middle for -1 yards (tackle by Uchenna Nwosu),2.91,2.08
3,10:26,3,7,SEA 37,17,16,Brock Purdy pass complete short middle to Deebo Samuel for 21 yards (tackle by Johnathan Abram),2.08,4.51
3,9:51,1,10,SEA 16,17,16,Christian McCaffrey up the middle for 7 yards (tackle by Ryan Neal),4.51,5.16
3,9:13,2,3,SEA 9,17,16,Christian McCaffrey up the middle for 2 yards (tackle by Tanner Muse),5.16,4.85
3,8:31,3,1,SEA 7,17,16,Christian McCaffrey up the middle for 5 yards (tackle by Tanner Muse),4.85,6.74
3,7:53,1,2,SEA 2,17,16,Christian McCaffrey up the middle for 1 yard (tackle by Boye Mafe and Tanner Muse),6.74,5.91
3,7:19,2,1,SEA 1,17,22,"Brock Purdy up the middle for 1 yard, touchdown",5.91,7
3,7:15,,,SEA 15,17,23,Robbie Gould kicks extra point good,0,0
3,7:15,,,SFO 35,17,23,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,7:15,1,10,SEA 25,17,23,Kenneth Walker up the middle for 2 yards (tackle by Nick Bosa),0.61,0.33
3,6:42,2,8,SEA 27,17,23,Geno Smith pass complete short right to D.K. Metcalf for 25 yards (tackle by Azeez Al-Shaair and Talanoa Hufanga),0.33,2.39
3,6:05,1,10,SFO 48,17,23,Geno Smith pass complete short right to Colby Parkinson for 5 yards (tackle by Dre Greenlaw),2.39,2.52
3,5:31,2,5,SFO 43,17,23,Geno Smith pass incomplete short left intended for Colby Parkinson,2.52,1.82
3,5:26,,,,,,Timeout #1 by Seattle Seahawks,,
3,5:26,3,5,SFO 43,17,23,Geno Smith pass complete short left to Tyler Lockett for 7 yards (tackle by Fred Warner),1.82,3.18
3,4:59,1,10,SFO 36,17,23,DeeJay Dallas up the middle for 3 yards (tackle by Arik Armstead and Nick Bosa),3.18,3.04
3,4:17,2,7,SFO 33,17,23,Geno Smith pass incomplete short right,3.04,2.35
