Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
2,13:46,1,10,SFO 36,7,10,Tua Tagovailoa pass complete short left to Alec Ingold for 6 yards (tackle by Dre Greenlaw),3.18,3.45
2,13:07,2,4,SFO 30,7,10,Raheem Mostert up the middle for 4 yards (tackle by Hassan Ridgeway),3.45,3.84
2,12:25,1,10,SFO 26,7,10,Tua Tagovailoa pass complete short right to Alec Ingold for 7 yards (tackle by Jimmie Ward),3.84,4.27
2,11:51,2,3,SFO 19,7,10,Tua Tagovailoa pass complete short left to Alec Ingold for 2 yards (tackle by Hassan Ridgeway and Dre Greenlaw),4.27,3.95
2,11:05,3,1,SFO 17,7,10,Tua Tagovailoa sacked by Nick Bosa for -8 yards,3.95,1.8
2,10:20,4,9,SFO 25,10,10,Jason Sanders 43 yard field goal good,1.8,3
2,10:14,,,MIA 35,10,10,"Jason Sanders kicks off 65 yards, touchback.",0,0.61
2,10:14,1,10,SFO 25,10,10,Deebo Samuel up the middle for no gain (tackle by Zach Sieler),0.61,0.06
2,9:37,2,10,SFO 25,10,10,Brock Purdy pass complete short left to Kyle Juszczyk for 5 yards (tackle by Kader Kohou),0.06,0.04
2,8:55,3,5,SFO 30,10,10,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by Keion Crossen),0.04,-1.37
2,8:51,4,5,SFO 30,10,10,"Mitch Wishnowsky punts 56 yards, returned by Cedrick Wilson for 14 yards (tackle by Demetrius Flannigan-Fowles and Samuel Womack)",-1.37,-0.81
2,8:39,1,10,MIA 28,10,10,Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle,0.81,0.26
2,8:34,2,10,MIA 28,10,10,Tua Tagovailoa pass incomplete deep left intended for Jeff Wilson,0.26,-0.43
2,8:29,3,10,MIA 28,10,10,Tua Tagovailoa pass incomplete short left intended for River Cracraft,-0.43,-1.5
2,8:25,4,10,MIA 28,10,10,Thomas Morstead punts 50 yards downed by Justin Bethel,-1.5,-0.41
2,8:14,1,10,SFO 22,10,10,Brock Purdy pass complete short left to Tyler Kroft for 14 yards,0.41,1.33
2,7:40,1,10,SFO 36,10,10,Jordan Mason right guard for 19 yards (tackle by Jevon Holland),1.33,2.59
2,7:03,1,10,MIA 45,10,10,Jordan Mason up the middle for 7 yards (tackle by Jerome Baker),2.59,2.99
2,6:21,2,3,MIA 38,10,10,"Brock Purdy sacked by and Andrew Van Ginkel for -7 yards and Zach Sieler for -7 yards. Penalty on Aaron Banks: Offensive Holding, 10 yards (declined)",2.99,1.36
2,5:59,3,10,MIA 45,10,10,Brock Purdy pass complete short right to Brandon Aiyuk for 6 yards (tackle by Xavien Howard),1.36,0.66
2,5:20,4,4,MIA 39,10,10,Brock Purdy pass deep right intended for Brandon Aiyuk is intercepted by Xavien Howard at MIA-19 and returned for no gain (tackle by Brandon Aiyuk),0.66,-0.15
2,5:13,1,10,MIA 19,10,10,Tua Tagovailoa pass complete deep right to River Cracraft for 18 yards (tackle by Dre Greenlaw),0.15,1.4
2,4:32,1,10,MIA 37,10,10,Raheem Mostert right guard for 2 yards (tackle by Jordan Willis and Hassan Ridgeway),1.4,1.13
2,3:47,2,8,MIA 39,10,10,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,1.13,0.43
2,3:40,,,,,,Timeout #1 by Miami Dolphins,,
2,3:40,3,8,MIA 39,10,10,Tua Tagovailoa sacked by Nick Bosa for -10 yards,0.43,-1.44
2,3:00,4,18,MIA 29,10,10,Thomas Morstead punts 47 yards downed by Blake Ferguson,-1.44,-0.54
2,2:48,1,10,SFO 24,10,10,Brock Purdy pass complete short left to Deebo Samuel for 7 yards (tackle by Jerome Baker),0.54,0.94
2,2:16,2,3,SFO 31,10,10,"Brock Purdy pass incomplete intended for George Kittle. Penalty on Mike McGlinchey: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.94,0.27
2,2:08,2,8,SFO 26,10,10,Brock Purdy pass complete short left to Christian McCaffrey for 9 yards (tackle by Kader Kohou),0.27,1.27
2,2:00,1,10,SFO 35,10,10,Christian McCaffrey up the middle for no gain (tackle by Christian Wilkins and Zach Sieler),1.27,0.72
2,1:25,2,10,SFO 35,10,10,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,0.72,0.04
2,1:19,3,10,SFO 35,10,10,Brock Purdy pass complete short middle to George Kittle for 19 yards (tackle by Xavien Howard and Eric Rowe),0.04,2.52
2,0:51,,,,,,Timeout #2 by Miami Dolphins,,
2,0:51,1,10,MIA 46,10,10,Brock Purdy pass incomplete short right intended for Jauan Jennings,2.52,1.98
2,0:48,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:48,2,10,MIA 46,10,10,Brock Purdy pass complete short right to Jauan Jennings for 19 yards. Jauan Jennings fumbles (forced by Christian Wilkins). Jauan Jennings fumbles out of bounds,1.98,3.78
2,0:38,1,10,MIA 27,10,10,"Brock Purdy pass incomplete intended for Deebo Samuel. Penalty on Xavien Howard: Defensive Pass Interference, 4 yards (accepted) (no play)",3.78,4.04
2,0:36,1,10,MIA 23,10,10,Brock Purdy pass complete short left to Christian McCaffrey for 18 yards (tackle by Keion Crossen),4.04,6.06
2,0:16,1,5,MIA 5,10,10,Christian McCaffrey up the middle for 2 yards (tackle by Christian Wilkins and Duke Riley),6.06,5.53
2,0:12,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:12,2,3,MIA 3,10,10,Brock Purdy pass incomplete short middle intended for Christian McCaffrey,5.53,4.72
2,0:07,3,3,MIA 3,10,16,"Brock Purdy pass complete short left to Christian McCaffrey for 3 yards, touchdown",4.72,7
2,0:04,,,MIA 15,10,17,Robbie Gould kicks extra point good,0,0
2,0:04,,,SFO 35,10,17,"Robbie Gould kicks off 34 yards, returned by Durham Smythe for 9 yards (tackle by Oren Burks)",0,1.27
3,15:00,,,MIA 35,10,17,"Jason Sanders kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,10,17,Christian McCaffrey left end for 1 yard (tackle by Jaelan Phillips and Jerome Baker),0.61,0.2
3,14:16,2,9,SFO 26,10,17,Brock Purdy pass complete short left to Kyle Juszczyk for 4 yards (tackle by Elijah Campbell),0.2,0.04
3,13:41,3,5,SFO 30,10,17,Brock Purdy pass complete short middle to Jauan Jennings for 15 yards (tackle by Jevon Holland),0.04,1.93
3,13:00,1,10,SFO 45,10,17,Brock Purdy pass incomplete short right,1.93,1.38
