Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
2,1:46,3,4,SFO 9,7,3,"Jimmy Garoppolo scrambles left tackle for 3 yards (tackle by Josey Jewell). Penalty on Mike McGlinchey: Offensive Holding, 5 yards (accepted) (no play)",-0.72,-1.3
2,1:46,3,9,SFO 4,7,3,Jimmy Garoppolo pass incomplete short right intended for Jauan Jennings,-1.3,-2.49
2,1:43,4,9,SFO 4,7,3,"Mitch Wishnowsky punts 55 yards, returned by Montrell Washington for 9 yards (tackle by Oren Burks and George Odum)",-2.49,-2.26
2,1:32,1,10,SFO 50,7,3,Russell Wilson pass complete short left to Javonte Williams for 2 yards (tackle by Emmanuel Moseley),2.26,1.98
2,1:27,2,8,SFO 48,7,3,Russell Wilson pass incomplete short right intended for Javonte Williams (defended by Deommodore Lenoir),1.98,1.29
2,1:21,3,8,SFO 48,7,3,"Penalty on Jerry Jeudy: False Start, 5 yards (accepted) (no play)",1.29,0.63
2,1:14,3,13,DEN 47,7,3,"Russell Wilson scrambles right tackle for 10 yards (tackle by Dre Greenlaw). Penalty on Garett Bolles: Offensive Holding, 10 yards (accepted) (no play)",0.63,-0.69
2,1:14,3,23,DEN 37,7,3,Russell Wilson pass complete short left to Albert Okwuegbunam for 12 yards (tackle by Fred Warner),-0.69,-0.13
2,1:07,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:07,4,11,DEN 49,7,3,"Corliss Waitman punts 40 yards, fair catch by Ray-Ray McCloud at SF-11",-0.13,0.37
2,1:00,1,10,SFO 11,7,3,Jimmy Garoppolo pass incomplete deep middle intended for Brandon Aiyuk,-0.37,-0.78
2,0:56,2,10,SFO 11,7,3,Jimmy Garoppolo pass complete short left to George Kittle for 3 yards (tackle by P.J. Locke),-0.78,-1.07
2,0:42,3,7,SFO 14,7,3,Deebo Samuel up the middle for 2 yards (tackle by K'Waun Williams and Bradley Chubb),-1.07,-2.39
3,15:00,,,SFO 35,7,3,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,DEN 25,7,3,Javonte Williams right guard for 4 yards (tackle by Emmanuel Moseley),0.61,0.6
3,14:26,2,6,DEN 29,7,3,Russell Wilson sacked by Nick Bosa for -8 yards,0.6,-1.15
3,14:23,3,14,DEN 21,7,3,Russell Wilson pass incomplete short middle intended for Javonte Williams (defended by Fred Warner),-1.15,-1.96
3,14:20,4,14,DEN 21,7,3,"Corliss Waitman punts 54 yards, returned by Ray-Ray McCloud for 18 yards (tackle by P.J. Locke)",-1.96,-1.8
3,13:47,1,10,SFO 43,7,3,"Jeff Wilson right end for no gain (tackle by Mike Purcell). Penalty on Dre'Mont Jones: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.8,2.13
3,13:42,1,10,SFO 48,7,3,"Jimmy Garoppolo pass incomplete short middle intended for Jeff Wilson. Penalty on Jauan Jennings: Illegal Shift, 5 yards (accepted) (no play)",2.13,1.8
3,13:22,1,15,SFO 43,7,3,Jordan Mason left end for 7 yards (tackle by Kareem Jackson and Ronald Darby),1.8,1.85
3,12:45,2,8,SFO 50,7,3,"Jimmy Garoppolo aborted snap, recovered by Josey Jewell at 50",1.85,-2.26
3,12:41,1,10,SFO 50,7,3,Russell Wilson sacked by Kevin Givens for -6 yards,2.26,0.9
3,11:56,2,16,DEN 44,7,3,Russell Wilson pass complete short left to Javonte Williams for -2 yards (tackle by Deommodore Lenoir and Fred Warner),0.9,-0.03
3,11:15,3,18,DEN 42,7,3,Russell Wilson pass complete short right to Courtland Sutton for 9 yards (tackle by Tashaun Gipson),-0.03,0
3,10:44,4,9,SFO 49,7,3,Corliss Waitman punts 47 yards downed by Mike Boone,0,0.38
3,10:31,1,10,SFO 2,7,3,Jeff Wilson left guard for no gain (tackle by Dre'Mont Jones and Mike Purcell),-0.38,-0.78
3,9:56,2,10,SFO 2,7,5,"Jimmy Garoppolo sacked by Mike Purcell for -2 yards, safety.",-0.78,-2
3,9:53,,,SFO 20,7,5,"Mitch Wishnowsky kicks off 65 yards, returned by Montrell Washington for 14 yards (tackle by George Odum and Demetrius Flannigan-Fowles). Penalty on Justin Strnad: Offensive Holding, 10 yards (accepted)",0,0.15
3,9:48,1,10,DEN 19,7,5,Melvin Gordon right tackle for 4 yards (tackle by Charles Omenihu and Hassan Ridgeway),0.15,0.21
3,9:22,2,6,DEN 23,7,5,Russell Wilson pass complete short middle to Melvin Gordon for 3 yards (tackle by Dre Greenlaw and Deommodore Lenoir),0.21,-0.16
