Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
2,11:32,2,11,ARI 46,7,3,Colt McCoy pass complete short left to Trey McBride for 4 yards (tackle by Jimmie Ward),1.38,1.22
2,10:18,3,7,ARI 50,7,3,"Colt McCoy pass complete short left to DeAndre Hopkins for 10 yards (tackle by Jimmie Ward). Penalty on DeAndre Hopkins: Taunting / Offense, 15 yards (accepted)",1.22,1.93
2,10:18,1,10,ARI 45,7,3,James Conner up the middle for -1 yards (tackle by Hassan Ridgeway),1.93,1.25
2,9:42,2,11,ARI 44,7,3,Colt McCoy pass short middle intended for James Conner is intercepted by Jimmie Ward at ARI-46 and returned for no gain (tackle by James Conner),1.25,-2.52
2,9:37,1,10,ARI 46,7,3,Jimmy Garoppolo pass complete short right to George Kittle for 7 yards (tackle by Tanner Vallejo and Zaven Collins),2.52,2.92
2,8:55,,,,,,Timeout #1 by San Francisco 49ers,,
2,8:55,2,3,ARI 39,7,3,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk,2.92,2.21
2,8:51,3,3,ARI 39,13,3,"Jimmy Garoppolo pass complete deep middle to George Kittle for 39 yards, touchdown",2.21,7
2,8:42,,,ARI 15,14,3,Robbie Gould kicks extra point good,0,0
2,8:42,,,SFO 35,14,3,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,8:42,1,10,ARI 25,14,3,James Conner right end for 5 yards (tackle by Tashaun Gipson),0.61,0.74
2,8:05,2,5,ARI 30,14,3,Colt McCoy pass complete short left to DeAndre Hopkins for 6 yards (tackle by Jimmie Ward),0.74,1.33
2,7:30,1,10,ARI 36,14,3,Colt McCoy pass incomplete short middle,1.33,0.79
2,7:24,2,10,ARI 36,14,3,Colt McCoy pass complete short middle to Greg Dortch for 4 yards (tackle by Fred Warner),0.79,0.63
2,6:50,3,6,ARI 40,14,3,"Colt McCoy pass complete short left to Greg Dortch for 47 yards (tackle by Talanoa Hufanga). Penalty on Nick Bosa: Defensive Offside, 5 yards (declined)",0.63,4.71
2,6:30,1,10,SFO 13,14,3,James Conner left end for 1 yard. James Conner fumbles (forced by Dre Greenlaw),4.71,4.22
2,5:45,2,9,SFO 12,14,3,Colt McCoy pass complete short left to DeAndre Hopkins for 5 yards (tackle by Charvarius Ward),4.22,4.33
2,5:00,3,4,SFO 7,14,3,Colt McCoy pass complete short right to Greg Dortch for 5 yards (tackle by Talanoa Hufanga),4.33,6.74
2,4:24,1,2,SFO 2,14,9,"James Conner up the middle for 2 yards, touchdown",6.74,7
2,4:19,,,SFO 15,14,10,Matt Prater kicks extra point good,0,0
2,4:19,,,ARI 35,14,10,"Matt Prater kicks off 65 yards, touchback.",0,0.61
2,4:19,1,10,SFO 25,14,10,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 14 yards (tackle by Marco Wilson),0.61,1.53
2,3:45,1,10,SFO 39,14,10,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 12 yards (tackle by Budda Baker),1.53,2.32
2,3:00,1,10,ARI 49,14,10,Jimmy Garoppolo pass complete short left to Christian McCaffrey for 14 yards (tackle by Budda Baker),2.32,3.25
2,2:18,1,10,ARI 35,14,10,Elijah Mitchell for 4 yards (tackle by Dennis Gardeck),3.25,3.24
2,2:00,2,6,ARI 31,14,10,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,3.24,2.54
2,1:57,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:57,3,6,ARI 31,14,10,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 6 yards (tackle by Zaven Collins),2.54,3.91
2,1:41,,,,,,Timeout #2 by Arizona Cardinals,,
2,1:41,1,10,ARI 25,14,10,Jimmy Garoppolo pass complete to Deebo Samuel for 4 yards (tackle by Ben Niemann),3.91,3.9
2,0:59,2,6,ARI 21,14,10,Jimmy Garoppolo pass incomplete deep left intended for Jauan Jennings,3.9,3.2
2,0:52,3,6,ARI 21,14,10,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel (defended by Marco Wilson),3.2,2.08
2,0:47,4,6,ARI 21,17,10,Robbie Gould 39 yard field goal good,2.08,3
2,0:43,,,SFO 35,17,10,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,0:43,1,10,ARI 25,17,10,Colt McCoy pass complete short right to James Conner for 7 yards (tackle by Nick Bosa),0.61,1.01
2,0:24,2,3,ARI 32,17,10,Colt McCoy scrambles up the middle for 4 yards (tackle by Dre Greenlaw),1.01,1.33
2,0:18,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:18,1,10,ARI 36,17,10,Colt McCoy sacked by Nick Bosa for -12 yards,1.33,-0.83
3,15:00,,,ARI 35,17,10,"Matt Prater kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,17,10,Christian McCaffrey left tackle for 5 yards (tackle by Ben Niemann and Myjai Sanders),0.61,0.74
3,14:18,2,5,SFO 30,17,10,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 4 yards (tackle by Marco Wilson),0.74,0.56
3,13:53,3,1,SFO 34,17,10,Jimmy Garoppolo up the middle for 3 yards (tackle by Zach Allen and Budda Baker),0.56,1.4
3,13:18,1,10,SFO 37,17,10,Elijah Mitchell up the middle for 4 yards (tackle by Leki Fotu and Budda Baker),1.4,1.4
3,12:34,2,6,SFO 41,17,10,Elijah Mitchell right tackle for 7 yards (tackle by Jalen Thompson and Jonathan Ledbetter),1.4,2.13
3,11:58,1,10,SFO 48,17,10,Elijah Mitchell up the middle for 9 yards (tackle by Zaven Collins),2.13,2.8
3,11:27,2,1,ARI 43,17,10,Kyle Juszczyk up the middle for 4 yards (tackle by Markus Golden),2.8,2.98
3,10:44,1,10,ARI 39,23,10,"Deebo Samuel left end for 39 yards, touchdown",2.98,7
3,10:34,,,ARI 15,24,10,Robbie Gould kicks extra point good,0,0
3,10:34,,,SFO 35,24,10,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,10:34,1,10,ARI 25,24,10,James Conner right tackle for 14 yards (tackle by Charvarius Ward),0.61,1.53
3,10:01,1,10,ARI 39,24,10,Colt McCoy scrambles left end for 3 yards (tackle by Tashaun Gipson),1.53,1.39
3,9:22,2,7,ARI 42,24,10,Colt McCoy pass incomplete short left intended for DeAndre Hopkins,1.39,0.7
3,9:19,3,7,ARI 42,24,10,Colt McCoy pass complete short right to DeAndre Hopkins for 10 yards (tackle by Dre Greenlaw),0.7,2.39
3,8:50,1,10,SFO 48,24,10,Colt McCoy pass complete short left to Greg Dortch for 2 yards (tackle by Charvarius Ward),2.39,2.12
3,8:22,2,8,SFO 46,24,10,Colt McCoy pass complete short right to A.J. Green for 5 yards (tackle by Samuel Womack),2.12,1.95
3,8:01,3,4,SFO 42,24,10,Colt McCoy pass incomplete deep left intended for DeAndre Hopkins (defended by Tashaun Gipson),1.95,0.53
3,7:55,4,3,SFO 41,24,10,Colt McCoy pass incomplete short right intended for Greg Dortch,0.53,-1.66
3,7:52,1,10,SFO 41,24,10,"Jimmy Garoppolo pass complete to Deebo Samuel for no gain (tackle by Marco Wilson). Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",1.66,1.07
3,7:22,1,19,SFO 32,24,10,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 7 yards (tackle by Ben Niemann),1.07,0.78
3,6:44,2,13,SFO 39,24,10,Jimmy Garoppolo pass incomplete short right intended for Ray-Ray McCloud (defended by J.J. Watt),0.78,0.1
3,6:37,3,13,SFO 39,24,10,Jimmy Garoppolo pass incomplete deep left intended for Brandon Aiyuk (defended by Marco Wilson),0.1,-0.78
3,6:33,4,13,SFO 39,24,10,Mitch Wishnowsky punts 49 yards downed by Samuel Womack,-0.78,0.35
3,6:24,1,10,ARI 12,24,10,James Conner right tackle for 2 yards (tackle by Azeez Al-Shaair and Jordan Willis),-0.35,-0.61
3,5:50,2,8,ARI 14,24,10,Colt McCoy sacked by Kevin Givens for -9 yards,-0.61,-2.24
3,5:12,3,17,ARI 5,24,10,Colt McCoy pass complete short right to Greg Dortch for 7 yards (tackle by Fred Warner),-2.24,-2.49
3,4:37,4,10,ARI 12,24,10,"Andy Lee punts 41 yards, returned by Ray-Ray McCloud for 6 yards (tackle by Zeke Turner)",-2.49,-2.46
3,4:25,1,10,ARI 47,24,10,Elijah Mitchell up the middle for 9 yards (tackle by Marco Wilson),2.46,3.13
3,3:41,2,1,ARI 38,24,10,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",3.13,2.45
3,3:24,2,6,ARI 43,24,10,Elijah Mitchell left end for 19 yards (tackle by Chris Banjo),2.45,3.97
3,2:44,1,10,ARI 24,24,10,Elijah Mitchell up the middle for -1 yards (tackle by Trysten Hill and Jonathan Ledbetter),3.97,3.3
3,2:01,2,11,ARI 25,24,10,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 12 yards (tackle by Tanner Vallejo),3.3,4.71
