Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
,,,,,,,"Seahawks won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Ray-Ray McCloud for 29 yards (tackle by Nick Bellore)",0,0.87
1,14:55,1,10,SFO 29,0,0,Brock Purdy pass complete short middle to Christian McCaffrey for 14 yards (tackle by Julian Love),0.87,1.8
1,14:10,1,10,SFO 43,0,0,Brock Purdy pass incomplete deep right intended for George Kittle (defended by Quandre Diggs),1.8,1.25
1,14:01,2,10,SFO 43,0,0,Brock Purdy pass complete short middle to Charlie Woerner for 9 yards (tackle by Bobby Wagner),1.25,1.75
1,13:23,3,1,SEA 48,0,0,Christian McCaffrey left guard for 5 yards (tackle by Dre'Mont Jones),1.75,2.72
1,12:42,1,10,SEA 43,0,0,Christian McCaffrey up the middle for 27 yards (tackle by Devon Witherspoon and Julian Love),2.72,4.51
1,12:09,1,10,SEA 16,0,0,Brock Purdy scrambles right end for 3 yards (tackle by Jordyn Brooks),4.51,4.39
1,11:24,2,7,SEA 13,0,0,Brock Purdy pass complete short middle to Deebo Samuel for 10 yards (tackle by Bobby Wagner),4.39,6.51
1,10:47,1,3,SEA 3,0,0,Christian McCaffrey right guard for 1 yard (tackle by Bobby Wagner and Jordyn Brooks),6.51,5.72
1,10:04,2,2,SEA 2,6,0,"Deebo Samuel left guard for 2 yards, touchdown",5.72,7
1,10:01,,,SEA 15,7,0,Jake Moody kicks extra point good,0,0
1,10:01,,,SFO 35,7,0,"Jake Moody kicks off 64 yards, returned by D'Wayne Eskridge for 66 yards (tackle by Darrell Luter)",0,3.38
1,9:53,1,10,SFO 33,7,0,Geno Smith left end for 1 yard (tackle by Dre Greenlaw),3.38,2.97
1,9:20,2,9,SFO 32,7,0,Geno Smith pass incomplete short right intended for D.K. Metcalf,2.97,2.28
1,9:16,3,9,SFO 32,7,0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Charvarius Ward),2.28,1.24
1,9:11,4,9,SFO 32,7,3,Jason Myers 51 yard field goal good,1.24,3
1,9:07,,,SEA 35,7,3,"Jason Myers kicks off 66 yards, returned by Ray-Ray McCloud for 23 yards (tackle by Nick Bellore)",0,0.41
1,9:02,1,10,SFO 22,7,3,Christian McCaffrey left guard for 2 yards (tackle by Boye Mafe and Jordyn Brooks),0.41,0.14
1,8:24,2,8,SFO 24,7,3,Brock Purdy pass complete short left to Deebo Samuel for 22 yards (tackle by Jordyn Brooks),0.14,1.99
1,7:49,1,10,SFO 46,7,3,Brock Purdy pass complete deep left to Deebo Samuel for 24 yards (tackle by Julian Love),1.99,3.58
1,7:01,1,10,SEA 30,7,3,"Christian McCaffrey up the middle for 2 yards (tackle by Tre Brown and Jordyn Brooks). Penalty on Jauan Jennings: Offensive Holding, 10 yards (accepted)",3.58,3.05
1,6:30,,,,,,Timeout #1 by San Francisco 49ers,,
1,6:30,1,18,SEA 38,7,3,Brock Purdy pass complete short middle to Christian McCaffrey for 4 yards (tackle by Jordyn Brooks),3.05,2.49
1,5:55,2,14,SEA 34,7,3,Brock Purdy pass incomplete deep right intended for Jauan Jennings,2.49,1.82
1,5:46,3,14,SEA 34,7,3,Brock Purdy pass complete short left to Christian McCaffrey for -6 yards (tackle by Leonard Williams),1.82,0.59
1,5:07,4,20,SEA 40,7,3,"Mitch Wishnowsky punts 33 yards, fair catch by DeeJay Dallas at SEA-7",0.59,0.38
1,5:01,1,10,SEA 7,7,3,Zach Charbonnet right guard for 3 yards (tackle by Nick Bosa and Clelin Ferrell),-0.38,-0.56
1,4:26,2,7,SEA 10,7,3,Geno Smith sacked by Tashaun Gipson for -9 yards,-0.56,-2.12
1,3:47,3,16,SEA 1,7,3,Geno Smith pass complete short middle to DeeJay Dallas for 5 yards (tackle by Dre Greenlaw),-2.12,-2.49
1,3:08,4,11,SEA 6,7,3,"Michael Dickson punts 39 yards, fair catch by Ray-Ray McCloud at SEA-45",-2.49,-2.59
1,3:02,1,10,SEA 45,7,3,Christian McCaffrey left guard for 16 yards (tackle by Quandre Diggs),2.59,3.64
1,2:26,1,10,SEA 29,7,3,Deebo Samuel pass incomplete short right,3.64,3.1
1,2:18,2,10,SEA 29,7,3,Deebo Samuel up the middle for 3 yards (tackle by Boye Mafe and Jamal Adams),3.1,2.81
1,1:37,3,7,SEA 26,7,3,Brock Purdy pass complete short left to Jauan Jennings for 7 yards (tackle by Devon Witherspoon),2.81,4.31
1,0:51,1,10,SEA 19,7,3,Christian McCaffrey left guard for 2 yards (tackle by Jarran Reed and Mario Edwards),4.31,4.03
1,0:12,2,8,SEA 17,7,3,Brock Purdy pass complete short middle to George Kittle for 1 yard (tackle by Jordyn Brooks and Mario Edwards),4.03,3.41
2,15:00,3,7,SEA 16,7,3,"Brock Purdy sacked by Bobby Wagner for no gain. Penalty on Tre Brown: Illegal Contact, 5 yards (accepted) (no play)",3.41,4.84
2,14:40,1,10,SEA 11,7,3,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Jordyn Brooks),4.84,5.08
2,14:02,2,5,SEA 6,7,3,Christian McCaffrey left guard for 5 yards (tackle by Julian Love and Jordyn Brooks),5.08,6.97
2,13:15,1,1,SEA 1,13,3,"Christian McCaffrey left guard for 1 yard, touchdown",6.97,7
2,13:11,,,SEA 15,14,3,Jake Moody kicks extra point good,0,0
2,13:11,,,SFO 35,14,3,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,13:11,1,10,SEA 25,14,3,D'Wayne Eskridge right end for 10 yards (tackle by Deommodore Lenoir),0.61,1.27
2,12:40,1,10,SEA 35,14,3,Geno Smith pass short right intended for Tyler Lockett is intercepted by Ambry Thomas at SEA-44 and returned for 2 yards (tackle by Tyler Lockett),1.27,-2.79
2,12:35,1,10,SEA 42,14,3,Elijah Mitchell up the middle for 2 yards (tackle by Jarran Reed),2.79,2.51
2,11:55,2,8,SEA 40,14,3,Brock Purdy pass complete short right to Elijah Mitchell for -3 yards (tackle by Jamal Adams),2.51,1.42
2,11:11,3,11,SEA 43,14,3,Brock Purdy sacked by Darrell Taylor for -1 yards,1.42,0.33
2,10:37,4,12,SEA 44,14,3,Mitch Wishnowsky punts 43 yards downed by Ronnie Bell,0.33,0.38
2,10:29,1,10,SEA 2,14,3,Zach Charbonnet left guard for no gain (tackle by Fred Warner),-0.38,-0.78
2,10:06,2,10,SEA 2,14,3,Geno Smith pass incomplete deep left intended for D.K. Metcalf,-0.78,-1.42
2,9:59,3,10,SEA 2,14,3,Geno Smith pass complete short right to D.K. Metcalf for 9 yards (tackle by Deommodore Lenoir and Fred Warner),-1.42,-2.49
2,9:22,4,1,SEA 11,14,3,"Michael Dickson punts 51 yards, returned by Ray-Ray McCloud for 4 yards (tackle by Jon Rhattigan)",-2.49,-1.73
2,9:10,1,10,SFO 42,14,3,Brock Purdy pass complete short middle to Brandon Aiyuk for 22 yards (tackle by Julian Love and Bobby Wagner),1.73,3.18
2,8:26,1,10,SEA 36,14,3,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,3.18,2.64
2,8:20,2,10,SEA 36,14,3,Christian McCaffrey up the middle for 1 yard (tackle by Leonard Williams),2.64,2.08
2,7:36,3,9,SEA 35,14,3,Brock Purdy pass complete short right to George Kittle for 11 yards (tackle by Jamal Adams),2.08,3.97
2,6:50,1,10,SEA 24,14,3,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk (defended by Devon Witherspoon),3.97,3.43
2,6:45,2,10,SEA 24,14,3,Christian McCaffrey up the middle for 4 yards (tackle by Bobby Wagner),3.43,3.27
2,6:00,3,6,SEA 20,14,3,Brock Purdy pass complete short middle to Deebo Samuel for 12 yards (tackle by Bobby Wagner and Jordyn Brooks),3.27,5.37
2,5:19,1,8,SEA 8,20,3,"Christian McCaffrey left guard for 8 yards, touchdown",5.37,7
2,5:11,,,SEA 15,21,3,Jake Moody kicks extra point good,0,0
2,5:11,,,SFO 35,21,3,"Jake Moody kicks off 58 yards, returned by D'Wayne Eskridge for 21 yards (tackle by Samuel Womack and Darrell Luter)",0,0.81
2,5:07,1,10,SEA 28,21,3,Geno Smith pass incomplete deep left intended for D.K. Metcalf,0.81,0.26
2,5:01,2,10,SEA 28,21,3,Zach Charbonnet up the middle for 4 yards (tackle by Javon Hargrave),0.26,0.1
2,4:19,3,6,SEA 32,21,3,"Penalty on Jason Peters: False Start, 4 yards (accepted) (no play)",0.1,-0.43
2,3:57,3,10,SEA 28,21,3,Geno Smith sacked by Javon Hargrave for -8 yards,-0.43,-2.03
2,3:22,4,17,SEA 20,21,3,"Michael Dickson punts 59 yards, returned by Ray-Ray McCloud for 4 yards (tackle by Julian Love)",-2.03,-0.61
2,3:09,1,10,SFO 25,21,3,Deebo Samuel right end for -5 yards (tackle by Devon Witherspoon),0.61,-0.61
2,2:26,2,15,SFO 20,21,3,Brock Purdy pass incomplete deep right intended for Deebo Samuel,-0.61,-1.29
2,2:16,3,15,SFO 20,21,3,Christian McCaffrey up the middle for 7 yards (tackle by Quandre Diggs),-1.29,-1.57
2,2:00,4,8,SFO 27,21,3,"Mitch Wishnowsky punts 43 yards, recovered by Ronnie Bell at SEA-30 and returned for 8 yards",-1.57,4.11
2,1:47,1,10,SEA 22,21,3,Christian McCaffrey up the middle for 5 yards (tackle by Jamal Adams and Leonard Williams),4.11,4.29
2,1:05,2,5,SEA 17,21,3,Christian McCaffrey up the middle for 1 yard (tackle by Jarran Reed and Leonard Williams),4.29,3.74
2,0:51,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:51,3,4,SEA 16,21,3,Brock Purdy pass complete short right to Deebo Samuel for 2 yards (tackle by Quandre Diggs and Devon Witherspoon),3.74,2.63
2,0:43,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:43,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:43,4,2,SEA 14,24,3,Jake Moody 32 yard field goal good,2.63,3
2,0:39,,,SFO 35,24,3,"Jake Moody kicks off 64 yards, returned by D'Wayne Eskridge for 23 yards (tackle by Demetrius Flannigan-Fowles)",0,0.54
2,0:34,1,10,SEA 24,24,3,Geno Smith pass complete short middle to D.K. Metcalf for 9 yards (tackle by Deommodore Lenoir),0.54,1.21
2,0:16,2,1,SEA 33,24,3,Geno Smith pass complete short left to Noah Fant for 9 yards (tackle by Dre Greenlaw),1.21,1.73
2,0:14,1,10,SEA 42,24,3,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Ambry Thomas),1.73,2.4
2,0:09,2,1,SFO 49,24,3,Geno Smith pass complete short middle to D.K. Metcalf for 14 yards (tackle by Charvarius Ward and Ji'Ayir Brown),2.4,3.25
2,0:05,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:05,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:05,1,10,SFO 35,24,3,Jason Myers 53 yard field goal no good,3.25,1.73
3,15:00,,,SFO 35,24,3,"Penalty on Stone Forsythe: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0,0
3,15:00,,,SFO 50,24,3,"Jake Moody kicks off 50 yards, touchback.",0,0.61
3,15:00,1,10,SEA 25,24,3,Zach Charbonnet left guard for 2 yards (tackle by Arik Armstead),0.61,0.33
3,14:38,2,8,SEA 27,24,3,Geno Smith pass complete short middle to Will Dissly for 21 yards (tackle by Tashaun Gipson),0.33,2.13
3,14:16,1,10,SEA 48,24,3,Zach Charbonnet up the middle for 8 yards (tackle by Dre Greenlaw and Ji'Ayir Brown),2.13,2.66
3,13:50,2,2,SFO 44,24,3,Zach Charbonnet left guard for 3 yards (tackle by Dre Greenlaw and Javon Hargrave),2.66,2.85
3,13:28,1,10,SFO 41,24,3,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Charvarius Ward),2.85,2.31
3,13:21,2,10,SFO 41,24,3,Geno Smith pass complete short middle to Jake Bobo for 6 yards (tackle by Tashaun Gipson and Javon Hargrave),2.31,2.41
3,12:41,3,4,SFO 35,24,3,Geno Smith sacked by Nick Bosa for -7 yards,2.41,0.46
3,11:54,4,11,SFO 42,24,3,"Penalty on SEA: Delay of Game, 5 yards (declined) (no play)",0.46,0.46
3,11:42,4,11,SFO 42,24,3,Michael Dickson punts 38 yards downed by Artie Burns,0.46,0.38
3,11:34,1,10,SFO 4,24,3,Brock Purdy pass incomplete short middle intended for Deebo Samuel,-0.38,-0.78
3,11:30,2,10,SFO 4,24,9,"Brock Purdy pass short middle intended for Christian McCaffrey is intercepted by Jordyn Brooks at SF-12 and returned for 12 yards, touchdown",-0.78,-7
3,11:23,,,SFO 15,24,10,Jason Myers kicks extra point good,0,0
3,11:23,,,SEA 35,24,10,"Jason Myers kicks off 65 yards, touchback.",0,0.61
3,11:23,1,10,SFO 25,24,10,"Penalty on Aaron Banks: False Start, 5 yards (accepted) (no play)",0.61,0.28
3,11:23,1,15,SFO 20,24,10,Brock Purdy pass complete short left to Deebo Samuel for 2 yards (tackle by Michael Jackson and Jamal Adams),0.28,-0.34
3,10:40,2,13,SFO 22,24,10,Brock Purdy pass complete short middle to George Kittle for 7 yards (tackle by Quandre Diggs),-0.34,-0.1
3,9:56,3,6,SFO 29,24,10,Brock Purdy pass incomplete deep left intended for George Kittle,-0.1,-1.44
3,9:49,4,6,SFO 29,24,10,"Mitch Wishnowsky punts 51 yards out of bounds. Penalty on Jon Rhattigan: Offensive Holding, 10 yards (accepted)",-1.44,0.38
3,9:41,1,10,SEA 10,24,10,Zach Charbonnet up the middle for 1 yard (tackle by Javon Kinlaw),-0.38,-0.71
3,9:33,2,9,SEA 11,24,10,Geno Smith pass incomplete short right intended for D.K. Metcalf,-0.71,-1.3
3,9:15,3,9,SEA 11,24,10,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 34 yards (tackle by Deommodore Lenoir),-1.3,1.93
3,8:43,1,10,SEA 45,24,10,DeeJay Dallas up the middle for 7 yards (tackle by Ji'Ayir Brown and Fred Warner),1.93,2.33
3,8:21,2,3,SFO 48,24,10,DeeJay Dallas up the middle for 3 yards (tackle by Fred Warner and Javon Hargrave),2.33,2.59
3,7:38,1,10,SFO 45,24,10,Geno Smith pass complete short left to Jaxon Smith-Njigba for 7 yards (tackle by Arik Armstead),2.59,2.99
3,7:10,2,3,SFO 38,24,10,"Geno Smith sacked by Javon Hargrave for no gain. Penalty on Tashaun Gipson: Defensive Holding, 5 yards (offset) . Penalty on Evan Brown: Illegal Use of Hands / Offense, 5 yards (offset) (no play)",2.99,2.99
3,7:04,2,3,SFO 38,24,10,Zach Charbonnet up the middle for 5 yards (tackle by Oren Burks and Charvarius Ward),2.99,3.38
3,6:10,1,10,SFO 33,24,10,Geno Smith scrambles right end for 9 yards (tackle by Oren Burks),3.38,4.05
3,5:42,2,1,SFO 24,24,10,Zach Charbonnet up the middle for 5 yards (tackle by Oren Burks),4.05,4.31
3,5:12,1,10,SFO 19,24,10,Geno Smith scrambles right end for 11 yards (tackle by Tashaun Gipson),4.31,5.37
3,4:38,1,8,SFO 8,24,10,Zach Charbonnet right end for 1 yard (tackle by Dre Greenlaw),5.37,4.76
3,4:05,2,7,SFO 7,24,10,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba (defended by Ambry Thomas),4.76,3.81
3,4:01,3,7,SFO 7,24,10,Geno Smith sacked by and Arik Armstead for -5 yards and Javon Hargrave for -5 yards,3.81,2.63
3,3:16,4,12,SFO 12,24,13,Jason Myers 30 yard field goal good,2.63,3
3,3:13,,,SEA 35,24,13,"Jason Myers kicks off 65 yards, touchback.",0,0.61
3,3:13,1,10,SFO 25,24,13,Deebo Samuel left end for 15 yards (tackle by Julian Love),0.61,1.6
3,2:39,1,10,SFO 40,24,13,Christian McCaffrey up the middle for 7 yards (tackle by Jordyn Brooks),1.6,2
3,1:58,2,3,SFO 47,24,13,Christian McCaffrey right tackle for 9 yards (tackle by Julian Love and Derick Hall),2,2.65
3,1:19,1,10,SEA 44,24,13,Christian McCaffrey left guard for -1 yards (tackle by Jamal Adams),2.65,1.98
3,0:40,2,11,SEA 45,24,13,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,1.98,1.29
3,0:34,3,11,SEA 45,24,13,Brock Purdy pass complete short right to Christian McCaffrey for 8 yards (tackle by Quandre Diggs),1.29,0.79
4,15:00,4,3,SEA 37,24,13,"Penalty on Jon Feliciano: False Start, 5 yards (accepted) (no play)",0.79,0.46
4,15:00,4,8,SEA 42,24,13,Mitch Wishnowsky punts 29 yards downed by Oren Burks,0.46,0.32
4,14:52,1,10,SEA 13,24,13,Geno Smith pass complete short right to Zach Charbonnet for 6 yards (tackle by Oren Burks),-0.32,0.03
4,14:18,2,4,SEA 19,24,13,Zach Charbonnet left end for 10 yards (tackle by Deommodore Lenoir and Dre Greenlaw),0.03,0.87
4,13:53,1,10,SEA 29,24,13,"Geno Smith pass complete short left to Tyler Lockett for no gain (tackle by Oren Burks). Penalty on Zach Charbonnet: Illegal Shift, 5 yards (accepted) (no play)",0.87,0.54
4,13:29,1,15,SEA 24,24,13,Geno Smith pass complete short left to Zach Charbonnet for -4 yards (tackle by Randy Gregory),0.54,-0.89
4,12:51,2,19,SEA 20,24,13,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Charvarius Ward),-0.89,-0.1
4,12:10,3,8,SEA 31,24,13,Geno Smith sacked by and Arik Armstead for -11 yards and Nick Bosa for -11 yards,-0.1,-2.03
4,11:30,4,19,SEA 20,24,13,"Michael Dickson punts 44 yards, returned by Ray-Ray McCloud for 2 yards. Ray-Ray McCloud fumbles (forced by Coby Bryant), recovered by Oren Burks at SF-36",-2.03,-1.33
