Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
4,11:22,1,10,SFO 36,24,13,Brock Purdy pass complete short left to Deebo Samuel for 7 yards (tackle by Michael Jackson),1.33,1.74
4,10:35,2,3,SFO 43,24,13,Christian McCaffrey left end for 12 yards (tackle by Jordyn Brooks),1.74,2.59
4,9:57,1,10,SEA 45,24,13,Elijah Mitchell up the middle for 9 yards (tackle by Devon Witherspoon and Derick Hall),2.59,3.26
4,9:21,2,1,SEA 36,24,13,Elijah Mitchell left guard for 5 yards (tackle by Julian Love),3.26,3.51
4,8:38,1,10,SEA 31,24,13,Elijah Mitchell up the middle for 3 yards (tackle by Bobby Wagner and Quandre Diggs),3.51,3.37
4,7:59,2,7,SEA 28,30,13,"Brock Purdy pass complete deep right to Brandon Aiyuk for 28 yards, touchdown",3.37,7
4,7:51,,,SEA 15,31,13,Jake Moody kicks extra point good,0,0
4,7:51,,,SFO 35,31,13,"Jake Moody kicks off 58 yards, returned by D'Wayne Eskridge for 30 yards (tackle by Jordan Mason and Isaiah Oliver)",0,1.4
4,7:46,1,10,SEA 37,31,13,Geno Smith pass complete short left to Zach Charbonnet for 2 yards (tackle by Ji'Ayir Brown),1.4,1.13
4,7:23,2,8,SEA 39,31,13,Geno Smith sacked by and Kevin Givens for -8 yards and Nick Bosa for -8 yards,1.13,-0.62
4,6:40,3,16,SEA 31,31,13,Geno Smith pass complete short middle to Noah Fant for 16 yards (tackle by Tashaun Gipson),-0.62,2.06
4,6:18,1,10,SEA 47,31,13,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by Charvarius Ward),2.06,2.72
4,5:53,1,10,SFO 43,31,13,Zach Charbonnet up the middle for 2 yards (tackle by Dre Greenlaw and Arik Armstead),2.72,2.45
4,5:41,2,8,SFO 41,31,13,Geno Smith pass complete short middle to Zach Charbonnet for 7 yards (tackle by Fred Warner),2.45,2.68
4,5:16,3,1,SFO 34,31,13,Zach Charbonnet up the middle for 4 yards (tackle by Deommodore Lenoir and Javon Hargrave),2.68,3.58
4,4:57,1,10,SFO 30,31,13,Geno Smith pass complete short right to Colby Parkinson for 9 yards (tackle by Charvarius Ward),3.58,4.25
4,4:51,2,1,SFO 21,31,13,Geno Smith pass incomplete deep right intended for Tyler Lockett (defended by Charvarius Ward),4.25,3.53
4,4:45,3,1,SFO 21,31,13,Geno Smith up the middle for no gain (tackle by Fred Warner),3.53,2.21
4,4:19,4,1,SFO 21,31,13,Zach Charbonnet right end for -1 yards (tackle by Nick Bosa and Deommodore Lenoir),2.21,-0.48
4,4:14,1,10,SFO 23,31,13,Elijah Mitchell left end for 13 yards (tackle by Bobby Wagner),0.48,1.33
4,3:28,1,10,SFO 36,31,13,Elijah Mitchell left end for 6 yards (tackle by Derick Hall),1.33,1.6
4,2:44,2,4,SFO 42,31,13,Elijah Mitchell right tackle for 1 yard (tackle by Dre'Mont Jones and Jarran Reed),1.6,1.03
4,2:00,3,3,SFO 43,31,13,Brock Purdy pass complete short left to Ray-Ray McCloud for 23 yards (tackle by Julian Love),1.03,3.31
4,1:15,1,10,SEA 34,31,13,Brock Purdy kneels for -1 yards,3.31,2.64
4,0:38,2,11,SEA 35,31,13,Brock Purdy kneels for -1 yards,2.64,1.82
