Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
2,9:35,1,10,SFO 47,0,6,Christian McCaffrey left end for 11 yards (tackle by Kevin Byard),2.06,2.79
2,8:50,1,10,PHI 42,0,6,Brock Purdy pass complete short right to George Kittle for 32 yards (tackle by Nicholas Morrow and Kevin Byard),2.79,4.91
2,8:05,,,,,,Timeout #1 by San Francisco 49ers,,
2,8:05,1,10,PHI 10,0,6,Brock Purdy scrambles left end for 6 yards (tackle by Reed Blankenship),4.91,5.34
2,7:23,2,4,PHI 4,0,6,Brock Purdy pass incomplete short right intended for George Kittle,5.34,4.49
2,7:19,3,4,PHI 4,0,6,"Brock Purdy pass incomplete short right intended for George Kittle. Penalty on Josh Sweat: Defensive Offside, 2 yards (accepted) (no play)",4.49,4.95
2,7:15,3,2,PHI 2,6,6,"Brock Purdy pass complete to Brandon Aiyuk for 2 yards, touchdown Replay Assistant challenged the pass completion ruling, and the play was upheld.",4.95,7
2,7:10,,,PHI 15,7,6,Jake Moody kicks extra point good,0,0
2,7:10,,,SFO 35,7,6,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,7:10,1,10,PHI 25,7,6,Jalen Hurts sacked by Javon Kinlaw for -9 yards,0.61,-1.29
2,6:23,2,19,PHI 16,7,6,Jalen Hurts pass incomplete short left,-1.29,-2.14
2,6:18,3,19,PHI 16,7,6,Jalen Hurts pass complete short left to DeVonta Smith for 21 yards (tackle by Dre Greenlaw and Charvarius Ward),-2.14,1.4
2,5:44,1,10,PHI 37,7,6,Jalen Hurts pass complete short left to Kenneth Gainwell for 2 yards (tackle by Dre Greenlaw),1.4,1.13
2,5:03,2,8,PHI 39,7,6,Jalen Hurts pass incomplete deep right intended for Quez Watkins (defended by Ambry Thomas),1.13,0.43
2,4:56,3,8,PHI 39,7,6,Jalen Hurts pass incomplete short left,0.43,-0.78
2,4:47,4,8,PHI 39,7,6,Braden Mann punts 51 yards out of bounds,-0.78,0.38
2,4:37,1,10,SFO 10,7,6,Brock Purdy pass complete short right to Deebo Samuel for 9 yards (tackle by Haason Reddick),-0.38,0.24
2,4:01,2,1,SFO 19,7,6,Christian McCaffrey up the middle for 7 yards (tackle by Christian Elliss),0.24,0.67
2,3:23,1,10,SFO 26,7,6,Brock Purdy pass complete short right to George Kittle for 25 yards (tackle by Kevin Byard),0.67,2.32
2,2:41,1,10,PHI 49,7,6,Christian McCaffrey up the middle for 9 yards (tackle by Nicholas Morrow),2.32,3
2,2:00,2,1,PHI 40,7,6,Brock Purdy up the middle for 3 yards (tackle by Jalen Carter),3,3.12
2,1:30,1,10,PHI 37,7,6,Brock Purdy pass complete short left to Brandon Aiyuk for 13 yards (tackle by Darius Slay),3.12,3.97
2,1:01,1,10,PHI 24,7,6,Brock Purdy pass incomplete short right intended for Jauan Jennings,3.97,3.43
2,0:57,2,10,PHI 24,7,6,"Brock Purdy pass complete short left to Brandon Aiyuk for no gain (tackle by Darius Slay). Penalty on Josh Sweat: Defensive Offside, 5 yards (accepted) (no play)",3.43,4.12
2,0:53,2,5,PHI 19,7,6,Deebo Samuel right end for 14 yards (tackle by Kevin Byard and James Bradberry),4.12,6.06
2,0:45,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:45,1,5,PHI 5,7,6,Christian McCaffrey right guard for 3 yards (tackle by Jalen Carter),6.06,5.72
2,0:41,,,,,,Timeout #3 by Philadelphia Eagles,,
2,0:41,2,2,PHI 2,13,6,"Christian McCaffrey left guard for 2 yards, touchdown",5.72,7
2,0:38,,,PHI 15,14,6,Jake Moody kicks extra point good,0,0
2,0:38,,,SFO 35,14,6,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,0:38,1,10,PHI 25,14,6,Jalen Hurts pass incomplete short middle intended for Kenneth Gainwell (defended by Javon Hargrave),0.61,0.06
2,0:33,2,10,PHI 25,14,6,Kenneth Gainwell left tackle for 3 yards (tackle by Dre Greenlaw and Nick Bosa),0.06,-0.23
3,15:00,,,PHI 35,14,6,"Jake Elliott kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,14,6,Christian McCaffrey left end for 5 yards (tackle by Christian Elliss),0.61,0.74
3,14:28,2,5,SFO 30,14,6,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk,0.74,0.04
3,14:23,3,5,SFO 30,14,6,Brock Purdy pass complete short middle to Jauan Jennings for 18 yards (tackle by Eli Ricks and Reed Blankenship),0.04,2.13
3,13:47,1,10,SFO 48,14,6,Brock Purdy pass complete short left to George Kittle for 8 yards (tackle by Reed Blankenship),2.13,2.66
3,13:12,2,2,PHI 44,14,6,Christian McCaffrey up the middle for -1 yards (tackle by Fletcher Cox and Jordan Davis),2.66,1.82
3,12:30,3,3,PHI 45,14,6,Brock Purdy pass complete short left to Christian McCaffrey for 33 yards (tackle by Darius Slay),1.82,4.78
3,11:48,1,10,PHI 12,20,6,"Deebo Samuel right end for 12 yards, touchdown",4.78,7
3,11:41,,,PHI 15,21,6,Jake Moody kicks extra point good,0,0
