Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
2,9:14,1,10,SFO 37,10,10,Deebo Samuel left end for 17 yards (tackle by Russ Yeast),1.4,2.52
2,8:35,1,10,LAR 46,10,10,Christian McCaffrey left guard for 1 yard (tackle by Byron Young and Jonah Williams),2.52,2.11
2,7:57,2,9,LAR 45,10,10,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,2.11,1.42
2,7:51,3,9,LAR 45,10,10,Brock Purdy sacked by Byron Young for no gain,1.42,0.27
2,7:10,4,9,LAR 45,10,10,"Mitch Wishnowsky punts 33 yards, fair catch by Kyren Williams at LA-12",0.27,0.35
2,7:02,1,10,LAR 12,10,10,Kyren Williams right tackle for 5 yards (tackle by Fred Warner),-0.35,-0.23
2,6:23,2,5,LAR 17,10,10,Matthew Stafford pass complete short right to Puka Nacua for 8 yards (tackle by Charvarius Ward and Dre Greenlaw),-0.23,0.61
2,5:40,1,10,LAR 25,10,10,Matthew Stafford pass incomplete short left,0.61,0.06
2,5:33,2,10,LAR 25,10,10,Matthew Stafford pass complete short left to Tutu Atwell for 11 yards (tackle by Deommodore Lenoir),0.06,1.33
2,4:50,1,10,LAR 36,10,10,"Tutu Atwell for 5 yards (tackle by Dre Greenlaw). Penalty on Isaiah Oliver: Illegal Use of Hands / Defense, 5 yards (accepted)",1.33,1.99
2,4:22,1,10,LAR 46,10,10,Matthew Stafford pass complete deep left to Tutu Atwell for 18 yards (tackle by Deommodore Lenoir),1.99,3.18
2,3:52,1,10,SFO 36,10,10,Matthew Stafford pass incomplete short left intended for Tyler Higbee (defended by Drake Jackson),3.18,2.64
2,3:46,2,10,SFO 36,10,10,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Talanoa Hufanga),2.64,4.04
2,3:01,,,,,,Timeout #2 by Los Angeles Rams,,
2,3:01,1,10,SFO 23,10,10,Kyren Williams left tackle for 6 yards (tackle by Fred Warner),4.04,4.38
2,2:23,2,4,SFO 17,10,10,Kyren Williams left tackle for 4 yards (tackle by Dre Greenlaw),4.38,4.71
2,2:00,1,10,SFO 13,10,10,Kyren Williams right end for 7 yards (tackle by Tashaun Gipson),4.71,5.34
2,1:55,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:55,2,3,SFO 6,10,10,Kyren Williams up the middle for 2 yards (tackle by Fred Warner),5.34,5.01
2,1:50,,,,,,Timeout #3 by San Francisco 49ers,,
2,1:50,3,1,SFO 4,10,16,"Kyren Williams up the middle for 4 yards, touchdown",5.01,7
2,1:45,,,SFO 15,10,17,Brett Maher kicks extra point good,0,0
2,1:45,,,LAR 35,10,17,"Ethan Evans kicks off 65 yards, touchback.",0,0.61
2,1:45,1,10,SFO 25,10,17,Brock Purdy pass complete short right to Deebo Samuel for 23 yards (tackle by Ernest Jones),0.61,2.13
2,1:09,1,10,SFO 48,10,17,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Jordan Fuller),2.13,2.8
2,1:02,2,1,LAR 43,10,17,Christian McCaffrey right tackle for 3 yards (tackle by Quentin Lake),2.8,2.92
2,0:44,1,10,LAR 40,10,17,Brock Purdy pass complete deep left to Jauan Jennings for 20 yards (tackle by Cobie Durant and Russ Yeast),2.92,4.24
2,0:21,1,10,LAR 20,10,17,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,4.24,3.69
2,0:17,2,10,LAR 20,10,17,"Brock Purdy pass incomplete deep left intended for Deebo Samuel. Penalty on Derion Kendrick: Defensive Pass Interference, 19 yards (accepted) (no play)",3.69,6.97
2,0:11,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:11,1,1,LAR 1,10,17,Brock Purdy pass incomplete. Penalty on Derion Kendrick: Face Mask (15 Yards) (accepted) (no play),6.97,6.97
2,0:06,1,1,LAR 1,10,17,Brock Purdy pass incomplete short right,6.97,5.91
2,0:01,2,1,LAR 1,16,17,"Brock Purdy for 1 yard, touchdown",5.91,7
2,0:00,,,LAR 15,17,17,Jake Moody kicks extra point good,0,0
3,15:00,,,SFO 35,17,17,"Jake Moody kicks off 64 yards, returned by Austin Trammell for 20 yards (tackle by Charlie Woerner and Isaiah Oliver)",0,0.34
3,14:54,1,10,LAR 21,17,17,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Isaiah Oliver and Charvarius Ward),0.34,0.75
3,14:14,2,3,LAR 28,17,17,Puka Nacua for 4 yards (tackle by Dre Greenlaw and Isaiah Oliver),0.75,1.07
3,13:33,1,10,LAR 32,17,17,Kyren Williams left guard for no gain (tackle by Arik Armstead and Nick Bosa),1.07,0.53
3,12:53,2,10,LAR 32,17,17,Matthew Stafford pass complete short left to Tutu Atwell for 11 yards (tackle by Deommodore Lenoir),0.53,1.8
3,12:32,1,10,LAR 43,17,17,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Charvarius Ward),1.8,1.66
3,11:50,2,7,LAR 46,17,17,Matthew Stafford right end for 2 yards (tackle by Charvarius Ward),1.66,1.22
3,11:12,3,5,LAR 48,17,17,Matthew Stafford pass complete short left to Kyren Williams for 3 yards (tackle by Isaiah Oliver),1.22,0
3,10:23,4,2,SFO 49,17,17,"Penalty on LAR: Delay of Game, 5 yards (accepted) (no play)",0,-0.32
3,10:09,4,7,LAR 46,17,17,"Ethan Evans punts 36 yards, fair catch by Ray-Ray McCloud at SF-18",-0.32,-0.04
3,10:02,1,10,SFO 18,17,17,"Brock Purdy aborted snap, recovered by Brock Purdy at SF-18",0.04,-0.49
3,9:28,2,10,SFO 18,17,17,"Christian McCaffrey right end for 3 yards (tackle by Christian Rozeboom) Penalty on SFO: False Start, 5 yards (declined)",-0.49,-0.79
3,9:02,3,7,SFO 21,17,17,Brock Purdy pass incomplete deep middle intended for Jauan Jennings,-0.79,-1.96
3,8:57,4,7,SFO 21,17,17,"Mitch Wishnowsky punts 62 yards, returned by Kyren Williams for 11 yards (tackle by George Odum and Jordan Mason)",-1.96,-0.81
3,8:45,1,10,LAR 28,17,17,Matthew Stafford pass complete short right to Tutu Atwell for 5 yards (tackle by Charvarius Ward),0.81,0.94
3,8:06,2,5,LAR 33,17,17,Matthew Stafford pass complete short right to Kyren Williams for 15 yards (tackle by Dre Greenlaw),0.94,2.13
3,7:27,1,10,LAR 48,17,17,Kyren Williams left end for 2 yards (tackle by Deommodore Lenoir),2.13,1.85
3,6:42,2,8,SFO 50,17,17,Matthew Stafford pass complete short left to Puka Nacua for 14 yards (tackle by Deommodore Lenoir),1.85,3.18
3,5:57,1,10,SFO 36,17,17,Ben Skowronek left end for 11 yards (tackle by Deommodore Lenoir and Fred Warner),3.18,3.91
3,5:16,1,10,SFO 25,17,17,"Ronnie Rivers up the middle for no gain (tackle by Fred Warner). Penalty on Brycen Hopkins: Offensive Holding, 10 yards (accepted) (no play)",3.91,3.25
3,4:43,1,20,SFO 35,17,17,Matthew Stafford pass complete short middle to Ronnie Rivers for 4 yards (tackle by Arik Armstead),3.25,2.55
3,4:17,2,16,SFO 31,17,17,Matthew Stafford pass short left intended for Kyren Williams is intercepted by Isaiah Oliver at SF-25 and returned for 3 yards (tackle by Kyren Williams),2.55,-0.81
3,4:10,1,10,SFO 28,17,17,Brock Purdy pass complete short middle to Brandon Aiyuk for 18 yards (tackle by Jordan Fuller),0.81,1.99
3,3:26,1,10,SFO 46,17,17,Brock Purdy pass complete short left to George Kittle for 12 yards (tackle by Jordan Fuller),1.99,2.79
3,2:51,1,10,LAR 42,17,17,Christian McCaffrey up the middle for 2 yards (tackle by Kobie Turner and Jonah Williams),2.79,2.51
3,2:10,2,8,LAR 40,17,17,Brock Purdy pass complete short left to Christian McCaffrey for 1 yard (tackle by Derion Kendrick),2.51,1.95
3,1:33,3,7,LAR 39,17,17,Brock Purdy pass incomplete deep middle intended for Deebo Samuel,1.95,0.66
3,1:26,4,7,LAR 39,20,17,Jake Moody 57 yard field goal good,0.66,3
3,1:21,,,SFO 35,20,17,"Jake Moody kicks off 65 yards, touchback.",0,0.61
3,1:21,1,10,LAR 25,20,17,Matthew Stafford pass incomplete deep left intended for Tutu Atwell,0.61,0.06
3,1:14,2,10,LAR 25,20,17,Matthew Stafford pass incomplete short left intended for Puka Nacua,0.06,-0.62
3,1:10,3,10,LAR 25,20,17,Matthew Stafford sacked by Fred Warner for -10 yards,-0.62,-2.44
3,0:33,4,20,LAR 15,20,17,"Ethan Evans punts 72 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Tre'Vius Tomlinson)",-2.44,-0.67
