Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
2,10:17,3,13,NYG 31,3,3,Brock Purdy pass complete short right to Christian McCaffrey for 17 yards (tackle by Leonard Williams),2.08,4.65
2,9:33,1,10,NYG 14,3,3,Christian McCaffrey left tackle for 4 yards (tackle by Micah McFadden),4.65,4.71
2,8:53,2,6,NYG 10,3,3,"Christian McCaffrey right tackle for no gain. Penalty on Colton McKivitz: Offensive Holding, 10 yards (offset) . Penalty on Jihad Ward: Face Mask (15 Yards), 15 yards (offset) (no play)",4.71,4.71
2,8:37,2,6,NYG 10,3,3,Christian McCaffrey left guard for 1 yard (tackle by Bobby Okereke and Kayvon Thibodeaux),4.71,4.05
2,7:53,3,5,NYG 9,3,9,"Brock Purdy pass complete short left to Ronnie Bell for 9 yards, touchdown. Penalty on Oshane Ximines: Defensive Offside, 5 yards (declined)",4.05,7
2,7:49,,,NYG 15,3,10,Jake Moody kicks extra point good,0,0
2,7:49,,,SFO 35,3,10,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,7:49,1,10,NYG 25,3,10,Daniel Jones pass incomplete short left,0.61,0.06
2,7:41,2,10,NYG 25,3,10,Daniel Jones pass complete short left to Matt Breida for 8 yards (tackle by Fred Warner),0.06,0.43
2,6:59,3,2,NYG 33,3,10,Daniel Jones sacked by Javon Hargrave for -8 yards,0.43,-1.7
2,6:21,4,10,NYG 25,3,10,"Jamie Gillan punts 48 yards, fair catch by Ray-Ray McCloud at SF-27",-1.7,-0.74
2,6:13,1,10,SFO 27,3,10,Brock Purdy pass incomplete short left intended for Deebo Samuel,0.74,0.2
2,6:08,2,10,SFO 27,3,10,Brock Purdy pass complete short right to Elijah Mitchell for 9 yards (tackle by Kayvon Thibodeaux and Isaiah Simmons),0.2,0.7
2,5:27,3,1,SFO 36,3,10,Christian McCaffrey left tackle for 12 yards (tackle by Deonte Banks),0.7,2.13
2,4:46,1,10,SFO 48,3,10,Elijah Mitchell right end for 18 yards (tackle by Xavier McKinney),2.13,3.31
2,4:06,1,10,NYG 34,3,10,Elijah Mitchell up the middle for 1 yard (tackle by Leonard Williams),3.31,2.91
2,3:22,2,9,NYG 33,3,10,Brock Purdy pass complete short middle to Ronnie Bell for 15 yards (tackle by Xavier McKinney),2.91,4.37
2,2:39,1,10,NYG 18,3,10,Elijah Mitchell right tackle for 5 yards (tackle by Micah McFadden),4.37,4.61
2,2:00,2,5,NYG 13,3,10,"Deebo Samuel left end for 2 yards (tackle by Deonte Banks). Penalty on Trent Williams: Offensive Holding, 10 yards (accepted)",4.61,3.42
2,1:56,2,13,NYG 21,3,10,Brock Purdy pass complete short right to Christian McCaffrey for 1 yard (tackle by Jihad Ward),3.42,2.87
2,1:51,,,,,,Timeout #1 by New York Giants,,
2,1:51,3,12,NYG 20,3,10,Brock Purdy pass complete short right to George Kittle for 11 yards (tackle by Isaiah Simmons and Tre Hawkins),2.87,2.93
2,1:51,4,3,NYG 9,3,10,"Penalty on Leonard Williams: Roughing the Passer, 5 yards (accepted) (no play)",2.93,6.28
2,1:44,,,,,,Timeout #2 by New York Giants,,
2,1:44,1,4,NYG 4,3,16,"Christian McCaffrey up the middle for 4 yards, touchdown",6.28,7
2,1:40,,,NYG 15,3,17,Jake Moody kicks extra point good,0,0
2,1:40,,,SFO 35,3,17,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,1:40,1,10,NYG 25,3,17,Daniel Jones pass complete short left to Parris Campbell for 2 yards (tackle by Tashaun Gipson),0.61,0.33
2,1:19,2,8,NYG 27,3,17,Daniel Jones pass complete short middle to Darren Waller for 6 yards (tackle by Fred Warner),0.33,0.43
2,0:58,3,2,NYG 33,3,17,Daniel Jones pass complete short left to Darren Waller for 5 yards (tackle by George Odum and Dre Greenlaw),0.43,1.47
2,0:38,1,10,NYG 38,3,17,Daniel Jones pass complete short left to Darius Slayton for 17 yards (tackle by Deommodore Lenoir),1.47,2.59
2,0:32,1,10,SFO 45,3,17,Daniel Jones pass complete short left to Parris Campbell for 7 yards (tackle by Deommodore Lenoir),2.59,2.99
2,0:25,,,,,,Timeout #3 by New York Giants,,
2,0:25,2,3,SFO 38,3,17,Daniel Jones pass incomplete short left intended for Darren Waller,2.99,2.28
2,0:22,3,3,SFO 38,3,17,Daniel Jones pass incomplete deep right intended for Isaiah Hodgins,2.28,0.72
2,0:18,4,3,SFO 38,6,17,Graham Gano 57 yard field goal good,0.72,3
2,0:13,,,NYG 35,6,17,"Graham Gano kicks off 65 yards, touchback.",0,0.61
2,0:13,1,10,SFO 25,6,17,"Brock Purdy kneels for -1 yards. Penalty on Trent Williams: Unnecessary Roughness / Offense, 15 yards (offset) . Penalty on A'Shawn Robinson: Unnecessary Roughness / Defense, 15 yards (offset)",0.61,0.54
2,0:06,1,10,SFO 24,6,17,Brock Purdy kneels for -1 yards,0.54,-0.14
3,15:00,,,SFO 35,6,17,"Jake Moody kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,NYG 25,6,17,Gary Brightwell left tackle for 2 yards (tackle by Javon Hargrave and Nick Bosa),0.61,0.33
3,14:23,2,8,NYG 27,6,17,Daniel Jones pass complete short left to Gary Brightwell for 13 yards (tackle by Tashaun Gipson),0.33,1.6
3,13:52,1,10,NYG 40,6,17,Gary Brightwell left end for -1 yards (tackle by Oren Burks),1.6,0.92
3,13:13,2,11,NYG 39,6,17,Daniel Jones left end for 4 yards (tackle by Dre Greenlaw),0.92,0.76
3,12:32,3,7,NYG 43,6,17,Daniel Jones pass incomplete short right intended for Darius Slayton,0.76,-0.52
3,12:24,4,7,NYG 43,6,17,"Jamie Gillan punts 49 yards, returned by Ray-Ray McCloud for no gain (tackle by Cam Brown). Penalty on Tre Swilling: Offensive Holding, 4 yards (accepted)",-0.52,0.38
3,12:14,1,10,SFO 4,6,17,Christian McCaffrey right guard for 3 yards (tackle by A'Shawn Robinson),-0.38,-0.56
