Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
2,13:26,1,10,DAL 38,0,13,"Brock Purdy pass complete deep right to George Kittle for 38 yards, touchdown",3.05,7
2,13:16,,,DAL 15,0,14,Jake Moody kicks extra point good,0,0
2,13:16,,,SFO 35,0,14,"Jake Moody kicks off 61 yards, returned by KaVontae Turpin for 18 yards (tackle by George Odum)",0,0.41
2,13:12,1,10,DAL 22,0,14,Tony Pollard up the middle for 3 yards (tackle by Isaiah Oliver and Fred Warner),0.41,0.27
2,12:41,2,7,DAL 25,0,14,Brandin Cooks left end for 6 yards (tackle by Tashaun Gipson),0.27,0.37
2,12:18,3,1,DAL 31,0,14,Dak Prescott up the middle for 2 yards (tackle by Arik Armstead and Nick Bosa),0.37,1.14
2,11:46,1,10,DAL 33,0,14,Rico Dowdle up the middle for 5 yards (tackle by Dre Greenlaw and Fred Warner),1.14,1.27
2,11:14,2,5,DAL 38,0,14,Dak Prescott pass complete short right to Brandin Cooks for 7 yards,1.27,1.93
2,10:36,1,10,DAL 45,0,14,Dak Prescott pass complete short middle to Tony Pollard for 3 yards (tackle by Dre Greenlaw),1.93,1.79
2,10:02,2,7,DAL 48,0,14,Tony Pollard right end for no gain (tackle by Tashaun Gipson and Oren Burks),1.79,1.09
2,9:18,3,7,DAL 48,0,14,Dak Prescott pass complete short right to Jake Ferguson for 20 yards (tackle by Fred Warner),1.09,3.45
2,8:37,1,10,SFO 32,0,14,Dak Prescott pass incomplete short middle intended for Rico Dowdle (defended by Dre Greenlaw),3.45,2.9
2,8:34,2,10,SFO 32,0,14,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Isaiah Oliver and Deommodore Lenoir),2.9,3.01
2,7:51,3,4,SFO 26,6,14,"Dak Prescott pass complete deep right to KaVontae Turpin for 26 yards, touchdown",3.01,7
2,7:45,,,SFO 15,7,14,Brandon Aubrey kicks extra point good,0,0
2,7:45,,,DAL 35,7,14,"Brandon Aubrey kicks off 65 yards, touchback.",0,0.61
2,7:45,1,10,SFO 25,7,14,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Malik Hooker),0.61,1.6
2,7:06,1,10,SFO 40,7,14,Christian McCaffrey up the middle for 6 yards (tackle by Damone Clark and DeMarcus Lawrence),1.6,1.86
2,6:23,2,4,SFO 46,7,14,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,1.86,1.16
2,6:16,3,4,SFO 46,7,14,"Brock Purdy pass incomplete short left intended for Christian McCaffrey. Penalty on Jayron Kearse: Taunting / Defense, 15 yards (declined) . Penalty on Donovan Wilson: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.16,2.98
2,6:11,1,10,DAL 39,7,14,Christian McCaffrey left end for -2 yards (tackle by Leighton Vander Esch),2.98,2.17
