Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
2,8:09,3,15,TAM 27,0,7,Brock Purdy pass complete short right to Deebo Samuel for 8 yards (tackle by Lavonte David),2.21,2.18
2,7:25,4,7,TAM 19,0,10,Jake Moody 37 yard field goal good,2.18,3
2,7:21,,,SFO 35,0,10,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,7:21,1,10,TAM 25,0,10,Baker Mayfield pass complete short left to Payne Durham for 8 yards (tackle by Oren Burks),0.61,1.14
2,6:44,2,2,TAM 33,0,10,Chase Edmonds left tackle for 3 yards (tackle by Fred Warner),1.14,1.33
2,6:03,1,10,TAM 36,0,10,Baker Mayfield pass complete deep right to Trey Palmer for 17 yards (tackle by Charvarius Ward),1.33,2.46
2,5:27,1,10,SFO 47,0,10,Chase Edmonds right tackle for 1 yard (tackle by Fred Warner),2.46,2.05
2,4:46,2,9,SFO 46,0,10,"Baker Mayfield pass incomplete short right intended for Cade Otton. Penalty on Nick Bosa: Defensive Offside, 5 yards (accepted) (no play)",2.05,2.72
2,4:43,2,4,SFO 41,0,10,Rachaad White left guard for 2 yards (tackle by Javon Hargrave),2.72,2.28
2,4:02,3,2,SFO 39,0,10,Baker Mayfield scrambles left tackle for 3 yards (tackle by Dre Greenlaw and Javon Hargrave),2.28,3.18
2,3:16,1,10,SFO 36,0,10,Baker Mayfield sacked by Arik Armstead for -9 yards,3.18,1.42
2,2:32,2,19,SFO 45,0,10,Baker Mayfield pass complete deep middle to Cade Otton for 27 yards (tackle by Talanoa Hufanga),1.42,4.37
2,2:00,1,10,SFO 18,0,10,Deven Thompkins left end for 17 yards (tackle by Clelin Ferrell),4.37,6.97
2,1:52,1,1,SFO 1,6,10,"Baker Mayfield pass complete short left to Mike Evans for 1 yard, touchdown",6.97,7
2,1:48,,,SFO 15,7,10,Chase McLaughlin kicks extra point good,0,0
2,1:48,,,TAM 35,7,10,"Jake Camarda kicks off 55 yards, returned by Ray-Ray McCloud for 19 yards (tackle by Anthony Nelson and Josh Hayes)",0,0.87
2,1:43,1,10,SFO 29,7,10,Brock Purdy pass complete short right to Brandon Aiyuk for 37 yards (tackle by Devin White),0.87,3.31
