State;Action;Reward;Next_State
[1, 10, 57];2;0.26;[2, 4, 51]
[2, 4, 51];1;0.73;[1, 10, 42]
[1, 10, 42];1;1.92;[1, 10, 13]
[1, 10, 13];1;2.29;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 62];1;1.38;[1, 10, 41]
[1, 10, 41];2;0.67;[2, 1, 32]
[2, 1, 32];2;0.12;[1, 10, 29]
[1, 10, 29];2;-0.27;[2, 8, 27]
[2, 8, 27];1;-0.69;[3, 8, 27]
[3, 8, 27];1;1.63;[1, 10, 19]
[1, 10, 19];1;0.41;[2, 4, 13]
[2, 4, 13];1;-0.76;[4, 12, 21]
[4, 12, 21];3;0.94;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 51];2;0.0;[2, 6, 47]
[2, 6, 47];1;-0.7;[3, 6, 47]
[3, 6, 47];1;-1.32;[3, 16, 57]
[3, 16, 57];1;-0.69;[4, 16, 57]
[4, 16, 57];4;0.9;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];1;0.0;[2, 6, 74]
[2, 6, 74];2;1.06;[1, 10, 62]
[1, 10, 62];1;1.12;[1, 10, 45]
[1, 10, 45];2;0.13;[2, 5, 40]
[2, 5, 40];2;-0.31;[3, 2, 37]
[3, 2, 37];2;0.84;[1, 10, 35]
[1, 10, 35];1;1.46;[1, 10, 13]
[1, 10, 13];2;-0.32;[2, 8, 11]
[2, 8, 11];1;-2.24;[3, 20, 23]
[3, 20, 23];1;0.16;[4, 14, 17]
[4, 14, 17];3;0.69;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];1;5.72;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 57];2;-0.41;[2, 9, 56]
[2, 9, 56];1;0.1;[4, 4, 51]
[4, 4, 51];4;0.35;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 81];1;-0.35;[2, 9, 80]
[2, 9, 80];1;-0.74;[3, 9, 80]
[3, 9, 80];1;2.6;[1, 10, 59]
[1, 10, 59];2;-0.4;[2, 9, 58]
[2, 9, 58];1;1.86;[1, 10, 37]
[1, 10, 37];2;0.92;[1, 10, 40]
[1, 10, 40];2;0.99;[1, 10, 25]
[1, 10, 25];2;-0.14;[2, 7, 22]
[2, 7, 22];1;3.23;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 69];2;0.0;[2, 6, 65]
[2, 6, 65];2;-0.7;[3, 6, 65]
[3, 6, 65];1;2.29;[1, 10, 45]
[1, 10, 45];2;-0.14;[2, 7, 42]
[2, 7, 42];2;0.86;[1, 10, 34]
[1, 10, 34];2;0.0;[2, 6, 30]
[2, 6, 30];2;-0.7;[3, 6, 30]
[3, 6, 30];2;-1.07;[4, 5, 29]
[4, 5, 29];2;3.37;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 10];2;-0.53;[2, 9, 9]
[2, 9, 9];1;0.34;[3, 3, 3]
[3, 3, 3];2;-1.71;[4, 5, 5]
[4, 5, 5];1;-2.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
