State;Action;Reward;Next_State
[1, 10, 71];1;0.93;[1, 10, 57]
[1, 10, 57];1;-0.55;[2, 10, 57]
[2, 10, 57];1;0.5;[3, 1, 48]
[3, 1, 48];2;0.97;[1, 10, 43]
[1, 10, 43];2;1.79;[1, 10, 16]
[1, 10, 16];2;-0.12;[2, 7, 13]
[2, 7, 13];1;2.12;[1, 3, 3]
[1, 3, 3];2;-0.79;[2, 2, 2]
[2, 2, 2];2;1.28;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 78];2;-0.27;[2, 8, 76]
[2, 8, 76];1;1.85;[1, 10, 54]
[1, 10, 54];1;1.59;[1, 10, 30]
[1, 10, 30];2;-0.53;[1, 18, 38]
[1, 18, 38];1;-0.56;[2, 14, 34]
[2, 14, 34];1;-0.67;[3, 14, 34]
[3, 14, 34];1;-1.23;[4, 20, 40]
[4, 20, 40];4;-0.21;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 42];2;-0.28;[2, 8, 40]
[2, 8, 40];1;-1.09;[4, 12, 44]
[4, 12, 44];4;0.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 58];1;1.45;[1, 10, 36]
[1, 10, 36];1;-0.54;[2, 10, 36]
[2, 10, 36];2;-0.56;[3, 9, 35]
[3, 9, 35];1;1.89;[1, 10, 24]
[1, 10, 24];1;-0.54;[2, 10, 24]
[2, 10, 24];2;-0.16;[3, 6, 20]
[3, 6, 20];1;2.1;[1, 8, 8]
[1, 8, 8];2;1.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-1.22;[2, 15, 80]
[2, 15, 80];1;-0.68;[3, 15, 80]
[3, 15, 80];2;-0.28;[4, 8, 73]
[4, 8, 73];4;5.68;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 22];2;0.18;[2, 5, 17]
[2, 5, 17];2;-0.55;[3, 4, 16]
[3, 4, 16];1;-1.11;[4, 2, 14]
[4, 2, 14];3;0.37;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 96];1;-0.4;[2, 10, 96]
[2, 10, 96];1;-6.22;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 15, 80];1;-0.62;[2, 13, 78]
[2, 13, 78];1;0.24;[3, 6, 71]
[3, 6, 71];1;-1.34;[4, 6, 71]
[4, 6, 71];4;1.82;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 64];1;0.41;[2, 3, 57]
[2, 3, 57];2;0.85;[1, 10, 45]
[1, 10, 45];2;0.67;[2, 1, 36]
[2, 1, 36];2;0.25;[1, 10, 31]
[1, 10, 31];2;-0.14;[2, 7, 28]
[2, 7, 28];1;3.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 77];2;0.85;[1, 10, 64]
[1, 10, 64];2;0.27;[2, 4, 58]
[2, 4, 58];2;-0.57;[3, 3, 57]
[3, 3, 57];1;2.28;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
