State;Action;Reward;Next_State
[1, 10, 75];2;-0.01;[2, 6, 71]
[2, 6, 71];1;-0.7;[3, 6, 71]
[3, 6, 71];1;1.9;[1, 10, 57]
[1, 10, 57];1;-0.55;[2, 10, 57]
[2, 10, 57];2;1.21;[1, 10, 47]
[1, 10, 47];2;0.26;[3, 8, 45]
[3, 8, 45];1;2.68;[1, 10, 21]
[1, 10, 21];1;0.78;[2, 2, 13]
[2, 2, 13];2;-0.46;[3, 1, 12]
[3, 1, 12];2;0.35;[1, 10, 11]
[1, 10, 11];1;-0.7;[2, 10, 11]
[2, 10, 11];1;-1.01;[3, 10, 11]
[3, 10, 11];1;-0.43;[4, 10, 11]
[4, 10, 11];3;0.3;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-0.28;[2, 8, 73]
[2, 8, 73];1;1.4;[1, 10, 58]
[1, 10, 58];2;-0.41;[2, 9, 57]
[2, 9, 57];1;-0.69;[3, 9, 57]
[3, 9, 57];1;-0.69;[4, 2, 50]
[4, 2, 50];4;0.44;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 72];1;-0.55;[2, 10, 72]
[2, 10, 72];1;-0.67;[2, 15, 77]
[2, 15, 77];1;-0.68;[3, 15, 77]
[3, 15, 77];1;3.55;[1, 10, 47]
[1, 10, 47];2;0.67;[2, 1, 38]
[2, 1, 38];2;0.58;[1, 10, 28]
[1, 10, 28];1;-0.68;[2, 11, 29]
[2, 11, 29];1;-0.95;[3, 13, 31]
[3, 13, 31];1;2.57;[1, 10, 14]
[1, 10, 14];2;0.06;[2, 6, 10]
[2, 6, 10];2;0.0;[2, 6, 10]
[2, 6, 10];2;-0.66;[3, 5, 9]
[3, 5, 9];1;2.95;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 73];1;-0.54;[2, 10, 73]
[2, 10, 73];1;0.5;[3, 1, 64]
[3, 1, 64];2;1.43;[1, 10, 52]
[1, 10, 52];2;1.18;[1, 10, 34]
[1, 10, 34];2;-0.4;[2, 9, 33]
[2, 9, 33];1;1.46;[1, 10, 18]
[1, 10, 18];2;0.24;[2, 5, 13]
[2, 5, 13];2;-1.19;[2, 13, 21]
[2, 13, 21];1;-0.55;[3, 12, 20]
[3, 12, 20];1;0.06;[1, 4, 4]
[1, 4, 4];2;0.72;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 96];2;-0.18;[3, 8, 94]
[3, 8, 94];1;-1.3;[1, 10, 75]
[1, 10, 75];1;2.64;[2, 16, 41]
[2, 16, 41];1;0.92;[3, 4, 29]
[3, 4, 29];1;1.16;[1, 10, 24]
[1, 10, 24];2;0.0;[2, 6, 20]
[2, 6, 20];1;0.68;[1, 10, 14]
[1, 10, 14];2;0.44;[2, 4, 8]
[2, 4, 8];2;-1.66;[3, 8, 12]
[3, 8, 12];1;2.17;[1, 7, 7]
[1, 7, 7];2;-0.07;[2, 3, 3]
[2, 3, 3];1;-0.81;[3, 3, 3]
[3, 3, 3];1;-1.68;[4, 3, 3]
[4, 3, 3];3;-0.04;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 70];1;1.25;[1, 10, 51]
[1, 10, 51];1;0.54;[2, 2, 43]
[2, 2, 43];2;0.19;[1, 10, 40]
[1, 10, 40];2;-0.01;[2, 6, 36]
[2, 6, 36];2;-0.17;[3, 2, 32]
[3, 2, 32];1;0.84;[1, 10, 30]
[1, 10, 30];2;-0.14;[2, 7, 27]
[2, 7, 27];1;3.56;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 52];2;-0.28;[2, 8, 50]
[2, 8, 50];2;-0.3;[4, 2, 44]
[4, 2, 44];4;0.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 51];2;0.13;[2, 5, 46]
[2, 5, 46];2;-0.57;[3, 4, 45]
[3, 4, 45];2;1.17;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
