State;Action;Reward;Next_State
[1, 10, 84];2;0.69;[2, 2, 76]
[2, 2, 76];2;2.76;[1, 10, 34]
[1, 10, 34];2;0.14;[2, 5, 29]
[2, 5, 29];2;1.2;[1, 10, 14]
[1, 10, 14];2;-0.49;[2, 9, 13]
[2, 9, 13];1;2.84;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 26];1;-1.62;[2, 23, 39]
[2, 23, 39];1;-0.65;[3, 23, 39]
[3, 23, 39];2;-0.01;[4, 20, 36]
[4, 20, 36];3;-2.74;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 63];2;-0.27;[2, 8, 61]
[2, 8, 61];2;-0.04;[3, 3, 56]
[3, 3, 56];1;-1.32;[3, 13, 66]
[3, 13, 66];1;-0.88;[1, 10, 83]
[1, 10, 83];2;1.13;[1, 10, 68]
[1, 10, 68];1;2.18;[1, 10, 35]
[1, 10, 35];2;-0.41;[2, 9, 34]
[2, 9, 34];1;0.67;[2, 4, 29]
[2, 4, 29];2;-0.44;[3, 2, 27]
[3, 2, 27];2;0.9;[1, 10, 24]
[1, 10, 24];1;0.0;[2, 6, 20]
[2, 6, 20];2;0.68;[1, 10, 14]
[1, 10, 14];2;0.25;[2, 5, 9]
[2, 5, 9];2;-1.28;[3, 7, 11]
[3, 7, 11];1;-0.63;[4, 3, 7]
[4, 3, 7];3;0.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-0.55;[2, 10, 75]
[2, 10, 75];1;1.01;[1, 10, 68]
[1, 10, 68];1;0.67;[2, 1, 59]
[2, 1, 59];2;-0.71;[3, 1, 59]
[3, 1, 59];2;1.16;[1, 10, 51]
[1, 10, 51];2;-0.95;[2, 13, 54]
[2, 13, 54];1;0.68;[2, 8, 49]
[2, 8, 49];1;1.53;[1, 10, 32]
[1, 10, 32];1;-0.55;[2, 15, 37]
[2, 15, 37];1;-0.68;[4, 23, 45]
[4, 23, 45];4;0.11;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 66];1;-0.54;[2, 10, 66]
[2, 10, 66];2;-0.82;[3, 11, 67]
[3, 11, 67];1;-2.89;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 20, 90];1;-0.96;[3, 19, 89]
[3, 19, 89];2;-0.02;[1, 10, 82]
[1, 10, 82];1;-0.53;[2, 10, 82]
[2, 10, 82];2;-0.68;[3, 10, 82]
[3, 10, 82];1;-1.07;[4, 10, 82]
[4, 10, 82];4;1.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 8, 8];2;1.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-2.15;[2, 21, 86]
[2, 21, 86];1;0.78;[3, 11, 76]
[3, 11, 76];1;-1.01;[4, 11, 76]
[4, 11, 76];4;1.1;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;-0.55;[2, 10, 75]
[2, 10, 75];1;-0.68;[3, 10, 75]
[3, 10, 75];1;1.69;[1, 10, 68]
[1, 10, 68];1;1.65;[1, 10, 43]
[1, 10, 43];1;-0.54;[2, 10, 43]
[2, 10, 43];1;0.36;[3, 2, 35]
[3, 2, 35];1;1.3;[1, 10, 26]
[1, 10, 26];2;-0.14;[3, 7, 23]
[3, 7, 23];3;-4.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
