State;Action;Reward;Next_State
[1, 10, 75];2;1.19;[1, 10, 57]
[1, 10, 57];1;0.67;[2, 1, 48]
[2, 1, 48];2;0.18;[1, 10, 44]
[1, 10, 44];1;0.73;[1, 10, 33]
[1, 10, 33];1;0.73;[1, 5, 28]
[1, 5, 28];1;-0.06;[2, 1, 24]
[2, 1, 24];2;0.26;[1, 10, 19]
[1, 10, 19];1;2.69;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 77];2;0.13;[2, 5, 72]
[2, 5, 72];2;-0.31;[3, 2, 69]
[3, 2, 69];1;-1.61;[4, 2, 69]
[4, 2, 69];4;0.97;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 12, 72];2;0.77;[3, 1, 61]
[3, 1, 61];2;0.77;[1, 10, 59]
[1, 10, 59];2;0.14;[2, 5, 54]
[2, 5, 54];1;-0.71;[3, 5, 54]
[3, 5, 54];1;1.23;[1, 10, 49]
[1, 10, 49];2;0.41;[2, 3, 42]
[2, 3, 42];2;-0.45;[3, 1, 40]
[3, 1, 40];1;1.23;[1, 15, 36]
[1, 15, 36];1;-0.89;[2, 15, 36]
[2, 15, 36];1;-0.67;[3, 15, 36]
[3, 15, 36];2;-1.09;[4, 20, 41]
[4, 20, 41];4;-0.15;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 38];1;3.95;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.99;[1, 10, 60]
[1, 10, 60];2;0.26;[2, 4, 54]
[2, 4, 54];1;-0.7;[3, 4, 54]
[3, 4, 54];1;1.82;[1, 10, 39]
[1, 10, 39];2;-0.81;[2, 12, 41]
[2, 12, 41];1;1.94;[1, 10, 22]
[1, 10, 22];2;0.74;[2, 2, 14]
[2, 2, 14];2;0.06;[1, 10, 10]
[1, 10, 10];1;1.0;[2, 1, 1]
[2, 1, 1];2;1.09;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 82];2;0.64;[2, 2, 74]
[2, 2, 74];2;-0.82;[3, 2, 74]
[3, 2, 74];1;-1.49;[4, 2, 74]
[4, 2, 74];4;1.02;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 15, 80];1;1.52;[1, 10, 57]
[1, 10, 57];2;-0.01;[2, 6, 53]
[2, 6, 53];2;-0.44;[3, 4, 51]
[3, 4, 51];1;-1.18;[3, 13, 60]
[3, 13, 60];1;4.2;[1, 10, 18]
[1, 10, 18];1;0.64;[2, 3, 11]
[2, 3, 11];2;-0.5;[3, 2, 10]
[3, 2, 10];1;2.49;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 26];2;3.16;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 53];2;0.27;[2, 4, 47]
[2, 4, 47];2;0.65;[1, 10, 39]
[1, 10, 39];2;-1.08;[2, 14, 43]
[2, 14, 43];2;-0.41;[3, 17, 46]
[3, 17, 46];1;-0.56;[4, 16, 45]
[4, 16, 45];4;0.11;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 54];2;0.99;[1, 10, 39]
[1, 10, 39];2;0.0;[2, 6, 35]
[2, 6, 35];2;-0.17;[3, 7, 36]
[3, 7, 36];2;-1.27;[4, 7, 36]
[4, 7, 36];2;-2.48;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
