State;Action;Reward;Next_State
[1, 10, 80];2;-0.74;[2, 11, 81]
[2, 11, 81];1;2.26;[1, 10, 57]
[1, 10, 57];1;-0.55;[2, 10, 57]
[2, 10, 57];1;-0.42;[4, 19, 66]
[4, 19, 66];4;-0.29;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];1;0.99;[1, 5, 60]
[1, 5, 60];1;-0.6;[2, 5, 60]
[2, 5, 60];2;0.73;[2, 11, 53]
[2, 11, 53];1;-0.16;[3, 7, 49]
[3, 7, 49];1;1.76;[1, 10, 38]
[1, 10, 38];2;-0.26;[1, 14, 42]
[1, 14, 42];1;0.33;[1, 10, 37]
[1, 10, 37];1;0.92;[1, 10, 23]
[1, 10, 23];2;0.91;[2, 1, 14]
[2, 1, 14];2;0.88;[1, 6, 6]
[1, 6, 6];2;-0.49;[2, 4, 4]
[2, 4, 4];1;1.66;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 65];2;0.86;[1, 10, 52]
[1, 10, 52];2;-0.28;[2, 8, 50]
[2, 8, 50];2;0.1;[3, 2, 44]
[3, 2, 44];2;0.9;[1, 10, 41]
[1, 10, 41];1;1.26;[1, 10, 22]
[1, 10, 22];2;-0.14;[3, 15, 27]
[3, 15, 27];1;-0.03;[4, 7, 19]
[4, 7, 19];3;0.82;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 71];1;2.44;[1, 10, 34]
[1, 10, 34];2;-0.81;[2, 12, 36]
[2, 12, 36];1;0.51;[3, 3, 27]
[3, 3, 27];1;1.43;[1, 10, 17]
[1, 10, 17];1;-0.29;[2, 8, 15]
[2, 8, 15];1;0.19;[3, 3, 10]
[3, 3, 10];1;-1.48;[4, 3, 10]
[4, 3, 10];3;0.14;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 98];2;-0.33;[2, 9, 97]
[2, 9, 97];1;1.25;[1, 10, 76]
[1, 10, 76];1;6.46;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 79];2;0.8;[1, 10, 67]
[1, 10, 67];1;0.72;[1, 10, 56]
[1, 10, 56];2;-1.08;[2, 14, 60]
[2, 14, 60];1;3.46;[1, 10, 20]
[1, 10, 20];2;0.4;[2, 4, 14]
[2, 4, 14];2;-0.05;[3, 1, 11]
[3, 1, 11];2;1.24;[1, 6, 6]
[1, 6, 6];2;-0.3;[2, 3, 3]
[2, 3, 3];1;1.47;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 15, 75];2;-0.62;[2, 13, 73]
[2, 13, 73];1;0.11;[3, 7, 67]
[3, 7, 67];1;-1.28;[4, 7, 67]
[4, 7, 67];4;0.9;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 88];2;-0.5;[3, 19, 97]
[3, 19, 97];2;0.03;[4, 7, 85]
[4, 7, 85];4;-2.27;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];2;-0.74;[2, 11, 81]
[2, 11, 81];2;1.53;[1, 10, 68]
[1, 10, 68];1;0.79;[1, 10, 56]
[1, 10, 56];2;0.27;[2, 4, 50]
[2, 4, 50];2;-0.44;[3, 2, 48]
[3, 2, 48];2;-1.56;[4, 1, 47]
[4, 1, 47];2;-2.19;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
