State;Action;Reward;Next_State
[1, 10, 75];2;0.4;[2, 3, 68]
[2, 3, 68];1;0.46;[1, 10, 62]
[1, 10, 62];1;0.67;[2, 1, 53]
[2, 1, 53];2;0.05;[1, 10, 51]
[1, 10, 51];2;-0.41;[2, 9, 50]
[2, 9, 50];1;1.27;[1, 10, 38]
[1, 10, 38];2;-0.27;[2, 8, 36]
[2, 8, 36];1;-0.57;[3, 7, 35]
[3, 7, 35];1;1.9;[1, 10, 22]
[1, 10, 22];1;0.74;[2, 2, 14]
[2, 2, 14];2;2.15;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.79;[1, 10, 63]
[1, 10, 63];2;1.12;[1, 10, 46]
[1, 10, 46];2;-0.41;[2, 9, 45]
[2, 9, 45];1;-0.69;[4, 9, 45]
[4, 9, 45];4;0.08;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;1.52;[1, 10, 52]
[1, 10, 52];1;0.67;[2, 1, 43]
[2, 1, 43];2;0.12;[1, 10, 40]
[1, 10, 40];1;1.32;[1, 10, 20]
[1, 10, 20];1;-0.55;[2, 10, 20]
[2, 10, 20];1;3.28;[1, 1, 1]
[1, 1, 1];1;0.0;[1, 1, 1]
[1, 1, 1];1;-1.06;[2, 10, 82]
[2, 10, 82];2;-0.3;[3, 7, 79]
[3, 7, 79];1;-1.17;[4, 7, 79]
[4, 7, 79];4;1.15;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 72];1;1.18;[1, 10, 54]
[1, 10, 54];1;0.8;[1, 10, 42]
[1, 10, 42];2;-0.28;[2, 8, 40]
[2, 8, 40];1;-0.56;[3, 7, 39]
[3, 7, 39];1;-1.29;[4, 7, 39]
[4, 7, 39];3;2.34;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.4;[2, 3, 68]
[2, 3, 68];2;-0.58;[3, 2, 67]
[3, 2, 67];1;-1.61;[4, 2, 67]
[4, 2, 67];4;0.9;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 15];2;0.45;[2, 4, 9]
[2, 4, 9];2;-0.58;[3, 3, 8]
[3, 3, 8];1;-1.47;[4, 3, 8]
[4, 3, 8];3;0.02;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 38];2;0.27;[2, 14, 42]
[2, 14, 42];2;-0.42;[3, 12, 40]
[3, 12, 40];2;-1.71;[3, 25, 53]
[3, 25, 53];2;0.1;[4, 22, 50]
[4, 22, 50];4;-0.88;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
