State;Action;Reward;Next_State
[1, 10, 54];1;0.27;[2, 4, 48]
[2, 4, 48];2;-0.31;[3, 1, 45]
[3, 1, 45];2;-1.68;[4, 1, 45]
[4, 1, 45];1;3.04;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 34];2;0.68;[2, 1, 25]
[2, 1, 25];2;1.38;[1, 8, 8]
[1, 8, 8];1;1.63;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 48];2;-0.68;[2, 11, 49]
[2, 11, 49];1;2.13;[1, 20, 36]
[1, 20, 36];1;-0.42;[2, 14, 30]
[2, 14, 30];1;-0.68;[3, 14, 30]
[3, 14, 30];1;-0.41;[4, 7, 22]
[4, 7, 22];3;1.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 50];2;-0.33;[1, 15, 55]
[1, 15, 55];2;-0.76;[2, 14, 54]
[2, 14, 54];1;0.25;[3, 7, 47]
[3, 7, 47];1;3.09;[1, 10, 16]
[1, 10, 16];2;-0.12;[3, 7, 13]
[3, 7, 13];1;-0.97;[4, 7, 13]
[4, 7, 13];3;0.43;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];2;0.0;[2, 6, 72]
[2, 6, 72];1;-0.7;[3, 6, 72]
[3, 6, 72];1;1.43;[1, 10, 65]
[1, 10, 65];2;0.13;[2, 5, 60]
[2, 5, 60];2;-0.18;[3, 1, 56]
[3, 1, 56];2;1.1;[1, 10, 49]
[1, 10, 49];2;-0.27;[2, 8, 47]
[2, 8, 47];1;1.07;[1, 10, 37]
[1, 10, 37];1;-0.55;[2, 10, 37]
[2, 10, 37];1;-0.69;[3, 15, 42]
[3, 15, 42];1;-0.76;[4, 15, 42]
[4, 15, 42];4;-0.08;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.66;[1, 10, 65]
[1, 10, 65];2;5.73;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 83];1;1.2;[1, 10, 67]
[1, 10, 67];2;-0.14;[2, 7, 64]
[2, 7, 64];2;-0.83;[3, 8, 65]
[3, 8, 65];1;2.09;[1, 10, 50]
[1, 10, 50];2;-0.41;[2, 9, 49]
[2, 9, 49];2;-0.3;[4, 20, 60]
[4, 20, 60];4;1.1;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 51];2;0.27;[2, 4, 45]
[2, 4, 45];2;0.46;[1, 10, 40]
[1, 10, 40];2;-0.68;[2, 11, 41]
[2, 11, 41];1;-0.69;[1, 10, 24]
[1, 10, 24];2;-0.67;[2, 11, 25]
[2, 11, 25];2;-0.29;[3, 8, 22]
[3, 8, 22];1;-1.02;[4, 8, 22]
[4, 8, 22];3;1.01;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
