State;Action;Reward;Next_State
[1, 10, 75];2;0.53;[2, 2, 67]
[2, 2, 67];2;-0.58;[3, 1, 66]
[3, 1, 66];2;-1.74;[4, 2, 67]
[4, 2, 67];4;1.4;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.86;[1, 10, 62]
[1, 10, 62];1;-0.28;[2, 8, 60]
[2, 8, 60];2;-0.69;[3, 8, 60]
[3, 8, 60];2;2.15;[1, 10, 44]
[1, 10, 44];1;2.06;[1, 10, 13]
[1, 10, 13];1;0.44;[2, 4, 7]
[2, 4, 7];2;1.59;[1, 2, 2]
[1, 2, 2];2;0.26;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 86];2;0.7;[2, 2, 78]
[2, 2, 78];2;-1.34;[3, 6, 82]
[3, 6, 82];1;-1.32;[4, 6, 82]
[4, 6, 82];4;1.96;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 60];1;1.52;[1, 10, 37]
[1, 10, 37];2;0.67;[2, 1, 28]
[2, 1, 28];2;0.18;[1, 10, 24]
[1, 10, 24];2;-0.4;[2, 20, 33]
[2, 20, 33];1;0.06;[3, 14, 28]
[3, 14, 28];2;0.11;[4, 4, 18]
[4, 4, 18];3;0.68;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 95];1;1.91;[1, 10, 61]
[1, 10, 61];1;-0.54;[2, 10, 61]
[2, 10, 61];1;-0.69;[3, 10, 61]
[3, 10, 61];2;2.29;[1, 20, 85]
[1, 20, 85];2;-0.74;[2, 18, 83]
[2, 18, 83];1;3.34;[1, 10, 51]
[1, 10, 51];1;-0.54;[2, 10, 51]
[2, 10, 51];2;-0.29;[3, 7, 48]
[3, 7, 48];1;-1.29;[4, 7, 48]
[4, 7, 48];4;-0.22;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 76];1;0.99;[1, 10, 61]
[1, 10, 61];1;0.4;[2, 3, 54]
[2, 3, 54];1;1.38;[1, 10, 34]
[1, 10, 34];2;-0.13;[2, 7, 31]
[2, 7, 31];2;0.09;[3, 1, 25]
[3, 1, 25];2;0.7;[1, 10, 24]
[1, 10, 24];2;0.0;[2, 6, 20]
[2, 6, 20];2;1.4;[1, 8, 8]
[1, 8, 8];1;-5.52;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];1;-4.72;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];2;0.12;[1, 10, 63]
[1, 10, 63];1;1.65;[1, 10, 38]
[1, 10, 38];1;0.13;[2, 5, 33]
[2, 5, 33];1;-0.7;[3, 5, 33]
[3, 5, 33];1;1.89;[1, 10, 18]
[1, 10, 18];2;0.06;[2, 6, 14]
[2, 6, 14];1;-0.8;[3, 6, 14]
[3, 6, 14];1;2.65;[1, 4, 4]
[1, 4, 4];1;0.72;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];1;0.92;[1, 10, 61]
[1, 10, 61];1;0.54;[2, 2, 53]
[2, 2, 53];1;1.18;[2, 16, 41]
[2, 16, 41];1;1.95;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 80];1;1.85;[1, 10, 52]
[1, 10, 52];1;2.71;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
