State;Action;Reward;Next_State
[1, 10, 73];1;-0.54;[3, 12, 75]
[3, 12, 75];1;-0.94;[4, 12, 75]
[4, 12, 75];4;1.03;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;-1.09;[2, 14, 79]
[2, 14, 79];1;-0.67;[3, 14, 79]
[3, 14, 79];1;-0.81;[4, 14, 79]
[4, 14, 79];4;0.82;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 85];2;-0.49;[2, 15, 90]
[2, 15, 90];1;0.64;[3, 3, 78]
[3, 3, 78];1;1.12;[1, 10, 75]
[1, 10, 75];1;0.67;[2, 1, 66]
[2, 1, 66];2;-0.72;[3, 1, 66]
[3, 1, 66];1;1.5;[1, 10, 53]
[1, 10, 53];2;0.73;[1, 10, 42]
[1, 10, 42];1;2.12;[1, 10, 10]
[1, 10, 10];2;0.43;[2, 4, 4]
[2, 4, 4];1;-0.85;[3, 4, 4]
[3, 4, 4];1;0.46;[3, 2, 2]
[3, 2, 2];1;2.05;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 90];1;0.62;[2, 1, 81]
[2, 1, 81];2;0.43;[1, 10, 74]
[1, 10, 74];1;1.65;[1, 10, 49]
[1, 10, 49];2;0.68;[2, 1, 40]
[2, 1, 40];2;0.12;[1, 10, 37]
[1, 10, 37];1;0.85;[1, 10, 24]
[1, 10, 24];1;-0.54;[2, 10, 24]
[2, 10, 24];1;0.69;[2, 5, 19]
[2, 5, 19];2;1.94;[1, 5, 5]
[1, 5, 5];2;-0.34;[2, 2, 2]
[2, 2, 2];2;1.28;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 75];2;0.13;[2, 5, 70]
[2, 5, 70];1;-0.7;[3, 5, 70]
[3, 5, 70];1;2.09;[1, 10, 52]
[1, 10, 52];1;0.53;[2, 2, 44]
[2, 2, 44];2;-0.84;[3, 3, 45]
[3, 3, 45];1;2.96;[1, 10, 12]
[1, 10, 12];2;2.22;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[2, 12, 79];2;-0.02;[3, 7, 74]
[3, 7, 74];1;1.69;[1, 10, 64]
[1, 10, 64];2;1.06;[1, 10, 48]
[1, 10, 48];1;4.61;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 14, 52];2;-0.01;[2, 8, 46]
[2, 8, 46];1;4.88;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
[1, 10, 70];2;-0.41;[2, 9, 69]
[2, 9, 69];2;-0.16;[3, 5, 65]
[3, 5, 65];2;1.29;['T', 'E', 'R', 'M', 'I', 'N', 'A', 'L']
