Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA
4,10:40,3,10,CAR 25,30,12,Baker Mayfield pass complete short right to Christian McCaffrey for 5 yards (tackle by Dre Greenlaw),-0.62,-1.37
4,10:00,4,5,CAR 30,30,12,Baker Mayfield pass complete short middle to D.J. Moore for 8 yards (tackle by Deommodore Lenoir),-1.37,1.47
4,9:38,1,10,CAR 38,30,12,Baker Mayfield pass incomplete deep middle intended for D.J. Moore,1.47,0.92
4,9:36,2,10,CAR 38,30,12,Baker Mayfield pass incomplete short right intended for Robbie Anderson,0.92,0.23
4,9:33,3,10,CAR 38,30,12,Baker Mayfield pass complete short right to D.J. Moore for 27 yards (tackle by Tashaun Gipson),0.23,3.25
4,8:54,1,10,SFO 35,30,12,Baker Mayfield pass complete short right to Christian McCaffrey for 12 yards (tackle by Fred Warner),3.25,4.04
4,8:16,1,10,SFO 23,30,12,Baker Mayfield pass incomplete deep right intended for Shi Smith (defended by Talanoa Hufanga),4.04,3.5
4,8:11,2,10,SFO 23,30,12,Christian McCaffrey up the middle for -1 yards (tackle by Hassan Ridgeway),3.5,2.68
4,7:32,3,11,SFO 24,30,12,Baker Mayfield pass complete short left to Shi Smith for 8 yards (tackle by Deommodore Lenoir),2.68,2.48
4,6:55,4,3,SFO 16,30,15,Eddy Pineiro 34 yard field goal good,2.48,3
4,6:51,,,CAR 35,30,15,"Eddy Pineiro kicks off 44 yards, returned by Ray-Ray McCloud for 5 yards (tackle by Sam Franklin)",0,0.67
4,6:48,1,10,SFO 26,30,15,Jeff Wilson left end for 23 yards (tackle by Damien Wilson),0.67,2.19
4,5:59,1,10,SFO 49,30,15,"Tevin Coleman right end for no gain (tackle by Myles Hartsfield). Penalty on Charlie Woerner: Offensive Holding, 10 yards (accepted) (no play)",2.19,1.53
4,5:32,1,20,SFO 39,30,15,Tevin Coleman right guard for 1 yard (tackle by Yetur Gross-Matos and Damien Wilson),1.53,0.43
4,4:49,2,19,SFO 40,30,15,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 16 yards (tackle by Donte Jackson and Shaq Thompson),0.43,1.88
4,4:40,,,,,,Timeout #1 by Carolina Panthers,,
4,4:40,3,3,CAR 44,30,15,Tevin Coleman left tackle for 2 yards (tackle by Shaq Thompson),1.88,0.46
4,4:36,,,,,,Timeout #2 by Carolina Panthers,,
4,4:36,4,1,CAR 42,30,15,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",0.46,0.13
4,4:36,4,6,CAR 47,30,15,"Mitch Wishnowsky punts 37 yards, fair catch by Shi Smith at CAR-10",0.13,0.38
4,4:29,1,10,CAR 10,30,15,Baker Mayfield pass incomplete short right intended for Christian McCaffrey,-0.38,-0.78
4,4:24,2,10,CAR 10,30,15,Baker Mayfield pass incomplete short right intended for Christian McCaffrey,-0.78,-1.42
4,4:19,3,10,CAR 10,30,15,Baker Mayfield pass incomplete deep middle intended for D.J. Moore (defended by Emmanuel Moseley),-1.42,-2.49
4,4:12,4,10,CAR 10,30,15,Baker Mayfield sacked by Drake Jackson for -7 yards,-2.49,-6.51
