Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
2,12:15,4,16,KAN 32,7,13,Robbie Gould 50 yard field goal good,1.24,3
2,12:11,,,SFO 35,7,13,"Robbie Gould kicks off 63 yards, returned by Isiah Pacheco for 18 yards (tackle by Jauan Jennings and Demetrius Flannigan-Fowles). Penalty on Jody Fortson: Defensive Holding, 10 yards (accepted)",0,-0.38
2,12:02,1,10,KAN 10,7,13,Isiah Pacheco right end for 5 yards (tackle by Fred Warner and Charvarius Ward),-0.38,-0.35
2,11:29,2,5,KAN 15,7,13,Patrick Mahomes pass complete short right to Jody Fortson for 8 yards (tackle by Talanoa Hufanga),-0.35,0.48
2,11:03,1,10,KAN 23,7,13,"Patrick Mahomes pass complete deep left to Travis Kelce for 17 yards (tackle by Tarvarius Moore). Penalty on Jimmie Ward: Defensive Holding, 5 yards (declined)",0.48,1.6
2,10:35,1,10,KAN 40,7,13,"Patrick Mahomes pass incomplete short middle intended for Jody Fortson. Penalty on Charvarius Ward: Illegal Contact, 5 yards (offset) . Penalty on Trey Smith: Offensive Holding, 10 yards (offset) (no play)",1.6,1.6
2,10:31,1,10,KAN 40,7,13,Jerick McKinnon left guard for 9 yards (tackle by Tarvarius Moore),1.6,2.27
2,9:57,2,1,KAN 49,7,13,Patrick Mahomes pass incomplete short middle intended for Jerick McKinnon,2.27,1.55
2,9:54,3,1,KAN 49,7,13,"Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling. Penalty on Charles Omenihu: Defensive Offside, 5 yards (accepted) (no play)",1.55,2.52
2,9:46,1,10,SFO 46,7,13,Isiah Pacheco right tackle for 4 yards (tackle by Kevin Givens and Dre Greenlaw),2.52,2.59
2,9:11,2,5,SFO 42,7,13,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Charvarius Ward),2.59,3.18
2,8:27,1,10,SFO 36,7,13,Isiah Pacheco left tackle for 1 yard (tackle by Samson Ebukam and Kerry Hyder),3.18,2.77
2,7:54,2,9,SFO 35,7,13,Patrick Mahomes pass complete short right to Noah Gray for 10 yards (tackle by Jimmie Ward),2.77,3.91
2,7:17,1,10,SFO 25,13,13,"Mecole Hardman right end for 25 yards, touchdown",3.91,7
2,7:09,,,SFO 15,14,13,Harrison Butker kicks extra point good,0,0
2,7:09,,,KAN 35,14,13,"Harrison Butker kicks off 63 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Marcus Kemp)",0,-0.28
2,7:05,1,10,SFO 14,14,13,Christian McCaffrey right guard for 2 yards (tackle by Willie Gay and Carlos Dunlap),-0.28,-0.51
2,6:29,2,8,SFO 16,14,13,Jimmy Garoppolo pass complete short middle to George Kittle for 9 yards (tackle by Willie Gay),-0.51,0.61
2,5:44,1,10,SFO 25,14,13,"Penalty on Danny Gray: False Start, 5 yards (accepted) (no play)",0.61,0.28
2,5:30,1,15,SFO 20,14,13,Jimmy Garoppolo pass incomplete deep left intended for Danny Gray (defended by Juan Thornhill),0.28,-0.61
2,5:18,2,15,SFO 20,14,13,Jimmy Garoppolo pass complete deep right to George Kittle for 34 yards (tackle by Justin Reid),-0.61,2.52
2,4:37,1,10,KAN 46,14,13,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 17 yards (tackle by Juan Thornhill),2.52,3.64
2,3:50,1,10,KAN 29,14,13,"Deebo Samuel left end for no gain (tackle by Juan Thornhill). Penalty on Jauan Jennings: Offensive Holding, 10 yards (accepted) (no play)",3.64,2.98
2,3:26,1,20,KAN 39,14,13,Christian McCaffrey right guard for 5 yards (tackle by Willie Gay and Nick Bolton),2.98,2.42
2,2:44,2,15,KAN 34,14,13,Jimmy Garoppolo sacked by and Willie Gay for -4 yards and L'Jarius Sneed for -4 yards,2.42,1.22
2,2:09,3,19,KAN 38,14,13,"Penalty on KAN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",1.22,1.88
2,2:00,3,14,KAN 33,14,13,Jimmy Garoppolo pass incomplete short left intended for Kyle Juszczyk (defended by Carlos Dunlap),1.88,1.15
2,1:55,4,14,KAN 33,14,13,"Penalty on Jaylon Moore: False Start, 5 yards (accepted) (no play)",1.15,0.72
2,1:55,4,19,KAN 38,14,13,"Mitch Wishnowsky punts 29 yards, recovered by Samuel Womack at KC-12",0.72,4.78
2,1:47,1,10,KAN 12,14,13,Christian McCaffrey up the middle for 1 yard (tackle by Derrick Nnadi and Nick Bolton),4.78,4.27
2,1:39,,,,,,Timeout #2 by Kansas City Chiefs,,
2,1:39,2,9,KAN 11,14,13,Jimmy Garoppolo pass complete short right to Deebo Samuel for 6 yards (tackle by Justin Reid),4.27,4.61
2,1:34,3,3,KAN 5,14,13,Jimmy Garoppolo pass short left intended for George Kittle is intercepted by Joshua Williams in end zone and returned for 7 yards (tackle by Brandon Aiyuk),4.61,0.38
2,1:28,1,10,KAN 6,14,13,Patrick Mahomes pass complete short left to Jerick McKinnon for 2 yards (tackle by Jimmie Ward),-0.38,-0.63
2,1:21,,,,,,Timeout #3 by Kansas City Chiefs,,
2,1:21,2,8,KAN 8,14,13,Patrick Mahomes pass complete short left to Travis Kelce for 22 yards (tackle by Tashaun Gipson),-0.63,0.94
2,1:09,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:09,1,10,KAN 30,14,13,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 40 yards (tackle by Tashaun Gipson),0.94,3.58
2,0:44,1,10,SFO 30,14,13,Patrick Mahomes pass incomplete short right intended for Justin Watson,3.58,3.03
2,0:43,2,10,SFO 30,14,13,Patrick Mahomes pass complete deep left to JuJu Smith-Schuster for 19 yards (tackle by Ambry Thomas),3.03,4.84
2,0:38,1,10,SFO 11,14,13,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Fred Warner),4.84,5.08
2,0:19,2,5,SFO 6,14,13,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at SF-6 Patrick Mahomes pass incomplete",5.08,4.21
2,0:16,3,5,SFO 6,14,13,"Patrick Mahomes pass complete short right to JuJu Smith-Schuster for no gain, touchdown. Penalty on Jerick McKinnon: Chop Block, 15 yards (accepted) (no play)",4.21,2.28
2,0:11,3,20,SFO 21,14,13,Harrison Butker 39 yard field goal no good,2.28,-0.87
2,0:06,1,10,SFO 29,14,13,Jimmy Garoppolo kneels for -1 yards,0.87,0.19
3,15:00,,,SFO 35,14,13,"Robbie Gould kicks off 61 yards, returned by Isiah Pacheco for 48 yards (tackle by Oren Burks). Penalty on Jauan Jennings: Personal Foul / Offense, 15 yards (accepted)",0,3.38
3,14:51,1,10,SFO 33,14,13,Clyde Edwards-Helaire left guard for 3 yards (tackle by Fred Warner and Hassan Ridgeway),3.38,3.24
3,14:12,2,7,SFO 30,14,13,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 14 yards (tackle by Charvarius Ward),3.24,4.51
